"wkt_geom","GRID_ID","Entity Type"
"MultiPolygon (((-3.27224869789999984 50.77238351260000115, -3.27363842550000017 50.77079452179999919, -3.27650334630000017 50.77076319620000078, -3.2779787316000002 50.77232085789999871, -3.2765891077 50.77390989919999953, -3.27372399470000008 50.77394122839999824, -3.27224869789999984 50.77238351260000115)))","AUC-3255","Hex"
"MultiPolygon (((-3.91685068750000021 50.45035430979999802, -3.91820941970000014 50.44875791590000347, -3.92105399220000006 50.44871098219999794, -3.92254001839999988 50.45026043859999731, -3.92118140180000019 50.45185687189999868, -3.91833664249999991 50.4519038091999974, -3.91685068750000021 50.45035430979999802)))","AOF-3355","Hex"
"MultiPolygon (((-4.05491185689999956 50.87611304189999828, -4.05627774640000016 50.87451506709999904, -4.05914789170000034 50.87446445310000342, -4.06065233949999982 50.87601180789999944, -4.05928656060000037 50.87760983180000096, -4.05641622170000016 50.87766045189999886, -4.05491185689999956 50.87611304189999828)))","AND-3219","Hex"
"MultiPolygon (((-4.06906824659999966 50.80661089360000204, -4.07043164450000017 50.80501278930000097, -4.07329748909999978 50.80496188610000274, -4.07480013019999987 50.80650908209999983, -4.07343684120000038 50.80810723609999968, -4.0705708035999999 50.80815814439999656, -4.06906824659999966 50.80661089360000204)))","AMZ-3241","Hex"
"MultiPolygon (((-3.05465156790000014 50.84537386440000262, -3.05605089119999995 50.84378744520000026, -3.05892051789999986 50.8437614539000009, -3.06039101190000018 50.84532187939999659, -3.05899179240000008 50.84690834989999786, -3.05612197359999982 50.84693434359999742, -3.05465156790000014 50.84537386440000262)))","AWB-3233","Hex"
"MultiPolygon (((-3.72806204829999999 50.77596283889999995, -3.72943630629999978 50.77436861270000179, -3.73230084460000011 50.77432610900000043, -3.73379131959999988 50.77587782540000205, -3.73241716639999987 50.77747210220000085, -3.72955243610000009 50.77751461079999729, -3.72806204829999999 50.77596283889999995)))","AQA-3252","Hex"
"MultiPolygon (((-4.11166229759999968 50.89241285580000351, -4.11302668959999984 50.8908142514999966, -4.11589773259999969 50.89076221730000071, -4.11740457700000029 50.8923087797999969, -4.1160402932000002 50.89390742879999863, -4.11316905790000042 50.89395946999999865, -4.11166229759999968 50.89241285580000351)))","AMQ-3213","Hex"
"MultiPolygon (((-4.08618610490000034 50.61113737529999668, -4.08754351179999986 50.60953905760000282, -4.09039745910000008 50.60948786910000052, -4.09189418760000034 50.61103499160000041, -4.09053688639999979 50.61263335769999827, -4.08768274959999989 50.61268455300000113, -4.08618610490000034 50.61113737529999668)))","AMT-3303","Hex"
"MultiPolygon (((-3.73923808890000009 50.49721644230000095, -3.74060418239999981 50.49562206619999927, -3.74345184379999996 50.49557945739999809, -3.74493360200000014 50.4971312246999986, -3.74356761630000001 50.4987256527000028, -3.74071976309999998 50.49876826149999687, -3.73923808890000009 50.49721644230000095)))","APV-3341","Hex"
"MultiPolygon (((-3.83399885140000007 50.62639930440000313, -3.83536530790000008 50.62480385420000317, -3.83822062140000009 50.62475882759999735, -3.83970966899999988 50.62630924700000179, -3.83834331760000014 50.62790474690000053, -3.83548781500000002 50.62794977770000315, -3.83399885140000007 50.62639930440000313)))","APA-3299","Hex"
"MultiPolygon (((-4.39486580999999976 50.95147787289999997, -4.39622203339999995 50.94987609310000209, -4.39909614030000018 50.94981708360000283, -4.40061421830000032 50.95135984809999741, -4.39925810999999989 50.95296167600000103, -4.39638380750000035 50.95302069230000086, -4.39486580999999976 50.95147787289999997)))","AKD-3193","Hex"
"MultiPolygon (((-3.2325005561000002 50.8955656444000013, -3.23389526550000017 50.89397712649999761, -3.23676778289999989 50.8939467219000008, -3.23824577920000012 50.89550483080000021, -3.23685116889999991 50.89709339979999925, -3.23397846099999997 50.89712380849999818, -3.2325005561000002 50.8955656444000013)))","AUM-3216","Hex"
"MultiPolygon (((-3.84822564770000008 50.98816474800000265, -3.84960190659999979 50.98656900950000193, -3.85247933519999997 50.98652339409999712, -3.85398069779999997 50.98807348990000321, -3.85260454370000005 50.98966924660000188, -3.84972692089999979 50.98971486210000137, -3.84822564770000008 50.98816474800000265)))","APA-3184","Hex"
"MultiPolygon (((-3.89742255800000015 51.13531805139999875, -3.8988013239999999 51.13372183780000313, -3.90168779879999983 51.1336749119000018, -3.90319570340000022 51.13522419409999742, -3.9018170469000002 51.13682046049999741, -3.89893037640000006 51.1368673926000028, -3.89742255800000015 51.13531805139999875)))","AOQ-3137","Hex"
"MultiPolygon (((-3.46904814969999986 50.60481564269999666, -3.4704263757999998 50.6032243574999967, -3.47328085799999986 50.6031882722000006, -3.47475730729999999 50.60474346739999874, -3.47337918589999983 50.60633480319999933, -3.47052451199999989 50.60637089320000115, -3.46904814969999986 50.60481564269999666)))","ASH-3308","Hex"
"MultiPolygon (((-4.26280761900000016 50.98716361449999823, -4.26416946049999979 50.98556332209999908, -4.26704607569999972 50.98550753349999809, -4.26856104410000015 50.98705202989999918, -4.26719931039999967 50.98865237319999721, -4.2643225003999996 50.98870816859999877, -4.26280761900000016 50.98716361449999823)))","ALI-3182","Hex"
"MultiPolygon (((-4.13378187789999973 50.99903565559999663, -4.13514850999999961 50.99743677320000046, -4.13802610820000005 50.99738410940000222, -4.13953727470000032 50.99893032029999773, -4.13817074980000044 51.00052925189999797, -4.13529295369999961 51.00058192350000041, -4.13378187789999973 50.99903565559999663)))","AMM-3179","Hex"
"MultiPolygon (((-4.45737924729999957 50.99110206200000306, -4.45873438260000032 50.98949958979999764, -4.46161079190000009 50.98943900049999911, -4.46313225589999973 50.99098087659999834, -4.46177724540000042 50.99258339859999722, -4.45890064439999989 50.99264399489999988, -4.45737924729999957 50.99110206200000306)))","AJP-3180","Hex"
"MultiPolygon (((-4.05803047870000011 51.04446414489999739, -4.0594010303000001 51.04286611629999726, -4.06228155620000031 51.04281529240000026, -4.06379172299999958 51.04436249199999764, -4.06242127959999966 51.04596057180000201, -4.05954055960000026 51.04601140070000298, -4.05803047870000011 51.04446414489999739)))","ANE-3165","Hex"
"MultiPolygon (((-3.46952364270000002 50.89439635109999926, -3.4709102112000001 50.89280506859999775, -3.47378238240000004 50.89276879540000209, -3.47526818329999987 50.89432380200000239, -3.47388172229999981 50.89591513570000103, -3.47100935420000001 50.89595141160000225, -3.46952364270000002 50.89439635109999926)))","ASJ-3216","Hex"
"MultiPolygon (((-3.41748207809999993 51.02566363079999689, -3.41887425680000012 51.0240729686000023, -3.42175460200000003 51.02403795509999895, -3.42324296020000007 51.02559360000000055, -3.42185088170000018 51.02718430710000064, -3.4189703441999999 51.02721932459999721, -3.41748207809999993 51.02566363079999689)))","ASW-3174","Hex"
"MultiPolygon (((-3.86734698599999982 50.92648018130000054, -3.86872079069999986 50.92488438379999849, -3.87159425749999997 50.92483836600000302, -3.87309411509999979 50.92638814120000035, -3.87172041859999982 50.92798398800000115, -3.86884675770000008 50.92803001029999876, -3.86734698599999982 50.92648018130000054)))","AOV-3204","Hex"
"MultiPolygon (((-3.25130705449999979 50.79306975869999974, -3.25269814719999983 50.79148104160000088, -3.25556439879999981 50.79145020949999889, -3.25703974769999993 50.79300809760000135, -3.25564875749999993 50.79459686460000256, -3.25278231480000013 50.794627693999999, -3.25130705449999979 50.79306975869999974)))","AUH-3249","Hex"
"MultiPolygon (((-3.39660830349999987 50.90630807659999846, -3.39799772000000022 50.90471765779999913, -3.40087071429999988 50.90468321809999708, -3.40235448460000001 50.90623919109999918, -3.40096517269999987 50.90782965900000079, -3.39809198589999983 50.9078641048999998, -3.39660830349999987 50.90630807659999846)))","ATA-3212","Hex"
"POINT(-3.52749999999999986 50.72359999999999758)","Exeter LCWIP","Scheme"
"POINT(-3.25 50.75)","East Devon LCWIP","Scheme"
"POINT(-3.52749999999999986 50.72359999999999758)","Dryden Road","Scheme"
"POINT(-3.52749999999999986 50.72359999999999758)","Heavitree Road Co-Op","Scheme"
"POINT(-3.52749999999999986 50.72359999999999758)","Heavitree Road Police Station","Scheme"
"POINT(-3.52749999999999986 50.72359999999999758)","J29 Bus Lane","Scheme"
"POINT(-3.52749999999999986 50.72359999999999758)","Sowton P&R","Scheme"
"POINT(-3.25 50.75)","Exeter Airport Bus scheme","Scheme"
"POINT(-3.5299999999999998 50.46000000000000085)","Torbay Capital","Scheme"
"POINT(-3.5299999999999998 50.46000000000000085)","Torbay LCWIP","Scheme"
"POINT(-3.45000000000000018 50.89999999999999858)","Mid Devon LCWIP","Scheme"
"POINT(-4.04999999999999982 51.07999999999999829)","A361 North Devon Link Road","Scheme"
"POINT(-4.21421310100000035 51.02355538999999851)","Bideford to Westward Ho! cycle route (Kenwith Valley Trail)","Scheme"
"POINT(-4.24168560000000028 51.00888900000000348)","F/P Clovelly Rd Bideford o/s Moreton Cot","Scheme"
"POINT(-4.00962947499999967 51.06647762000000057)","W&C LANDKEY TO NEWPORT BARNSTABLE","Scheme"
"POINT(-4.06136820000000043 51.07664100000000218)","Longbridge junction traffic signal changes","Scheme"
"POINT(-4.20365900000000003 51.04465799999999831)","Appledore to Bideford","Scheme"
"POINT(-4.04999999999999982 51.07999999999999829)","Barnstaple, Bideford, Northam LCWIP","Scheme"
"POINT(-3.67692555999999993 50.58986128000000093)","Indio Road Vehicle and Access Lane Modal Filter, Bovey Tracey","Scheme"
"POINT(-3.62075699999999978 50.52356100000000083)","Ogwell to Newton Abbot cycle route Phase 2d","Scheme"
"POINT(-3.60000000000000009 50.54999999999999716)","Teignbridge LCWIP","Scheme"
"POINT(-4.18184600000000017 50.37166100000000313)","Freeport Langage Access Road Phase 1B","Scheme"
"POINT(-3.55246871499999983 50.75099091999999956)","Boniface Trail","Scheme"
