GRID_ID,WKT
8025-SBLB_X1_O_345_101,"MultiLineString ((-3.0497644583489758 50.8044172284206752, -3.0485934735111009 50.8042540783334928))"
8026-SBLB_X1_O_345_101,"MultiLineString ((-3.0485934735111009 50.8042540783334928, -3.0481189005333635 50.8043238108955819))"
8027-SBLB_X1_O_345_101,"MultiLineString ((-3.0481189005333635 50.8043238108955819, -3.0475160284690297 50.8044124095096166))"
8028-SBLB_X1_O_345_101,"MultiLineString ((-3.0475160284690297 50.8044124095096166, -3.0469565335764703 50.8048163593433273))"
8029-SBLB_X1_O_345_101,"MultiLineString ((-3.0469565335764703 50.8048163593433273, -3.047143286986739 50.8059140752448357))"
8030-SBLB_X1_O_345_101,"MultiLineString ((-3.047143286986739 50.8059140752448357, -3.046718214816508 50.8065929917995547))"
8031-SBLB_X1_O_345_101,"MultiLineString ((-3.046718214816508 50.8065929917995547, -3.0456812299189515 50.8071868325898208))"
8032-SBLB_X1_O_345_101,"MultiLineString ((-3.0456812299189515 50.8071868325898208, -3.0450473024891345 50.8073993501132577))"
8033-SBLB_X1_O_345_101,"MultiLineString ((-3.0450473024891345 50.8073993501132577, -3.045031106666968 50.8067116224107806))"
8034-SBLB_X1_O_345_101,"MultiLineString ((-3.045031106666968 50.8067116224107806, -3.0448398206513128 50.8061403028526186))"
8035-SBLB_X1_O_345_101,"MultiLineString ((-3.0448398206513128 50.8061403028526186, -3.0448004290329145 50.806104953440105))"
8036-SBLB_X1_O_345_101,"MultiLineString ((-3.0448004290329145 50.806104953440105, -3.0439797243510278 50.8053679501159934))"
8037-SBLB_X1_O_345_101,"MultiLineString ((-3.0439797243510278 50.8053679501159934, -3.0437305219345716 50.8049862691124687))"
8038-SBLB_X1_O_345_101,"MultiLineString ((-3.0445883785840078 50.8044749859504847, -3.0442373118651016 50.8046422500232282))"
8039-SBLB_X1_O_345_101,"MultiLineString ((-3.0442373118651016 50.8046422500232282, -3.0442140749564972 50.8047521723183308))"
8040-SBLB_X1_O_345_101,"MultiLineString ((-3.0442140749564972 50.8047521723183308, -3.0442116395925662 50.8047638849851779))"
8041-SBLB_X1_O_345_101,"MultiLineString ((-3.0442116395925662 50.8047638849851779, -3.0437669051846097 50.8049694865227011))"
8042-SBLB_X1_O_345_101,"MultiLineString ((-3.0437669051846097 50.8049694865227011, -3.0437305219345716 50.8049862691124687))"
8043-SBLB_X1_O_345_101,"MultiLineString ((-3.0437305219345716 50.8049862691124687, -3.0435371903216883 50.8042838478963432))"
8044-SBLB_X1_O_345_101,"MultiLineString ((-3.0435371903216883 50.8042838478963432, -3.0427399544101159 50.8034512102040168))"
8045-SBLB_X1_O_345_101,"MultiLineString ((-3.0320302207576582 50.8036448462527375, -3.0301052477687889 50.8031664807375805))"
8046-SBLB_X1_O_345_101,"MultiLineString ((-3.0301052477687889 50.8031664807375805, -3.0295995021585131 50.802586939991869))"
8047-SBLB_X1_O_345_101,"MultiLineString ((-3.0295995021585131 50.802586939991869, -3.0294521487941823 50.801661153357017))"
8048-SBLB_X1_O_345_101,"MultiLineString ((-3.0294521487941823 50.801661153357017, -3.0283383688350876 50.8013538814545953))"
8049-SBLB_X1_O_345_101,"MultiLineString ((-3.0283383688350876 50.8013538814545953, -3.0278366708473783 50.801338607060238))"
8050-SBLB_X1_O_345_101,"MultiLineString ((-3.0278366708473783 50.801338607060238, -3.0275538945860787 50.8013860624540996))"
8051-SBLB_X1_O_345_101,"MultiLineString ((-3.0275538945860787 50.8013860624540996, -3.0268080714957359 50.8017509082994252))"
8052-SBLB_X1_O_345_101,"MultiLineString ((-3.0268080714957359 50.8017509082994252, -3.0265843941996335 50.8020216766601749))"
8053-SBLB_X1_O_345_101,"MultiLineString ((-3.0265843941996335 50.8020216766601749, -3.0265360076611572 50.802080197017375))"
8054-SBLB_X1_O_345_101,"MultiLineString ((-3.0265360076611572 50.802080197017375, -3.0264614944409027 50.8021704226277393))"
8055-SBLB_X1_O_345_101,"MultiLineString ((-3.0264614944409027 50.8021704226277393, -3.026422354304207 50.802787056086558))"
8056-SBLB_X1_O_345_101,"MultiLineString ((-3.026422354304207 50.802787056086558, -3.0264170531394785 50.8028041893849291))"
8057-SBLB_X1_O_345_101,"MultiLineString ((-3.0264170531394785 50.8028041893849291, -3.0262860659716848 50.8032187489252962))"
8058-SBLB_X1_O_345_101,"MultiLineString ((-3.0262860659716848 50.8032187489252962, -3.0262753156489395 50.8032527470190587))"
8059-SBLB_X1_O_345_101,"MultiLineString ((-3.0262753156489395 50.8032527470190587, -3.0262465153503748 50.8033438294368409))"
8060-SBLB_X1_O_345_101,"MultiLineString ((-3.0262465153503748 50.8033438294368409, -3.0258872248661848 50.8037473563249264))"
8061-SBLB_X1_O_345_101,"MultiLineString ((-3.0258872248661848 50.8037473563249264, -3.0257620128974887 50.8038880281590011))"
8062-SBLB_X1_O_345_101,"MultiLineString ((-3.0257620128974887 50.8038880281590011, -3.0249622415696589 50.8047863502452657))"
8063-SBLB_X1_O_345_101,"MultiLineString ((-3.0249622415696589 50.8047863502452657, -3.0249244646356659 50.805116627302759))"
8066-SBLB_X1_O_345_101,"MultiLineString ((-2.94036770025156 50.8070931078400321, -2.9402086743571241 50.8068564382541226))"
8067-SBLB_X1_O_345_101,"MultiLineString ((-2.9402086743571241 50.8068564382541226, -2.9400497937822521 50.8066198572027616))"
8068-SBLB_X1_O_345_101,"MultiLineString ((-2.9400497937822521 50.8066198572027616, -2.9399212068262406 50.8065702643596495))"
8069-SBLB_X1_O_345_101,"MultiLineString ((-2.9399212068262406 50.8065702643596495, -2.9392264999156774 50.8063023913372334))"
8070-SBLB_X1_O_345_101,"MultiLineString ((-2.9392264999156774 50.8063023913372334, -2.9389613201200486 50.8062001206879117))"
8071-SBLB_X1_O_345_101,"MultiLineString ((-2.9389613201200486 50.8062001206879117, -2.9387132752554104 50.806003825203824))"
8072-SBLB_X1_O_345_101,"MultiLineString ((-2.9387132752554104 50.806003825203824, -2.9387041895062671 50.8059966141289365))"
8073-SBLB_X1_O_345_101,"MultiLineString ((-2.9387041895062671 50.8059966141289365, -2.938703181780526 50.8059959028131445))"
8074-SBLB_X1_O_345_101,"MultiLineString ((-2.938703181780526 50.8059959028131445, -2.9385981947102917 50.8059127546121871))"
8075-SBLB_X1_O_345_101,"MultiLineString ((-2.9385981947102917 50.8059127546121871, -2.9385726692173515 50.8058925462775548))"
8076-SBLB_X1_O_345_101,"MultiLineString ((-2.9385726692173515 50.8058925462775548, -2.9385530571772809 50.8058770565571578))"
8077-SBLB_X1_O_345_101,"MultiLineString ((-2.9385530571772809 50.8058770565571578, -2.9388385746793628 50.8049476751007703))"
8078-SBLB_X1_O_345_101,"MultiLineString ((-2.9388385746793628 50.8049476751007703, -2.9389062547944822 50.8047273424918089))"
8079-SBLB_X1_O_345_101,"MultiLineString ((-2.9389062547944822 50.8047273424918089, -2.9391632878793277 50.8043528736683996))"
