GRID_ID,WKT
33601-SDVN_E_O_290_93,"MultiLineString ((-3.5492909053402522 50.7263907451145144, -3.5489987458222516 50.7262956363252826, -3.5489776119168517 50.7269478604278348, -3.5491656213480329 50.7285973748307413))"
33602-SDVN_E_O_290_93,"MultiLineString ((-3.5534420989202027 50.7338400732462986, -3.5531449997175035 50.7338534266236394, -3.5524351243136048 50.7337405700044428, -3.5514910287675789 50.7337356014360381, -3.5507999613687522 50.7336900256862933, -3.5503827662263787 50.7336170607895909, -3.550267674408722 50.7334060736210191, -3.5505031302651076 50.7332410584264082, -3.5509459759305169 50.7332078607836436))"
33603-SDVN_E_O_290_93,"MultiLineString ((-3.5581440413594487 50.7316429491702294, -3.5575007713987783 50.7316497205585151, -3.5566673195682874 50.7316982660892961, -3.5559746839130235 50.7317628233905253, -3.5556160755032269 50.7318300048094741))"
33604-SDVN_E_O_290_93,"MultiLineString ((-3.5484531451038834 50.7314463265798281, -3.5483849832402261 50.7317492992957, -3.5483570174806931 50.7321903548360069, -3.5488708615744722 50.7325775367484226, -3.5494342536120773 50.7330574109958334, -3.5498496979282286 50.7329939181652207))"
33605-SDVN_E_O_290_93,"MultiLineString ((-3.5514933889203677 50.7314335705877113, -3.5518419856724646 50.731508802393769, -3.5529139672020356 50.7316500259049477, -3.5536467621327885 50.7318997260068727, -3.5541203807911237 50.7319352329485795, -3.5547288462345805 50.7318962717069368, -3.5549844257630498 50.7320571750642841, -3.5556160755032269 50.7318300048094741))"
33606-SDVN_E_O_290_93,"MultiLineString ((-3.5522558130548001 50.7267694165713934, -3.5514962047778287 50.7268424194831269, -3.5508857234288511 50.7268055748322411, -3.5503865747318679 50.7267118461196915, -3.5492909053402522 50.7263907451145144))"
33607-SDVN_E_O_290_93,"MultiLineString ((-3.5485987807373571 50.7187212492193567, -3.5486482903056387 50.719109868830536, -3.5487890726897642 50.7195127078496029, -3.5492411058761202 50.7200015260323767, -3.5493352515022885 50.7201799657552286, -3.5493131570942564 50.7203691236836036, -3.5491246881086922 50.7206726419738132, -3.5496763539746627 50.7208323648907751))"
33608-SDVN_E_O_290_93,"MultiLineString ((-3.5591210817400372 50.7258653007649443, -3.5598638858625864 50.7258249254369176))"
33609-SDVN_E_O_290_93,"MultiLineString ((-3.5598638858625864 50.7258249254369176, -3.5606516593633297 50.7257821851349888))"
33610-SDVN_E_O_290_93,"MultiLineString ((-3.5606516593633297 50.7257821851349888, -3.5609242782989736 50.7257357258917594))"
33611-SDVN_E_O_290_93,"MultiLineString ((-3.5609242782989736 50.7257357258917594, -3.5611968996738796 50.7256893559151152))"
33612-SDVN_E_O_290_93,"MultiLineString ((-3.5611968996738796 50.7256893559151152, -3.5612782405729679 50.725651392994294))"
33613-SDVN_E_O_290_93,"MultiLineString ((-3.5612782405729679 50.725651392994294, -3.5613594427067494 50.725613521811006))"
33614-SDVN_E_O_290_93,"MultiLineString ((-3.5613594427067494 50.725613521811006, -3.5614682573771415 50.7254771613035089))"
33615-SDVN_E_O_290_93,"MultiLineString ((-3.5614682573771415 50.7254771613035089, -3.5615770713270178 50.7253408010450215))"
33616-SDVN_E_O_290_93,"MultiLineString ((-3.5615770713270178 50.7253408010450215, -3.5615280084765333 50.7251436008575638))"
33617-SDVN_E_O_290_93,"MultiLineString ((-3.5615280084765333 50.7251436008575638, -3.5615024008611793 50.7251148947959862))"
33618-SDVN_E_O_290_93,"MultiLineString ((-3.5615024008611793 50.7251148947959862, -3.5613219676542669 50.7249125290374181))"
33619-SDVN_E_O_290_93,"MultiLineString ((-3.5613219676542669 50.7249125290374181, -3.5613001477229447 50.7248954637743452))"
33620-SDVN_E_O_290_93,"MultiLineString ((-3.5613001477229447 50.7248954637743452, -3.5612781831982843 50.724878310508295))"
33621-SDVN_E_O_290_93,"MultiLineString ((-3.5612781831982843 50.724878310508295, -3.5611120065603044 50.7247765708143845, -3.5610466598640427 50.7247365631116622))"
33622-SDVN_E_O_290_93,"MultiLineString ((-3.5491656213480329 50.7285973748307413, -3.5492960882500277 50.7292999409933572, -3.5493416197653689 50.7298209622393941, -3.5484939870684058 50.7312648077050241, -3.5484531451038834 50.7314463265798281))"
33623-SDVN_E_O_290_93,"MultiLineString ((-3.54431639482427 50.7150799431811237, -3.543776907889387 50.7152892818966663, -3.5402616962116285 50.7168953309368078))"
33624-SDVN_E_O_290_93,"MultiLineString ((-3.5610466598640427 50.7247365631116622, -3.5606287446188754 50.7245171027690702, -3.5604519219486246 50.7243123489574614, -3.5605438948792894 50.7240955431837151, -3.5600594063305864 50.7240120923016704, -3.559053619178731 50.7240165536424854, -3.5579918443329053 50.7238195801380982, -3.5574917167171938 50.7237023535923726))"
33625-SDVN_E_O_290_93,"MultiLineString ((-3.55060072376319 50.7300189484765056, -3.55029541525326 50.7303838700561158, -3.5505145635158093 50.7307767620522725, -3.5509167224557459 50.731176032796192, -3.5514933889203677 50.7314335705877113))"
33626-SDVN_E_O_290_93,"MultiLineString ((-3.5549063818450577 50.7218720569684152, -3.5549191176035193 50.7217196041634537, -3.5552081515242397 50.7212709288683925, -3.5551519968616629 50.7211495458022767, -3.5549385549226935 50.7210785558790889, -3.5541814220624599 50.7209625587136443))"
33627-SDVN_E_O_290_93,"MultiLineString ((-3.5402616962116285 50.7168953309368078, -3.5387144797628829 50.7176035927160243, -3.5382484658218862 50.717851758999636, -3.5381564165215353 50.7180222033386485))"
33628-SDVN_E_O_290_93,"MultiLineString ((-3.5381564165215353 50.7180222033386485, -3.5381177070074514 50.7180938818131679, -3.5380849374292427 50.7183953282140934, -3.5379615844503078 50.718954555545622, -3.5377804419895074 50.7190468805849548, -3.5376258540484384 50.7190848938217442, -3.537397226674718 50.7190249542590905, -3.5371983918065939 50.7190095891466228, -3.5369886324791642 50.7190932967477863, -3.5358695800855489 50.71996822932703))"
33629-SDVN_E_O_290_93,"MultiLineString ((-3.5470479774611863 50.7149270624741959, -3.5455881320442462 50.7147993300454445, -3.5453853909418371 50.7148025574735541, -3.5451896216638494 50.7148239489117998, -3.5446444383501099 50.7149630184148137, -3.54431639482427 50.7150799431811237))"
33630-SDVN_E_O_290_93,"MultiLineString ((-3.5470479774611863 50.7149270624741959, -3.5474928688323377 50.7148745182364209, -3.5476507392143257 50.7159214230440085, -3.5481417671456379 50.7171613306551237))"
33631-SDVN_E_O_290_93,"MultiLineString ((-3.5288114666427619 50.724743808543586, -3.5274654119442279 50.7253784973031614, -3.5262294659118631 50.7257568533469083, -3.5256719824056701 50.7261127571186492))"
33632-SDVN_E_O_290_93,"MultiLineString ((-3.5534361619543917 50.7283520747678978, -3.5543167729756195 50.7287716491789666, -3.5541488820844038 50.7289562769194475, -3.5533278369897636 50.7290045493935224))"
33633-SDVN_E_O_290_93,"MultiLineString ((-3.5605858923640663 50.7257857537222137, -3.5606516593633297 50.7257821851349888))"
33634-SDVN_E_O_290_93,"MultiLineString ((-3.5612781831982843 50.724878310508295, -3.5612699524382445 50.7248732710487999))"
