UniqueID,District,Entity Type,WKT
39336-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4941478944727544 50.9029510886127596, -3.4936925011985256 50.9009301149409765))"
39337-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4928752581390885 50.9085821397265761, -3.4927921847413161 50.9086432110776315))"
39338-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4927921847413161 50.9086432110776315, -3.4925697777123754 50.908800650715321))"
39339-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4925697777123754 50.908800650715321, -3.4923473691480234 50.9089580901664434))"
39340-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4923473691480234 50.9089580901664434, -3.4921887361012356 50.9090460053999294))"
39341-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4921887361012356 50.9090460053999294, -3.4920301024544389 50.9091339204135735))"
39342-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4920301024544389 50.9091339204135735, -3.4918737947075571 50.9092145209991145))"
39343-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4918737947075571 50.9092145209991145, -3.4917174892922058 50.9092952112660697))"
39344-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4917174892922058 50.9092952112660697, -3.4916646443234245 50.9093196293852159))"
39345-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4916646443234245 50.9093196293852159, -3.4916116571139537 50.9093440492995342))"
39346-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4916116571139537 50.9093440492995342, -3.4913732827468666 50.9094382896965527))"
39347-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4913732827468666 50.9094382896965527, -3.4911349102817089 50.9095326194950317))"
39348-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4911349102817089 50.9095326194950317, -3.4910478310342015 50.909562961060729))"
39349-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4910478310342015 50.909562961060729, -3.4909607545449224 50.9095933924552213))"
39350-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4909607545449224 50.9095933924552213, -3.4904180356202188 50.9097340607279918))"
39351-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904180356202188 50.9097340607279918, -3.4898753162431877 50.9098748163523922))"
39352-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4898753162431877 50.9098748163523922, -3.4896892480777164 50.9098878063016613))"
39353-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4896892480777164 50.9098878063016613, -3.4895030376154343 50.909900797770689))"
39354-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4895030376154343 50.909900797770689, -3.4893613075815781 50.9098991014294739))"
39355-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4893613075815781 50.9098991014294739, -3.489333681836118 50.9099828205868832))"
39356-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.489333681836118 50.9099828205868832, -3.4893097343614707 50.9100614565946117))"
39357-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4893097343614707 50.9100614565946117, -3.4892857839391507 50.9101400027014961))"
39358-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4892857839391507 50.9101400027014961, -3.4892961143620664 50.9101962575514406))"
39359-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4892961143620664 50.9101962575514406, -3.4893064448113629 50.9102525124000636))"
39360-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4893064448113629 50.9102525124000636, -3.4893631750156389 50.9104299411971226))"
39361-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4893631750156389 50.9104299411971226, -3.4894197606070616 50.9106072818858024))"
39362-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4894197606070616 50.9106072818858024, -3.4894712979980826 50.9107423294804704))"
39363-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4894712979980826 50.9107423294804704, -3.4895228356957748 50.9108773770508449))"
39364-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4895228356957748 50.9108773770508449, -3.4895539122220125 50.9109240139434291))"
39365-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4895539122220125 50.9109240139434291, -3.489584988811306 50.9109706508276645))"
39366-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.489584988811306 50.9109706508276645, -3.4896628566492729 50.9110526622222679))"
39367-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4896628566492729 50.9110526622222679, -3.4897405854433066 50.9111347652767847))"
39368-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4897405854433066 50.9111347652767847, -3.4898198397637161 50.9112200863080915))"
39369-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4898198397637161 50.9112200863080915, -3.4898923153125874 50.911298029643234))"
39370-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4898923153125874 50.911298029643234, -3.489899094376721 50.911305407285802))"
39371-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.489899094376721 50.911305407285802, -3.4899060185049415 50.9113128730051372))"
39372-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4899060185049415 50.9113128730051372, -3.4899549427478433 50.9113660265211649))"
39373-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4899549427478433 50.9113660265211649, -3.4900106490739939 50.911426647547394))"
39374-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4900106490739939 50.911426647547394, -3.4900449884062703 50.9114640696364091))"
39375-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4900449884062703 50.9114640696364091, -3.4900794671147333 50.9115014000032886))"
39376-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4900794671147333 50.9115014000032886, -3.4901132176925747 50.9115382000813526))"
39377-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4901132176925747 50.9115382000813526, -3.4901469654528969 50.9115749102552186))"
39378-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4901469654528969 50.9115749102552186, -3.4902905559044202 50.9117371090840791))"
39379-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4902905559044202 50.9117371090840791, -3.4904341502363492 50.9118993976312808))"
39380-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904341502363492 50.9118993976312808, -3.4905545121691781 50.9120379714541329))"
39381-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4905545121691781 50.9120379714541329, -3.4906748748244913 50.91217654515318))"
39382-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4906748748244913 50.91217654515318, -3.4907195770101662 50.912234449467185))"
39383-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4912592975343357 50.9025103070344969, -3.4913602766913945 50.9029879675456414))"
39384-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4913602766913945 50.9029879675456414, -3.4910082914954201 50.9029663009264013))"
39385-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4910082914954201 50.9029663009264013, -3.4906561673088943 50.9029447249568534))"
39386-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4906561673088943 50.9029447249568534, -3.4905530671801057 50.9029317444718004))"
39387-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4905530671801057 50.9029317444718004, -3.4904499642355984 50.9029186740010076))"
