UniqueID,District,Entity Type,WKT
2192-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.2077720909225427 51.185557651759531, -4.2064115613791611 51.1857434932231072, -4.2056361892629859 51.1856261000842423, -4.2049355029708764 51.1856492106609622, -4.2029372949933688 51.1853996293994769, -4.2011975081319424 51.1854133346279099, -4.2001850344406373 51.1852629558283567, -4.198923457721202 51.1850291175444241))"
2193-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.198923457721202 51.1850291175444241, -4.198917276448741 51.1850712810863087))"
2194-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1255275994883824 51.200473619839407, -4.1255181608016072 51.2004217385943505))"
2195-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1255181608016072 51.2004217385943505, -4.1252599487526327 51.1996200851488865))"
2196-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1252599487526327 51.1996200851488865, -4.1250272839004039 51.199342191446469))"
2197-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1250272839004039 51.199342191446469, -4.1247867462031857 51.1990549073694154))"
2198-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1247867462031857 51.1990549073694154, -4.1240521473818275 51.1983926715644984))"
2199-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1240521473818275 51.1983926715644984, -4.1238091761262714 51.1981424824830995))"
2200-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1238091761262714 51.1981424824830995, -4.123595141219214 51.1977775512969941))"
2201-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.123595141219214 51.1977775512969941, -4.123219738877248 51.197137564571328))"
2202-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.123219738877248 51.197137564571328, -4.1232065778701603 51.1971199292108778))"
2203-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1326907888027371 51.1794989044076729, -4.1331099463234855 51.1795203927604234))"
2204-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1331099463234855 51.1795203927604234, -4.1334873044906137 51.1794872464366222))"
2205-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1334873044906137 51.1794872464366222, -4.1340633129912989 51.1793560420458107))"
2206-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1340633129912989 51.1793560420458107, -4.1347591072369427 51.1791975556312693))"
2207-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1347591072369427 51.1791975556312693, -4.1361951373340471 51.1789600682798138))"
2208-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1361951373340471 51.1789600682798138, -4.1367439080439352 51.1787877978077645))"
2209-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1367439080439352 51.1787877978077645, -4.1372926704623465 51.1786154349557947))"
2210-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1372926704623465 51.1786154349557947, -4.1383926288767068 51.1783637390010497))"
2211-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1383926288767068 51.1783637390010497, -4.139492575083235 51.1781120328607102))"
2212-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.139492575083235 51.1781120328607102, -4.1406585820480837 51.1779214311990316))"
2213-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1406585820480837 51.1779214311990316, -4.1406788919752415 51.1779181813977857))"
2214-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1406788919752415 51.1779181813977857, -4.1418555211995756 51.1778365535854221))"
2215-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1418555211995756 51.1778365535854221, -4.1436838594126586 51.1774770292313192))"
2216-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1436838594126586 51.1774770292313192, -4.144079298555071 51.1773992687607375))"
2217-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.144079298555071 51.1773992687607375, -4.1455621762043062 51.177251550450606))"
2218-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1455621762043062 51.177251550450606, -4.1458579107309328 51.1772236387826567))"
2219-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1458579107309328 51.1772236387826567, -4.146153644879635 51.1771957263717425))"
2220-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.146153644879635 51.1771957263717425, -4.1461481172642962 51.1771786503738895))"
2221-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1327427169676376 51.1795015662183559, -4.1331099463234855 51.1795203927604234))"
2222-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1455621762043062 51.177251550450606, -4.145686728066643 51.1772397952582736))"
2223-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1311408016947988 51.1802995673077632, -4.1310905117325749 51.1804462207770712, -4.1309776608686484 51.1804844313474092))"
2224-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309776608686484 51.1804844313474092, -4.1309782709399387 51.1805969280734487))"
2225-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309782709399387 51.1805969280734487, -4.1309787421987787 51.1807095172620379))"
2226-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309787421987787 51.1807095172620379, -4.1309799711932715 51.1807454685919296))"
2227-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309799711932715 51.1807454685919296, -4.1309805266415385 51.1807637151360737))"
2228-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309805266415385 51.1807637151360737, -4.1309812250591209 51.1807819590742454))"
2229-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309812250591209 51.1807819590742454, -4.1309063453790023 51.181776828308827))"
2230-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1309063453790023 51.181776828308827, -4.1308811638998026 51.1821119328462046))"
2231-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1308811638998026 51.1821119328462046, -4.1306534799165693 51.182756774443078))"
2232-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1306534799165693 51.182756774443078, -4.1296848688550787 51.1841597700986313))"
2233-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1296848688550787 51.1841597700986313, -4.1292214079112304 51.1848312059843664))"
2234-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1292214079112304 51.1848312059843664, -4.1285219635605133 51.1854965941145181))"
2235-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1285219635605133 51.1854965941145181, -4.1284736707143184 51.1855355154578788))"
2236-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1284736707143184 51.1855355154578788, -4.1284252306631632 51.1855743495267674))"
2237-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1284252306631632 51.1855743495267674, -4.1276323118173499 51.1860625550121853))"
2238-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1276323118173499 51.1860625550121853, -4.1264943681169548 51.1865698917259593))"
2239-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1264943681169548 51.1865698917259593, -4.1256008907872177 51.1871189990047739))"
2240-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1256008907872177 51.1871189990047739, -4.1254373389673917 51.1872314222178275))"
2241-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1254373389673917 51.1872314222178275, -4.1235008755554405 51.188562470464646))"
2242-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1235008755554405 51.188562470464646, -4.1229613182057481 51.1891847201545147))"
2243-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1229613182057481 51.1891847201545147, -4.1228568498528313 51.1897390819320464))"
2244-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1228568498528313 51.1897390819320464, -4.122857265445016 51.1897450100326381))"
2245-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.122857265445016 51.1897450100326381, -4.1228889029983984 51.190308771653342))"
2246-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1228889029983984 51.190308771653342, -4.1228575960908831 51.1906831958826984))"
2247-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1228575960908831 51.1906831958826984, -4.1228376283042474 51.1907064916243755))"
2248-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1228376283042474 51.1907064916243755, -4.1225339925382443 51.1910597793364275))"
2249-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1225339925382443 51.1910597793364275, -4.1220266585009426 51.1914061514105256))"
2250-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1220266585009426 51.1914061514105256, -4.1218248884859037 51.1915439050663466))"
2251-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1218248884859037 51.1915439050663466, -4.121588534495209 51.1917856201396049))"
2252-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.121588534495209 51.1917856201396049, -4.1214759701370163 51.1919274202061985))"
2253-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1214759701370163 51.1919274202061985, -4.121363257967694 51.1920691329087632))"
2254-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.121363257967694 51.1920691329087632, -4.1205392477648264 51.1930652497987921))"
2255-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.182575719877061 51.1709029447202823, -4.1780569183433425 51.1697814079177817, -4.1773084021279638 51.1696953443580398, -4.1769403423104476 51.1697079550987723, -4.1764344889837632 51.1698049711796656, -4.1761996831467325 51.1699193332569706, -4.1758681525404988 51.1702460332630125, -4.1757945288120579 51.1704446312158012, -4.1759070473618136 51.1714580834060726, -4.1753877278340754 51.171968507036965, -4.1749652960906429 51.1722762108168538, -4.1725346920322979 51.1730134629027447))"
2256-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.207964371065251 51.1727787051847258, -4.2074202156344187 51.1726752158506102, -4.2075549531995602 51.1725517983297422, -4.2075316293083382 51.1725007957975393, -4.2069808471512227 51.1723802321581474))"
2257-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.2122218569068384 51.1815069590144489, -4.2122688149997272 51.1803305804172055, -4.2120830092438366 51.1797761385003014, -4.2118752149948193 51.1794527062143132, -4.2114387927414549 51.1791864807587515, -4.210967403073405 51.1791043828849013, -4.2105816005286583 51.1789658941348193, -4.2099774581116201 51.1789052789142076, -4.2097766396414942 51.1788200393627619, -4.2097405840240283 51.1787813625824697))"
2258-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1701405273043219 51.1743301526057337, -4.1700551237736505 51.1746446181303867, -4.1699002730288139 51.1748111741997462, -4.1698360069098648 51.174844114133343))"
2259-TAWT_31_O_252_147,North Devon,Bus Routes,"MultiLineString ((-4.1698360069098648 51.174844114133343, -4.1697789540459071 51.174869185740171))"
