UniqueID,District,Entity Type,WKT
3120-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.697133492882231 50.4312703907258779, -3.6959688939462172 50.431246090882631, -3.6947195171486436 50.4309584955671326, -3.6936837158254874 50.4310170195280065))"
3121-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6936837158254874 50.4310170195280065, -3.6934133903850372 50.4309782322052627))"
3122-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6934133903850372 50.4309782322052627, -3.6931430621677559 50.430939354354436))"
3123-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6931430621677559 50.430939354354436, -3.6923550138435766 50.4307827193897396))"
3124-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6923550138435766 50.4307827193897396, -3.6920953569452801 50.4307310921331933))"
3125-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6920953569452801 50.4307310921331933, -3.6920218995414888 50.4307165106444444))"
3126-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6920218995414888 50.4307165106444444, -3.6915669738287695 50.4306261689161275))"
3127-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6915669738287695 50.4306261689161275, -3.6915213085772036 50.4307130602623914))"
3128-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6650835130969734 50.3912087582312509, -3.6648662224622663 50.3912785811988968))"
3129-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6648662224622663 50.3912785811988968, -3.6643746559857164 50.3918329048767788))"
3130-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6643746559857164 50.3918329048767788, -3.6638829361044207 50.3923872288260597))"
3131-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6638829361044207 50.3923872288260597, -3.6632050517485495 50.3930739989204142))"
3132-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6632050517485495 50.3930739989204142, -3.6631084398568632 50.3931717969514494))"
3133-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6631084398568632 50.3931717969514494, -3.663093840466515 50.3935587517339769))"
3134-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.663093840466515 50.3935587517339769, -3.6633199433624823 50.3938322671602634))"
3135-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6633199433624823 50.3938322671602634, -3.6638097069618731 50.3939769034071645))"
3136-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6638097069618731 50.3939769034071645, -3.664228286750995 50.3939810789326827))"
3137-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.664228286750995 50.3939810789326827, -3.6651862049829154 50.3939905749673898))"
3138-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6651862049829154 50.3939905749673898, -3.6677166643044026 50.3942116449015813))"
3139-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6677166643044026 50.3942116449015813, -3.6683509800997678 50.3944936882120729))"
3140-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6683509800997678 50.3944936882120729, -3.6692028894349442 50.3950099603066235))"
3141-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6692028894349442 50.3950099603066235, -3.6699224161543254 50.3954461005169279))"
3142-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6699224161543254 50.3954461005169279, -3.670286831238351 50.3957663651142411))"
3143-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.670286831238351 50.3957663651142411, -3.6721326542448716 50.396588800333106))"
3144-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6721326542448716 50.396588800333106, -3.6725704609581675 50.3968867767883921))"
3145-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6725704609581675 50.3968867767883921, -3.6724879935318824 50.3969550315106076))"
3146-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6884426040404468 50.4357928642115496, -3.6885401178380635 50.4357190750653785))"
3147-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6885401178380635 50.4357190750653785, -3.688639186780462 50.435649821496618))"
3148-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.688639186780462 50.435649821496618, -3.6887382554342394 50.4355805678451716))"
3149-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6887382554342394 50.4355805678451716, -3.6888373206017464 50.4355112242159649))"
3150-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6888373206017464 50.4355112242159649, -3.6889363854802744 50.4354418805040865))"
3151-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6889363854802744 50.4354418805040865, -3.6890324655904592 50.4353717705602378))"
3152-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6890324655904592 50.4353717705602378, -3.6891284046701891 50.4353016625818853))"
3153-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6891284046701891 50.4353016625818853, -3.6891682011371345 50.4352723935254588))"
3154-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6891682011371345 50.4352723935254588, -3.6892081383022259 50.4352431224123805))"
3155-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6892081383022259 50.4352431224123805, -3.6895178007962421 50.435005678030663))"
3156-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6895178007962421 50.435005678030663, -3.6898276009473445 50.4347682307976086))"
3157-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6898276009473445 50.4347682307976086, -3.6898491284743069 50.4347479511439261))"
3158-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6898491284743069 50.4347479511439261, -3.6898706591825094 50.434727761381339))"
3159-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6898706591825094 50.434727761381339, -3.689895131956221 50.4346201057904224))"
3160-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.689895131956221 50.4346201057904224, -3.6899196046247646 50.4345124501934166))"
3161-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6899196046247646 50.4345124501934166, -3.6898214701033583 50.4344930989861098))"
