UniqueID,District,Entity Type,WKT
1432-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5181374260215272 50.6926717860468727, -3.5181465112709689 50.6926462162677112))"
1433-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5181465112709689 50.6926462162677112, -3.5181555965107343 50.6926206464877964))"
1434-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5181555965107343 50.6926206464877964, -3.5181613663528668 50.6925801008728456))"
1435-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5181613663528668 50.6925801008728456, -3.518167136185717 50.6925395552573903))"
1436-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.518167136185717 50.6925395552573903, -3.5180958452207181 50.6924583740537997))"
1437-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5180958452207181 50.6924583740537997, -3.5183135376826513 50.6923993287309216))"
1438-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5183135376826513 50.6923993287309216, -3.5185312324902722 50.6923403729014623))"
1439-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5185312324902722 50.6923403729014623, -3.5190156948193443 50.6922514086901757))"
1440-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5190156948193443 50.6922514086901757, -3.5195000134582362 50.6921624441316112))"
1441-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5195000134582362 50.6921624441316112, -3.5203378837409578 50.6919558170656828))"
1442-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5203378837409578 50.6919558170656828, -3.5211756051482483 50.6917491860043796))"
1443-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5211756051482483 50.6917491860043796, -3.5217538582906607 50.6915706698824451))"
1444-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5217538582906607 50.6915706698824451, -3.5222756297161149 50.691409549226357))"
1446-SDVN_C_I_292_90,Teignbridge,Bus Routes,"MultiLineString ((-3.5297425698630551 50.6966960223854315, -3.5295672232694795 50.6966684659603359, -3.5289715360593132 50.6964992927801319, -3.52770614619965 50.695848126739584, -3.5269788836277876 50.6953113079510871, -3.5261139152403373 50.6948369939653247, -3.5256807090178013 50.694141178773485, -3.5254169093261982 50.6938658359295573, -3.5247204935923953 50.6933746457620344, -3.5238557426121955 50.6928789978964076, -3.5231387852522964 50.6926005819119041, -3.5224108864653045 50.6924212323006174, -3.521476233507228 50.6924154532868414, -3.5206296950515976 50.6925074446802881, -3.5191989100216809 50.692921818777414, -3.5188309382296041 50.6929266157226266, -3.5184005476413236 50.6927523562725568, -3.5181374260215272 50.6926717860468727))"
8968-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.5664664078029529 50.7130258326549281, -3.5664701424712475 50.713169879450497, -3.5667637358179518 50.7139034033231724, -3.5669943435817011 50.7142346832443707, -3.5672606496315797 50.7143111459199858, -3.5681020875326133 50.7143246532316141, -3.5686131839302639 50.71440150702837, -3.5704816577357921 50.7149505875358528, -3.5717474994706349 50.7155271006877229, -3.573660630338316 50.7168063422624229, -3.5748498371246598 50.717904221478328, -3.5759646653504333 50.7187511853519126, -3.5777096443447549 50.7196563442016952, -3.5797040341809656 50.7203214780706659, -3.5799395699536669 50.72047126606288, -3.5802903988590669 50.7208054768394589, -3.5803546713181524 50.7209240134795749))"
8971-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6752379242742421 50.7333880059037412, -3.6751396033525769 50.7333250597411833, -3.674714335132629 50.7328089216614444, -3.6741392714077983 50.7322961914486115, -3.6729917728453381 50.7319079557603487, -3.6712204682947043 50.7315106626615702, -3.6692305739414892 50.7313413060028324, -3.6682674726413325 50.7313550866033083, -3.6672254575571612 50.7315408618383827, -3.6660195556971291 50.7318564952612334, -3.6649891116963005 50.7320134862527823, -3.6642928698900867 50.731960470456464, -3.6624640257017629 50.7315368859934566, -3.6608905776875487 50.730998639844465))"
8973-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.5579094359458643 50.7113060189806575, -3.5595289627374687 50.7111689783598294, -3.5600631832955463 50.7110265681247228, -3.5606856160157427 50.7107596733531594, -3.5616570484410137 50.7102755836412769, -3.5624474859863233 50.7101930441772524, -3.5634225677164921 50.7101260102496525, -3.5641098582303132 50.7104213117385569, -3.5648637754989672 50.7108711230482143, -3.5650777975080872 50.7109689774776768, -3.5657385193641828 50.7111421343542261, -3.5662062962650389 50.7112038419020692, -3.5664380278641743 50.7119432341270056, -3.5664664078029529 50.7130258326549281))"
8983-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.7390026712625319 50.7236225035090413, -3.7386610470191806 50.7236227956286214, -3.7373107827882612 50.7235454331734061, -3.7368179207082441 50.7235621289280303, -3.7360469891198123 50.7235419529667908, -3.7350747619197486 50.7235955459749022, -3.7338761965411087 50.7239119566112322, -3.7308851941714907 50.7255202598833677, -3.7294835384002161 50.7259489085359192, -3.7288028733537337 50.7260876973824324, -3.7283767805494401 50.7261457094050741))"
