GRID_ID,WKT
9221-SDVN_23_O_287_58,"MultiLineString ((-3.5670901549703573 50.4077777984852418, -3.5668058934646729 50.4069298208293972, -3.5676389978394307 50.406795544875763, -3.5680648499224055 50.4066969828327984, -3.5686679587631063 50.406634885235853))"
9222-SDVN_23_O_287_58,"MultiLineString ((-3.5655423029709064 50.4292010831152382, -3.5653600888183781 50.4288319374523581, -3.5642107897522184 50.4272824369130603, -3.5637950100897475 50.4265383752365253, -3.5636605461308357 50.4261790725752519))"
9223-SDVN_23_O_287_58,"MultiLineString ((-3.5700390199411807 50.4124027796258218, -3.5699074335647119 50.4113490206403796, -3.5689917795093029 50.4113254056975535, -3.5684056420229129 50.411477220668111, -3.5674316270748152 50.4113914259084126, -3.567260426721234 50.4113217826706119, -3.5673060139378374 50.4109798067378492))"
9224-SDVN_23_O_287_58,"MultiLineString ((-3.5662822152986147 50.432552171075919, -3.5670010206429277 50.4337565733597586, -3.5669870940459658 50.4338764718489116, -3.5669040333174751 50.4338515078284786, -3.5664304562950542 50.4339621260947553, -3.5668743826184897 50.4346127106865865))"
9225-SDVN_23_O_287_58,"MultiLineString ((-3.5700390199411807 50.4124027796258218, -3.5701754145152762 50.4134949892569608, -3.5697751800019226 50.4135186534279001, -3.5692936181837345 50.4136327257408823, -3.5690183422315318 50.4138344023413936, -3.5689284475001606 50.4139370846383557))"
9226-SDVN_23_O_287_58,"MultiLineString ((-3.5869904497540421 50.4137787131676589, -3.5852391760758393 50.4141129277692599, -3.5840514445383134 50.4142600668318437, -3.5826187430521301 50.4143142006254834))"
9227-SDVN_23_O_287_58,"MultiLineString ((-3.5671497201188984 50.4086638730405596, -3.5670615122923488 50.4090206227622701, -3.5665211117843074 50.4102434662630969, -3.5671850075475451 50.4103154589641917, -3.5673763312687861 50.4104533659054894, -3.5673060139378374 50.4109798067378492))"
9228-SDVN_23_O_287_58,"MultiLineString ((-3.5809195759061825 50.4129044734152956, -3.5810349743933476 50.4126629800163499, -3.5810810411607288 50.4122373887033106, -3.5810114478269117 50.4122313199403393, -3.5809150065111797 50.4121840641443839, -3.5808757565891844 50.4120832359318456, -3.5809037053713926 50.4120306908489653, -3.5804133197001815 50.4118487551735939, -3.5798495626295752 50.4118135167659602, -3.5793398996213042 50.4120539491942807))"
9229-SDVN_23_O_287_58,"MultiLineString ((-3.5662822152986147 50.432552171075919, -3.566045635912666 50.4321145325270734, -3.5656761186037689 50.4311571431976731, -3.565618326872396 50.4302585159020182, -3.5656320229245413 50.4295251363416881, -3.56561447247313 50.4293472903315134, -3.5655423029709064 50.4292010831152382))"
9230-SDVN_23_O_287_58,"MultiLineString ((-3.5793398996213042 50.4120539491942807, -3.5782705194071518 50.4126109673101155, -3.5776986279377652 50.4127801731137524, -3.5772808697452105 50.4122929709305225, -3.5765706506890687 50.4106742386575277, -3.5741534375059976 50.4085805329993022, -3.5739858907594146 50.4081456052672365, -3.5741095318810778 50.4080883490881604, -3.5741469375748198 50.4080152616035235, -3.574124129230619 50.4079555807341606, -3.5740535925837627 50.407899603853231, -3.5739750792318796 50.4078797133752303))"
9231-SDVN_23_O_287_58,"MultiLineString ((-3.5636605461308357 50.4261790725752519, -3.5635345443603614 50.4255036948821456, -3.5633574287646144 50.42488350506801, -3.5629646124226442 50.4240360561630681, -3.5625218012731099 50.4224216327673744, -3.5620732361444656 50.4205459654668431))"
9232-SDVN_23_O_287_58,"MultiLineString ((-3.5670901549703573 50.4077777984852418, -3.5671856502899311 50.4082018435419954, -3.5671497201188984 50.4086638730405596))"
