GRID_ID,WKT
561-SDVN_71_I_250_119,"MultiLineString ((-4.0953637387403434 50.9792644026971686, -4.0954107727541942 50.9791571668482817, -4.0957506489237359 50.9788587712149663, -4.0963053400895149 50.9785694682418296, -4.0983326682572034 50.9776513953523676, -4.1014669852534906 50.9767904404008334, -4.1039013585596784 50.9760850130367515, -4.1052867545342187 50.9753417988461024, -4.1060061403310231 50.9750613496800113, -4.1067923412376466 50.9748755627605732, -4.1079740356859711 50.9744738854615846, -4.1083030694567402 50.9741242042292413, -4.1104696164572871 50.9706066516533198, -4.1118910692340522 50.9697474058189925, -4.1130691725309019 50.9685333396046474, -4.115070825676808 50.9667756006770674, -4.1156459869986168 50.9663251150638459, -4.1171188004348123 50.9655102915904479, -4.1199649423248745 50.964441892336481, -4.1211783556367534 50.9638474864396613, -4.1228707085513676 50.9632471454042957, -4.1247556193450796 50.9625075589886265, -4.1258200118154615 50.9611223011256058, -4.1262270680408095 50.9601535475736327, -4.1266532096246804 50.9597587835965982, -4.1270690720272212 50.9595287904353569, -4.1294897465580442 50.9587261172089114, -4.1301919503800626 50.9583246838402246, -4.130612189113366 50.9580011532600423, -4.1308630263592896 50.957726479648052))"
580-SDVN_71_I_250_119,"MultiLineString ((-4.1308630263592896 50.957726479648052, -4.1312432972715731 50.9573100643978165, -4.1318033762219706 50.9568998844123087, -4.1353038342874493 50.9550527319206239))"
609-SDVN_71_I_250_119,"MultiLineString ((-4.0953637387403434 50.9792644026971686, -4.0947479561594928 50.9806683082675676, -4.0942095994419363 50.9815269701946292, -4.0934449345374446 50.9830212238401401, -4.0925163886164952 50.9857229337866968, -4.0924718217331817 50.986439539430755, -4.09260546383139 50.9876333929326506, -4.0928629291196286 50.9881428561631651, -4.0934021846307331 50.9888026769680707, -4.0935405786736299 50.9891484303917082, -4.0940397817943897 50.9909216638721361, -4.0949254411321485 50.9923612210809836, -4.0960748904921536 50.9940178205155092, -4.0966714709810113 50.9945114733972531, -4.0970788286620152 50.9951731964399002, -4.0984774254104126 50.9972659859186308, -4.0989672435846574 50.9981841583779314, -4.0992662089628968 50.9990070100842914, -4.0995749467026679 50.9994778528651906, -4.1012323722877246 51.0009718311794131, -4.1018511093930243 51.0016905280708031, -4.1027332583490823 51.0029539902643805, -4.1032058291045841 51.0034055929407586, -4.1040977787445163 51.0039643946713568, -4.1049399533121482 51.0043363894165864, -4.1061378015477272 51.0047022315963119, -4.1075825049031556 51.0049724992863673, -4.1081191507379993 51.0051443917036309, -4.1086674115482262 51.0054371267262709, -4.1094420910645093 51.0059978267504661, -4.1098926544452761 51.0061571465445809, -4.1107075130504178 51.0062866748660397, -4.1119293431398125 51.0062840034916292, -4.1124657848125308 51.0064381623273349, -4.11261111643896 51.0065840180203622, -4.1126763682897707 51.0068623606922458, -4.1123829802031686 51.0075365296555034, -4.1120326569423682 51.007789337999597))"
610-SDVN_71_I_250_119,"MultiLineString ((-4.1353038342874493 50.9550527319206239, -4.1357550204529741 50.9548556797402767, -4.1359330133199688 50.9547036671172719, -4.1359495919829659 50.9546429259372999, -4.1365102709653918 50.9545703400352181, -4.137403367135966 50.9543847304986528, -4.1387879778637426 50.9540284931909326, -4.140870399364827 50.9536658305823948, -4.1420863067778786 50.9531935704224992, -4.1428909863120937 50.9529441564796315, -4.1433931026323014 50.9528453181023337))"
611-SDVN_71_I_250_119,"MultiLineString ((-4.1120326569423682 51.007789337999597, -4.1118919608828541 51.0078960768612575, -4.1113672483717458 51.0084649744630951, -4.110322145885676 51.0105968437691217, -4.1085699745880992 51.0121858468224403, -4.1056294537182243 51.014447942579622, -4.1033322426550445 51.0162589443423613, -4.1023341146862906 51.018772749303885, -4.1023067999023395 51.0193855282016173, -4.1020308961284062 51.0209995478882661, -4.1018003196517192 51.0214219930432975, -4.1016775682597064 51.0219363903217342, -4.1011795971081177 51.0222577021446142, -4.1012048569223518 51.0225899283630824))"
1035-SDVN_821_I_245_127,"MultiLineString ((-4.1877997758411514 51.0380603050353017, -4.1911607965554323 51.0361245303441038, -4.1947052182747733 51.0342943851121689, -4.1954592767583128 51.0336506485042847, -4.1959083579215157 51.0330548252043101, -4.1958840634111478 51.0326616268799427, -4.1959864443278576 51.0325946771543713, -4.1959813463374891 51.0324868483694942, -4.1959038178110823 51.0324308363075971, -4.1966990328695424 51.0318047577303133, -4.1969049717779017 51.0314817866790946, -4.1973696905622884 51.0298576815912384, -4.1976478589558095 51.0292258549306652, -4.1981402798800911 51.0270218498796098, -4.1980002711258058 51.0264288305820557, -4.1975863002009008 51.0257208999999179, -4.1968472370790799 51.0245704003543352, -4.1967163042052711 51.0239245150354535, -4.1967218127802326 51.023332273354292, -4.1970326986570274 51.0221294688086999, -4.1971959977968654 51.0218586578377469, -4.1977499536082137 51.021167780938228, -4.1983984100698457 51.0206120954576718, -4.199236209069853 51.0198154111055118, -4.1996092532468303 51.018973623696283))"
1043-SDVN_821_I_245_127,"MultiLineString ((-4.20072562426666 51.0170971645825446, -4.2013806523582558 51.0160848667458779, -4.2048360937760965 51.0167931018603511, -4.2047155539585397 51.0174258266917136, -4.2043187491002252 51.0188677402324089))"
1056-SDVN_821_I_245_127,"MultiLineString ((-4.1996092532468303 51.018973623696283, -4.1996715119307568 51.0188331190432578, -4.2000787807212374 51.0184546434041337, -4.2001139201978246 51.0180795785165628, -4.2003080802995729 51.0178228418726505, -4.20072562426666 51.0170971645825446))"
2401-TAWT_325_O_273_108,"MultiLineString ((-3.9942717733790634 50.9672440934018454, -3.9939421886842861 50.9670252345351145, -3.9935775940082698 50.9668361212443415, -3.9931240743777789 50.9666424091649262, -3.9922184145249751 50.9660274208268831, -3.9914410511460527 50.9652515022808501, -3.9904702597166004 50.9636252134784726, -3.9900345707531502 50.9631379974983147, -3.9896471261392685 50.9620634019629222, -3.9893388503326532 50.9615979348666031, -3.9882989733526943 50.9607110808116346, -3.9884625456362457 50.9597830441626982, -3.9878645149105241 50.9583739630075385, -3.9870075737075403 50.9553348973639046, -3.9864561009639035 50.9536996397743991, -3.9861191638445264 50.9533145141809385, -3.9853198124746889 50.9527733896802673, -3.9849260293352642 50.9523703409040252, -3.9846867082518806 50.951321899820897, -3.9837551519468986 50.9498318586652772, -3.9830779963617911 50.9499215151577545, -3.9819693297622707 50.9499281985018797, -3.981662621780405 50.9487764792089095, -3.9808305204956205 50.9477100279178785, -3.9806212196980604 50.9475421620283981, -3.9799216941681421 50.9472289101558076, -3.9781796782414256 50.9467087519430777, -3.9773305337370055 50.9461501574134275, -3.9753421120389776 50.9452059466405558, -3.9713154994569093 50.9446987688254609, -3.9697507201960738 50.9444333352021843, -3.9683052298364458 50.9439416606650468, -3.9678101730515354 50.9436801979422711, -3.967214820952516 50.9430595961599408, -3.9670463969691596 50.9430422862706394, -3.9664990097245791 50.9432774186378978, -3.9656917074031308 50.9434289647960057, -3.9629715767752201 50.9434692113935697, -3.9602716168455387 50.9435930563066037, -3.9579679850328411 50.9439443011363124, -3.9573136906689488 50.9439403348989615, -3.9568875527755663 50.9438507020529912, -3.9535361461222553 50.9427430137472825, -3.9511108567082882 50.9426710286866964, -3.9510572608482266 50.9421936425397206, -3.9507447449897275 50.9417029517229594, -3.949613489162302 50.9408391068180961, -3.9483653572735742 50.940297192616903, -3.9475278613947249 50.9397301652374423, -3.9466652592935594 50.9382962952563503, -3.945947416346292 50.9371985281778663, -3.9454093152304535 50.9367673396611877, -3.9442951597716558 50.9361475151051337, -3.9431365889268224 50.9357246593335589, -3.9425954009123654 50.9356074765531233, -3.941867388085619 50.9356076149603609, -3.9417023104921238 50.935529685203818, -3.9415154961895378 50.9353843943789002, -3.9413987057766264 50.9351194939288874, -3.9400426353204767 50.9343958140569839, -3.9399447754475605 50.934301842743011))"
2402-TAWT_325_O_273_108,"MultiLineString ((-3.9399447754475605 50.934301842743011, -3.9397373865606249 50.9341028326501117, -3.9396495104822509 50.9339543675805828, -3.9394033500310943 50.9337609535034019, -3.939224610418822 50.9337238083491144, -3.9381909513687665 50.9331944164535884, -3.9376438353613867 50.9325878782376478, -3.9374511520346145 50.9322939247468582, -3.9360003875713936 50.9306607202477934, -3.9355310277221278 50.929783256359606, -3.9354131681734397 50.9297038165238618, -3.9339844963109312 50.9298474468700206, -3.932549045963408 50.9298891868926589, -3.9310076726462504 50.9299058590507983, -3.9294228371617801 50.9298042440346563, -3.9276679726930768 50.9296274395430828, -3.9271251904359659 50.9296442182709441, -3.9257703524658019 50.9299183761813836, -3.9234580172609466 50.9302473160855058, -3.9230615417281047 50.9302404421645889, -3.9225733163431822 50.9301344397961202, -3.9213726145367152 50.9295775310190209, -3.9200870451795748 50.9295992952502203, -3.9198231879898189 50.9295677474665354, -3.9194420552158125 50.9294839853983348, -3.9186592997928695 50.9290811664390333, -3.9176681559522475 50.928846254300467, -3.9166452182331422 50.9285401828919575, -3.915813772677561 50.9284266583135548, -3.9150227090525784 50.9282255895061979, -3.9131924227748667 50.9279724755833598, -3.912558183408009 50.9275108011066422, -3.911668686181287 50.9265632528352867, -3.9100956297181466 50.9261609984907793, -3.9093900535911401 50.925929716316702, -3.9091693643092156 50.9257804372941436, -3.9092529871018127 50.9251881175667691, -3.9098348391379347 50.9242359227706061, -3.9098777036891943 50.9239968986353944, -3.9097433494154177 50.9237040250712241, -3.9095538792712308 50.923521141696348, -3.9087929854186476 50.9230877831348536, -3.9071064520919383 50.9232058127683871, -3.9066946281727275 50.9233126336097754, -3.9056191389993882 50.9240876067668182, -3.9043310121045205 50.9246877899697807, -3.9031836466652088 50.9247941802255895, -3.9023765152082204 50.9246427546018907, -3.90190468490895 50.9246883021322176, -3.900459110301425 50.9248952949187625))"
