GRID_ID,WKT
430-SDVN_5B_I_250_119,"MultiLineString ((-3.9356520461711679 50.8263863760113708, -3.9356455560032257 50.8262425642169759, -3.9358802115251055 50.8253932666656425, -3.9360600698712402 50.8239063480693787, -3.9363305188061277 50.8232363370533022, -3.9364528875127665 50.822577057743878, -3.9367222840528928 50.8214771716868938, -3.9365468137613546 50.8202289033553711, -3.9365305570461242 50.8191499479132744, -3.9367411938998793 50.8187507345180052, -3.9367592496246742 50.8184837760507193, -3.936445642448573 50.8176331571833018, -3.9356470064747962 50.8159809079800979, -3.9355776808065608 50.8145347374928633, -3.9355485864194097 50.8143358348158216, -3.9353886713442412 50.8138055347502657, -3.935427825827722 50.8130702972554715, -3.9353426229159152 50.8121804567806805, -3.9351856298849013 50.8116896791902022, -3.9345269914055314 50.8109173632522726, -3.9343600433762518 50.8109479217558686, -3.9332898335530366 50.8108127745092233, -3.9321819840368502 50.810453403832355, -3.9312858150068641 50.8100635377744538, -3.9295322643744761 50.8095349610783771, -3.9287890927308697 50.8094123495524741, -3.9278432468350695 50.8090317324783243, -3.9273369261194153 50.8086179453277325, -3.9268827443749461 50.8083602310158327, -3.9260285749031461 50.8079162099290897, -3.9248155707403747 50.8073645168150847, -3.9218976421416882 50.8065985404056519, -3.9204056546804127 50.8062642737580319, -3.9185002040552104 50.8057249930147066, -3.9177783539732016 50.8053965503708227, -3.9170140021651081 50.8052257377364356, -3.9155090458331516 50.8047321675895347, -3.9144099826943992 50.8046050562145766, -3.9142206448258023 50.8044245168983437, -3.9142075088305517 50.8042108677989859, -3.914568005058348 50.8036832401966407, -3.914596326496667 50.8034942722184084, -3.9142545084585043 50.8025106006069009, -3.9138328653878549 50.8018374332175995, -3.9129388809020553 50.8010277563382857, -3.9124162124174675 50.8003542618187751, -3.9112647622757479 50.7993234154968789, -3.9094053002798073 50.7992027789000531, -3.9088431695671981 50.7990424524075408, -3.9087249996446398 50.7989182076570103, -3.9079617301721807 50.7990978841256009, -3.9073421685285834 50.799325209470382))"
431-SDVN_5B_I_250_119,"MultiLineString ((-3.9073421685285834 50.799325209470382, -3.907355406527929 50.7993436095032678))"
432-SDVN_5B_I_250_119,"MultiLineString ((-3.907355406527929 50.7993436095032678, -3.9073634405386257 50.7993547982218772))"
452-SDVN_5B_I_250_119,"MultiLineString ((-3.8977846920260175 50.7997926743297938, -3.897562823175587 50.7996192547314251, -3.8972403404514848 50.799218715244173))"
453-SDVN_5B_I_250_119,"MultiLineString ((-3.8972403404514848 50.799218715244173, -3.8970490543641927 50.7989668616414889))"
454-SDVN_5B_I_250_119,"MultiLineString ((-3.8970490543641927 50.7989668616414889, -3.8968579158130408 50.7987150952665374))"
455-SDVN_5B_I_250_119,"MultiLineString ((-3.8968579158130408 50.7987150952665374, -3.8963984313352471 50.7980430202123046))"
456-SDVN_5B_I_250_119,"MultiLineString ((-3.8963984313352471 50.7980430202123046, -3.8961368748059133 50.7976606432349342))"
457-SDVN_5B_I_250_119,"MultiLineString ((-3.8961368748059133 50.7976606432349342, -3.8960334050381809 50.7973517807526278))"
458-SDVN_5B_I_250_119,"MultiLineString ((-3.8960334050381809 50.7973517807526278, -3.8960143251547654 50.7970978455313613))"
