GRID_ID,WKT
AUC-3255,"MultiPolygon (((-3.27224871 50.7723835, -3.27363843 50.77079451, -3.27650336 50.77076319, -3.27797874 50.77232085, -3.27658912 50.77390989, -3.273724 50.77394122, -3.27224871 50.7723835)))"
AWB-3233,"MultiPolygon (((-3.05465157 50.84537385, -3.0560509 50.84378743, -3.05892052 50.84376144, -3.06039101 50.84532187, -3.05899179 50.84690834, -3.05612198 50.84693433, -3.05465157 50.84537385)))"
AUH-3249,"MultiPolygon (((-3.25130707 50.79306975, -3.25269816 50.79148103, -3.2555644 50.7914502, -3.25703975 50.7930081, -3.25564876 50.79459686, -3.25278232 50.79462769, -3.25130707 50.79306975)))"
AWR-3276,"MultiPolygon (((-2.98293604 50.71065494, -2.98433385 50.70906933, -2.98719533 50.70904513, -2.9886592 50.71060653, -2.9872615 50.71219218, -2.98439982 50.71221639, -2.98293604 50.71065494)))"
AWH-3260,"MultiPolygon (((-3.0269595 50.76063708, -3.02835726 50.75905099, -3.03122167 50.75902571, -3.03268851 50.76058652, -3.03129086 50.76217266, -3.02842625 50.76219794, -3.0269595 50.76063708)))"
ATO-3245,"MultiPolygon (((-3.33330804 50.80317761, -3.3346966 50.80158791, -3.33756329 50.80155507, -3.33904163 50.80311191, -3.33765319 50.80470166, -3.33478629 50.80473451, -3.33330804 50.80317761)))"
AUE-3281,"MultiPolygon (((-3.26145294 50.69066238, -3.26284071 50.68907351, -3.26570067 50.6890425, -3.26717306 50.69060035, -3.2657854 50.69218926, -3.26292524 50.69222028, -3.26145294 50.69066238)))"
AVU-3249,"MultiPolygon (((-3.08358016 50.79317439, -3.08497694 50.79158764, -3.08784329 50.79156096, -3.08931307 50.79312103, -3.0879164 50.79470784, -3.08504984 50.79473452, -3.08358016 50.79317439)))"
AXH-3251,"MultiPolygon (((-2.91579112 50.78989138, -2.91719356 50.78830658, -2.92005994 50.78828398, -2.92152407 50.78984619, -2.92012173 50.79143105, -2.91725516 50.79145365, -2.91579112 50.78989138)))"
ATM-3247,"MultiPolygon (((-3.34172806 50.79678577, -3.34311613 50.79519597, -3.34598243 50.79516292, -3.34746085 50.79671966, -3.34607288 50.79830951, -3.3432064 50.79834257, -3.34172806 50.79678577)))"
AVN-3234,"MultiPolygon (((-3.1148399 50.84166705, -3.11623703 50.84007993, -3.1191064 50.84005243, -3.12057881 50.84161206, -3.11918174 50.84319926, -3.11631218 50.84322676, -3.1148399 50.84166705)))"
AWR-3237,"MultiPolygon (((-2.98551207 50.83338799, -2.98691341 50.83180238, -2.98978234 50.83177809, -2.99125013 50.83333939, -2.98984889 50.83492505, -2.98697977 50.83494935, -2.98551207 50.83338799)))"
ARP-3252,"MultiPolygon (((-3.55192565 50.78001326, -3.55330608 50.77842104, -3.55617112 50.77838284, -3.55765592 50.77993685, -3.5562756 50.78152913, -3.55341037 50.78156733, -3.55192565 50.78001326)))"
AVR-3232,"MultiPolygon (((-3.09777089 50.84812395, -3.09916882 50.84653703, -3.10203859 50.84650996, -3.10351062 50.84806981, -3.10211279 50.84965681, -3.09924283 50.84968388, -3.09777089 50.84812395)))"
AUR-3282,"MultiPolygon (((-3.20564037 50.68967898, -3.20703001 50.68809077, -3.20988997 50.68806113, -3.21136049 50.6896197, -3.20997096 50.69120796, -3.2071108 50.6912376, -3.20564037 50.68967898)))"
AVL-3222,"MultiPolygon (((-3.12435665 50.87934625, -3.12575458 50.87775901, -3.12862623 50.87773128, -3.13010014 50.87929079, -3.12870231 50.88087808, -3.12583047 50.88090581, -3.12435665 50.87934625)))"
ATR-3275,"MultiPolygon (((-3.31779616 50.71049875, -3.31918257 50.70890926, -3.32204364 50.70887684, -3.32351851 50.71043391, -3.3221322 50.71202346, -3.31927093 50.71205589, -3.31779616 50.71049875)))"
AWI-3236,"MultiPolygon (((-3.02427808 50.83462793, -3.02567813 50.83304187, -3.0285471 50.83301662, -3.03001621 50.83457744, -3.02861627 50.83616355, -3.02574711 50.8361888, -3.02427808 50.83462793)))"
AWU-3231,"MultiPolygon (((-2.97296107 50.85080472, -2.97436337 50.84921926, -2.97723342 50.84919525, -2.97870136 50.85075669, -2.97729917 50.85234221, -2.97442893 50.85236622, -2.97296107 50.85080472)))"
AUU-3263,"MultiPolygon (((-3.19424875 50.74802729, -3.19564054 50.74643921, -3.19850409 50.74640981, -3.19997605 50.7479685, -3.19858435 50.74955663, -3.19572061 50.74958603, -3.19424875 50.74802729)))"
AUE-3241,"MultiPolygon (((-3.26484247 50.8165305, -3.26623383 50.81494162, -3.26910146 50.81491046, -3.27057793 50.81646817, -3.26918668 50.8180571, -3.26631885 50.81808827, -3.26484247 50.8165305)))"
ASR-3250,"MultiPolygon (((-3.43177668 50.78784568, -3.43316144 50.78625484, -3.43602711 50.78621958, -3.4375082 50.78777516, -3.43612354 50.78936605, -3.43325768 50.78940131, -3.43177668 50.78784568)))"
ATK-3271,"MultiPolygon (((-3.34815434 50.72116825, -3.34954002 50.7195784, -3.35240172 50.71954523, -3.35387792 50.72110191, -3.35249234 50.72269181, -3.34963045 50.72272498, -3.34815434 50.72116825)))"
AUZ-3238,"MultiPolygon (((-3.17478176 50.82848834, -3.17617654 50.82690049, -3.17904505 50.82687154, -3.18051897 50.82843043, -3.1791243 50.83001831, -3.17625561 50.83004726, -3.17478176 50.82848834)))"
AVJ-3233,"MultiPolygon (((-3.13213283 50.84464802, -3.13352953 50.84306067, -3.13639907 50.84303273, -3.13787211 50.84459215, -3.13647552 50.84617956, -3.13360579 50.8462075, -3.13213283 50.84464802)))"
