GRID_ID,WKT
ARP-3265,"MultiPolygon (((-3.55057284 50.73911122, -3.55195215 50.737519, -3.55481469 50.73748086, -3.55629812 50.73903493, -3.55491891 50.74062721, -3.55205618 50.74066536, -3.55057284 50.73911122)))"
ARY-3276,"MultiPolygon (((-3.51076206 50.70343519, -3.5121417 50.70184345, -3.51500214 50.70180631, -3.51648313 50.70336089, -3.51510359 50.70495268, -3.51224296 50.70498983, -3.51076206 50.70343519)))"
ARY-3260,"MultiPolygon (((-3.51238282 50.75377756, -3.51376385 50.7521858, -3.51662734 50.7521486, -3.51810999 50.75370314, -3.51672907 50.75529496, -3.51386538 50.75533217, -3.51238282 50.75377756)))"
ARW-3260,"MultiPolygon (((-3.52097357 50.75366582, -3.52235431 50.75207396, -3.52521778 50.75203653, -3.52670071 50.75359097, -3.52532008 50.75518288, -3.52245641 50.75522031, -3.52097357 50.75366582)))"
ARX-3262,"MultiPolygon (((-3.51652564 50.74900222, -3.51790639 50.7474104, -3.52076959 50.74737309, -3.52225222 50.7489276, -3.52087157 50.75051947, -3.51800818 50.75055679, -3.51652564 50.74900222)))"
ARX-3261,"MultiPolygon (((-3.51662734 50.7521486, -3.51800818 50.75055679, -3.52087157 50.75051947, -3.52235431 50.75207396, -3.52097357 50.75366582, -3.51810999 50.75370314, -3.51662734 50.7521486)))"
ARP-3264,"MultiPolygon (((-3.55067678 50.74225757, -3.55205618 50.74066536, -3.55491891 50.74062721, -3.55640245 50.74218128, -3.55502316 50.74377353, -3.55216023 50.74381168, -3.55067678 50.74225757)))"
ASB-3260,"MultiPolygon (((-3.49954687 50.75551717, -3.50092839 50.75392554, -3.50379201 50.75388864, -3.5052743 50.75544337, -3.50389287 50.75703503, -3.50102906 50.75707195, -3.49954687 50.75551717)))"
ARZ-3277,"MultiPolygon (((-3.50642081 50.70191753, -3.50780055 50.70032584, -3.5106609 50.7002888, -3.5121417 50.70184345, -3.51076206 50.70343519, -3.50790152 50.70347223, -3.50642081 50.70191753)))"
ARZ-3264,"MultiPolygon (((-3.50773352 50.74282079, -3.50911439 50.74122907, -3.51197722 50.74119199, -3.51345937 50.74274662, -3.51207859 50.74433838, -3.50921557 50.74437547, -3.50773352 50.74282079)))"
ARU-3260,"MultiPolygon (((-3.52956427 50.75355343, -3.5309447 50.75196147, -3.53380816 50.75192384, -3.53529137 50.75347816, -3.53391104 50.75507017, -3.53104739 50.75510781, -3.52956427 50.75355343)))"
ART-3262,"MultiPolygon (((-3.5337053 50.74877749, -3.53508546 50.74718547, -3.53794862 50.74714773, -3.5394318 50.74870202, -3.53805175 50.75029409, -3.5351884 50.75033183, -3.5337053 50.74877749)))"
ASC-3261,"MultiPolygon (((-3.49510088 50.75085271, -3.49648242 50.74926114, -3.49934575 50.74922436, -3.50082774 50.75077915, -3.4994463 50.75237077, -3.49658278 50.75240755, -3.49510088 50.75085271)))"
ARN-3265,"MultiPolygon (((-3.55916075 50.73899668, -3.56053976 50.73740436, -3.56340228 50.73736601, -3.56488599 50.73891997, -3.56350709 50.74051235, -3.56064437 50.7405507, -3.55916075 50.73899668)))"
ASD-3262,"MultiPolygon (((-3.49075574 50.74933448, -3.49213738 50.74774296, -3.49500062 50.74770629, -3.49648242 50.74926114, -3.49510088 50.75085271, -3.49223745 50.75088938, -3.49075574 50.74933448)))"
ARZ-3260,"MultiPolygon (((-3.508138 50.75540637, -3.50951922 50.75381465, -3.51238282 50.75377756, -3.51386538 50.75533217, -3.51248426 50.75692393, -3.50962047 50.75696104, -3.508138 50.75540637)))"
ARV-3261,"MultiPolygon (((-3.52521778 50.75203653, -3.52659832 50.75044462, -3.52946169 50.75040709, -3.5309447 50.75196147, -3.52956427 50.75355343, -3.52670071 50.75359097, -3.52521778 50.75203653)))"
ARZ-3262,"MultiPolygon (((-3.50793572 50.7491136, -3.50931677 50.74752188, -3.51217999 50.74748479, -3.51366234 50.74903942, -3.51228139 50.75063119, -3.50941799 50.75066828, -3.50793572 50.7491136)))"
ASA-3278,"MultiPolygon (((-3.50197923 50.69725325, -3.50335899 50.6956616, -3.50621907 50.69562469, -3.50769958 50.69717941, -3.50631993 50.69877111, -3.50345966 50.69880803, -3.50197923 50.69725325)))"
ASA-3260,"MultiPolygon (((-3.50379201 50.75388864, -3.50517334 50.75229698, -3.50803685 50.75225999, -3.50951922 50.75381465, -3.508138 50.75540637, -3.5052743 50.75544337, -3.50379201 50.75388864)))"
ARM-3263,"MultiPolygon (((-3.56361191 50.74365865, -3.5649909 50.7420663, -3.56785371 50.74202784, -3.56933771 50.74358171, -3.56795882 50.74517413, -3.56509582 50.7452126, -3.56361191 50.74365865)))"
ASA-3263,"MultiPolygon (((-3.50348951 50.74444943, -3.50487058 50.74285776, -3.50773352 50.74282079, -3.50921557 50.74437547, -3.50783461 50.74596719, -3.50497148 50.74600417, -3.50348951 50.74444943)))"
ARU-3261,"MultiPolygon (((-3.52946169 50.75040709, -3.53084204 50.74881512, -3.5337053 50.74877749, -3.5351884 50.75033183, -3.53380816 50.75192384, -3.5309447 50.75196147, -3.52946169 50.75040709)))"
ASC-3262,"MultiPolygon (((-3.49500062 50.74770629, -3.49638207 50.74611471, -3.49924521 50.74607793, -3.5007271 50.74763273, -3.49934575 50.74922436, -3.49648242 50.74926114, -3.49500062 50.74770629)))"
ARN-3264,"MultiPolygon (((-3.55926527 50.74214302, -3.56064437 50.7405507, -3.56350709 50.74051235, -3.5649909 50.7420663, -3.56361191 50.74365865, -3.560749 50.74369701, -3.55926527 50.74214302)))"
ASB-3261,"MultiPolygon (((-3.4994463 50.75237077, -3.50082774 50.75077915, -3.50369116 50.75074226, -3.50517334 50.75229698, -3.50379201 50.75388864, -3.50092839 50.75392554, -3.4994463 50.75237077)))"
ASD-3263,"MultiPolygon (((-3.49065577 50.74618806, -3.49203733 50.74459654, -3.49490038 50.74455987, -3.49638207 50.74611471, -3.49500062 50.74770629, -3.49213738 50.74774296, -3.49065577 50.74618806)))"
ARM-3268,"MultiPolygon (((-3.56308799 50.72792699, -3.56446655 50.72633463, -3.5673284 50.72629618, -3.56881188 50.7278501, -3.56743342 50.72944251, -3.56457138 50.72948096, -3.56308799 50.72792699)))"
ARO-3264,"MultiPolygon (((-3.55491891 50.74062721, -3.55629812 50.73903493, -3.55916075 50.73899668, -3.56064437 50.7405507, -3.55926527 50.74214302, -3.55640245 50.74218128, -3.55491891 50.74062721)))"
ASE-3262,"MultiPolygon (((-3.48641087 50.74781608, -3.48779261 50.74622463, -3.49065577 50.74618806, -3.49213738 50.74774296, -3.49075574 50.74933448, -3.48789239 50.74937105, -3.48641087 50.74781608)))"
ASA-3261,"MultiPolygon (((-3.50369116 50.75074226, -3.50507241 50.74915059, -3.50793572 50.7491136, -3.50941799 50.75066828, -3.50803685 50.75225999, -3.50517334 50.75229698, -3.50369116 50.75074226)))"
ARV-3262,"MultiPolygon (((-3.5251155 50.74889017, -3.52649595 50.74729825, -3.52935913 50.74726072, -3.53084204 50.74881512, -3.52946169 50.75040709, -3.52659832 50.75044462, -3.5251155 50.74889017)))"
ARY-3259,"MultiPolygon (((-3.51248426 50.75692393, -3.51386538 50.75533217, -3.51672907 50.75529496, -3.51821182 50.75684951, -3.51683081 50.75844133, -3.51396693 50.75847854, -3.51248426 50.75692393)))"
ARY-3261,"MultiPolygon (((-3.51228139 50.75063119, -3.51366234 50.74903942, -3.51652564 50.74900222, -3.51800818 50.75055679, -3.51662734 50.7521486, -3.51376385 50.7521858, -3.51228139 50.75063119)))"
ARX-3276,"MultiPolygon (((-3.51510359 50.70495268, -3.51648313 50.70336089, -3.51934365 50.70332363, -3.52082483 50.70487816, -3.5194454 50.70646999, -3.51658469 50.70650726, -3.51510359 50.70495268)))"
ARZ-3261,"MultiPolygon (((-3.50803685 50.75225999, -3.50941799 50.75066828, -3.51228139 50.75063119, -3.51376385 50.7521858, -3.51238282 50.75377756, -3.50951922 50.75381465, -3.50803685 50.75225999)))"
ARW-3271,"MultiPolygon (((-3.51985257 50.7190555, -3.52123235 50.71746364, -3.52409371 50.71742626, -3.52557549 50.71898074, -3.52419581 50.72057265, -3.52133426 50.72061003, -3.51985257 50.7190555)))"
ARU-3270,"MultiPolygon (((-3.52853934 50.72208963, -3.52991891 50.72049767, -3.53278045 50.72046007, -3.53426261 50.72201444, -3.53288314 50.72360646, -3.53002141 50.72364405, -3.52853934 50.72208963)))"
ASB-3264,"MultiPolygon (((-3.4991447 50.74293151, -3.50052588 50.74133989, -3.50338872 50.74130302, -3.50487058 50.74285776, -3.50348951 50.74444943, -3.50062647 50.74448631, -3.4991447 50.74293151)))"
ASI-3275,"MultiPolygon (((-3.46795156 50.70712969, -3.46933278 50.70553847, -3.47219352 50.70550242, -3.47367324 50.70705761, -3.47229215 50.70864892, -3.46943119 50.70868494, -3.46795156 50.70712969)))"
ASC-3263,"MultiPolygon (((-3.49490038 50.74455987, -3.49628175 50.74296829, -3.4991447 50.74293151, -3.50062647 50.74448631, -3.49924521 50.74607793, -3.49638207 50.74611471, -3.49490038 50.74455987)))"
ASK-3267,"MultiPolygon (((-3.46015172 50.73240958, -3.4615339 50.73081841, -3.46439615 50.73078248, -3.4658764 50.73233772, -3.46449432 50.73392894, -3.46163188 50.73396487, -3.46015172 50.73240958)))"
ARX-3267,"MultiPolygon (((-3.5160174 50.7332702, -3.51739772 50.73167839, -3.52025996 50.7316411, -3.52174207 50.73319563, -3.52036185 50.7347875, -3.51749942 50.73482479, -3.5160174 50.7332702)))"
ARV-3268,"MultiPolygon (((-3.52450222 50.73001183, -3.52588216 50.72841991, -3.52874418 50.72838241, -3.53022646 50.72993683, -3.52884663 50.73152881, -3.52598441 50.73156631, -3.52450222 50.73001183)))"
ART-3274,"MultiPolygon (((-3.53247249 50.71102096, -3.53385161 50.70942896, -3.53671247 50.70939128, -3.5381944 50.7109456, -3.53681539 50.71253764, -3.53395433 50.71257532, -3.53247249 50.71102096)))"
ASB-3272,"MultiPolygon (((-3.49834111 50.71776018, -3.49972159 50.71616858, -3.50258292 50.71613172, -3.50406396 50.71768647, -3.50268359 50.71927813, -3.49982207 50.71931499, -3.49834111 50.71776018)))"
ASC-3270,"MultiPolygon (((-3.49419913 50.72253492, -3.49557988 50.72094335, -3.4984415 50.7209066, -3.49992256 50.7224614, -3.49854192 50.72405301, -3.4956801 50.72408978, -3.49419913 50.72253492)))"
ARU-3271,"MultiPolygon (((-3.52843694 50.71894325, -3.52981642 50.71735129, -3.53267778 50.71731369, -3.53415983 50.71886806, -3.53278045 50.72046007, -3.52991891 50.72049767, -3.52843694 50.71894325)))"
ASD-3264,"MultiPolygon (((-3.49055584 50.74304163, -3.49193731 50.74145011, -3.49480017 50.74141344, -3.49628175 50.74296829, -3.49490038 50.74455987, -3.49203733 50.74459654, -3.49055584 50.74304163)))"
ARN-3267,"MultiPolygon (((-3.55895176 50.73270399, -3.56033059 50.73111168, -3.56319274 50.73107333, -3.56467623 50.7326273, -3.5632975 50.73421967, -3.56043516 50.73425802, -3.55895176 50.73270399)))"
