GRID_ID,WKT
AQA-3252,"MultiPolygon (((-3.72806206 50.77596282, -3.72943632 50.7743686, -3.73230086 50.7743261, -3.73379133 50.77587782, -3.73241718 50.77747209, -3.72955245 50.77751459, -3.72806206 50.77596282)))"
AUM-3216,"MultiPolygon (((-3.23250056 50.89556563, -3.23389527 50.89397712, -3.2367678 50.89394671, -3.2382458 50.89550482, -3.23685118 50.89709339, -3.23397847 50.8971238, -3.23250056 50.89556563)))"
ASJ-3216,"MultiPolygon (((-3.46952365 50.89439635, -3.47091022 50.89280506, -3.47378239 50.89276878, -3.47526819 50.89432378, -3.47388173 50.89591511, -3.47100936 50.8959514, -3.46952365 50.89439635)))"
ASW-3174,"MultiPolygon (((-3.41748208 51.02566362, -3.41887425 51.02407295, -3.4217546 51.02403794, -3.42324297 51.02559359, -3.42185088 51.0271843, -3.41897035 51.02721932, -3.41748208 51.02566362)))"
ATA-3212,"MultiPolygon (((-3.39660831 50.90630806, -3.39799773 50.90471765, -3.40087072 50.90468321, -3.4023545 50.90623918, -3.40096519 50.90782965, -3.398092 50.9078641, -3.39660831 50.90630806)))"
AQA-3264,"MultiPolygon (((-3.72667118 50.73821073, -3.72804441 50.73661653, -3.73090665 50.73657408, -3.73239583 50.73812583, -3.7310227 50.73972008, -3.72816028 50.73976253, -3.72667118 50.73821073)))"
AUB-3218,"MultiPolygon (((-3.27976877 50.89033558, -3.28116173 50.88874651, -3.28403388 50.88871494, -3.28551327 50.89027245, -3.28412042 50.89186157, -3.28124807 50.89189313, -3.27976877 50.89033558)))"
AQU-3218,"MultiPolygon (((-3.64587926 50.88417286, -3.64725946 50.88257956, -3.65013075 50.88253902, -3.65162203 50.88409178, -3.65024193 50.88568513, -3.64737045 50.88572568, -3.64587926 50.88417286)))"
ARN-3195,"MultiPolygon (((-3.56652324 50.95923423, -3.56790834 50.95764183, -3.57078437 50.95760317, -3.57227549 50.95915692, -3.5708905 50.96074937, -3.56801427 50.96078803, -3.56652324 50.95923423)))"
APY-3261,"MultiPolygon (((-3.73560731 50.74752126, -3.7369805 50.74592695, -3.7398433 50.74588427, -3.74133309 50.7474359, -3.73996 50.74903026, -3.73709702 50.74907294, -3.73560731 50.74752126)))"
AQV-3253,"MultiPolygon (((-3.63776741 50.77569162, -3.63914477 50.77409842, -3.64200944 50.77405812, -3.64349694 50.77561102, -3.64211968 50.77720428, -3.63925481 50.77724458, -3.63776741 50.77569162)))"
