GRID_ID,WKT
APA-3184,"MultiPolygon (((-3.84822565 50.98816477, -3.84960191 50.98656903, -3.85247934 50.98652343, -3.8539807 50.98807352, -3.85260455 50.98966928, -3.84972693 50.98971488, -3.84822565 50.98816477)))"
AOQ-3137,"MultiPolygon (((-3.89742257 51.13531803, -3.89880133 51.13372182, -3.90168781 51.13367489, -3.90319571 51.13522418, -3.90181706 51.13682044, -3.89893039 51.13686738, -3.89742257 51.13531803)))"
ANE-3165,"MultiPolygon (((-4.0580305 51.04446414, -4.05940105 51.04286611, -4.06228158 51.04281528, -4.06379174 51.04436248, -4.0624213 51.04596057, -4.05954058 51.0460114, -4.0580305 51.04446414)))"
AOV-3204,"MultiPolygon (((-3.86734699 50.92648017, -3.8687208 50.92488438, -3.87159427 50.92483836, -3.87309412 50.92638813, -3.87172043 50.92798398, -3.86884676 50.92803, -3.86734699 50.92648017)))"
ANP-3163,"MultiPolygon (((-4.01083959 51.05315532, -4.01221204 51.05155783, -4.01509318 51.05150818, -4.01660208 51.05305601, -4.01522974 51.05465355, -4.0123484 51.05470321, -4.01083959 51.05315532)))"
#APR-3189,"MultiPolygon (((-3.77430714 50.97514825, -3.7756856 50.97355344, -3.7785623 50.97350965, -3.78006074 50.97506066, -3.77868239 50.97665552, -3.77580549 50.97669931, -3.77430714 50.97514825)))"
API-3160,"MultiPolygon (((-3.81664391 51.06420551, -3.81802342 51.06261023, -3.8209056 51.06256535, -3.82240845 51.06411575, -3.82102904 51.06571108, -3.81814666 51.06575597, -3.81664391 51.06420551)))"
AOC-3204,"MultiPolygon (((-3.94917546 50.92356931, -3.9505463 50.92197257, -3.95341957 50.92192456, -3.95492216 50.9234733, -3.95355138 50.9250701, -3.95067792 50.9251181, -3.94917546 50.92356931)))"
ANL-3185,"MultiPolygon (((-4.0251092 50.98365821, -4.02647914 50.98206058, -4.02935595 50.98201062, -4.03086302 50.98355829, -4.02949317 50.98515599, -4.02661616 50.98520595, -4.0251092 50.98365821)))"
AMK-3129,"MultiPolygon (((-4.14969269 51.15613256, -4.15106327 51.15453347, -4.15395059 51.1544803, -4.15546751 51.15602623, -4.15409704 51.15762537, -4.15120953 51.15767854, -4.14969269 51.15613256)))"
AMR-3130,"MultiPolygon (((-4.11930224 51.15511355, -4.12067386 51.1535148, -4.12356117 51.15346238, -4.12507705 51.15500872, -4.12370555 51.15660753, -4.12081804 51.15665994, -4.11930224 51.15511355)))"
AMT-3130,"MultiPolygon (((-4.11063996 51.15527026, -4.11201189 51.1536716, -4.11489922 51.15361941, -4.11641482 51.15516586, -4.11504301 51.15676456, -4.11215548 51.15681677, -4.11063996 51.15527026)))"
APW-3156,"MultiPolygon (((-3.7565916 51.077714, -3.75797358 51.07611942, -3.76085665 51.07607602, -3.76235794 51.0776272, -3.76097607 51.07922183, -3.75809281 51.07926523, -3.7565916 51.077714)))"
APO-3198,"MultiPolygon (((-3.78610737 50.94506505, -3.78748456 50.94347011, -3.79035939 50.94342605, -3.79185722 50.94497692, -3.79048014 50.94657192, -3.78760511 50.94661598, -3.78610737 50.94506505)))"
AQV-3168,"MultiPolygon (((-3.64718263 51.04311033, -3.64856743 51.04151698, -3.65144854 51.04147627, -3.65294506 51.04302891, -3.65156038 51.04462231, -3.64867907 51.04466303, -3.64718263 51.04311033)))"
ANC-3127,"MultiPolygon (((-4.07201095 51.16383061, -4.07338446 51.16223239, -4.0762724 51.16218114, -4.07778702 51.1637281, -4.07641361 51.16532637, -4.07352548 51.16537762, -4.07201095 51.16383061)))"
AMV-3117,"MultiPolygon (((-4.10383782 51.19631324, -4.10521114 51.19471468, -4.10810106 51.19466261, -4.10961786 51.1962091, -4.10824465 51.1978077, -4.10535453 51.19785978, -4.10383782 51.19631324)))"
APP-3170,"MultiPolygon (((-3.7852305 51.03478705, -3.78661024 51.03319214, -3.78949062 51.03314805, -3.79099144 51.03469887, -3.78961181 51.03629383, -3.78673125 51.03633792, -3.7852305 51.03478705)))"
APB-3119,"MultiPolygon (((-3.85212261 51.19427518, -3.85350465 51.19267951, -3.85639487 51.19263369, -3.85790324 51.19418353, -3.85652131 51.19577925, -3.8536309 51.19582508, -3.85212261 51.19427518)))"
AQV-3175,"MultiPolygon (((-3.64640219 51.02108807, -3.64778635 51.01949474, -3.65066609 51.01945408, -3.65216186 51.02100673, -3.65077784 51.02260008, -3.6478979 51.02264076, -3.64640219 51.02108807)))"
AOF-3153,"MultiPolygon (((-3.94300413 51.08578014, -3.94437989 51.08418341, -3.9472632 51.0841354, -3.94877095 51.08568411, -3.94739531 51.08728089, -3.9445118 51.08732891, -3.94300413 51.08578014)))"
AOR-3175,"MultiPolygon (((-3.88828442 51.01742796, -3.88966013 51.01583184, -3.89253931 51.01578521, -3.89404297 51.01733469, -3.89266737 51.01893086, -3.889788 51.0189775, -3.88828442 51.01742796)))"
ANR-3180,"MultiPolygon (((-3.99989274 50.9998315, -4.00126404 50.99823413, -4.00414189 50.99818479, -4.00564864 50.99973281, -4.00427745 51.00133023, -4.0013994 51.00137958, -3.99989274 50.9998315)))"
APM-3158,"MultiPolygon (((-3.79959432 51.07076457, -3.8009746 51.06916949, -3.80385718 51.06912503, -3.80535966 51.07067566, -3.80397948 51.07227079, -3.80109672 51.07231525, -3.79959432 51.07076457)))"
