GRID_ID,WKT
AOF-3355,"MultiPolygon (((-3.91685069 50.45035429, -3.91820943 50.4487579, -3.921054 50.44871097, -3.92254002 50.45026042, -3.9211814 50.45185686, -3.91833664 50.45190379, -3.91685069 50.45035429)))"
APV-3341,"MultiPolygon (((-3.7392381 50.49721641, -3.74060419 50.49562204, -3.74345185 50.49557942, -3.74493361 50.49713118, -3.74356762 50.49872561, -3.74071977 50.49876822, -3.7392381 50.49721641)))"
AOV-3386,"MultiPolygon (((-3.84478706 50.35393152, -3.84614556 50.35233594, -3.84898448 50.35229083, -3.85046508 50.35384129, -3.84910669 50.35543691, -3.84626759 50.35548203, -3.84478706 50.35393152)))"
APH-3381,"MultiPolygon (((-3.79427669 50.37046199, -3.79563735 50.36886699, -3.79847733 50.3688231, -3.79995684 50.3703742, -3.79859628 50.37196926, -3.79575611 50.37201316, -3.79427669 50.37046199)))"
AOL-3392,"MultiPolygon (((-3.8866234 50.33437192, -3.88797993 50.33277588, -3.89081761 50.33272976, -3.89229894 50.33427967, -3.89094251 50.33587575, -3.88810464 50.33592188, -3.8866234 50.33437192)))"
AQS-3384,"MultiPolygon (((-3.63626142 50.36177531, -3.63762715 50.36018212, -3.6404669 50.36014208, -3.64194111 50.36169522, -3.64057549 50.36328846, -3.63773554 50.36332851, -3.63626142 50.36177531)))"
AOX-3370,"MultiPolygon (((-3.83821471 50.40440372, -3.83957483 50.40280821, -3.84241676 50.40276322, -3.84389878 50.40431372, -3.84253877 50.40590927, -3.83969664 50.40595427, -3.83821471 50.40440372)))"
APL-3390,"MultiPolygon (((-3.77617909 50.34240784, -3.7775396 50.34081304, -3.78037793 50.34076961, -3.78185594 50.34232098, -3.78049555 50.34391582, -3.77765704 50.34395925, -3.77617909 50.34240784)))"
AMT-3397,"MultiPolygon (((-4.07321547 50.3154557, -4.07456519 50.31385761, -4.07740141 50.31380696, -4.0788881 50.31535439, -4.07753849 50.31695252, -4.07470208 50.31700318, -4.07321547 50.3154557)))"
APO-3422,"MultiPolygon (((-3.75963039 50.24034917, -3.76098858 50.23875458, -3.76382089 50.23871162, -3.76529519 50.24026323, -3.7639371 50.24185786, -3.76110461 50.24190083, -3.75963039 50.24034917)))"
APU-3357,"MultiPolygon (((-3.74160215 50.44523982, -3.7429667 50.4436454, -3.74581123 50.44360276, -3.7472914 50.44515452, -3.74592696 50.44674899, -3.74308224 50.44679164, -3.74160215 50.44523982)))"
APT-3347,"MultiPolygon (((-3.74708536 50.47821125, -3.74845064 50.47661677, -3.75129714 50.47657397, -3.75277855 50.47812565, -3.75141337 50.47972018, -3.74856668 50.47976298, -3.74708536 50.47821125)))"
APW-3412,"MultiPolygon (((-3.7267781 50.27232214, -3.72813833 50.27072792, -3.73097258 50.27068578, -3.7324468 50.27223783, -3.73108667 50.27383209, -3.72825224 50.27387425, -3.7267781 50.27232214)))"
ANV-3372,"MultiPolygon (((-3.95731442 50.396164, -3.95867028 50.39456715, -3.96151153 50.39451928, -3.9629971 50.39606824, -3.96164135 50.39766514, -3.95879991 50.39771302, -3.95731442 50.396164)))"
AQI-3397,"MultiPolygon (((-3.67741716 50.32026486, -3.67878041 50.31867117, -3.68161763 50.31863015, -3.68309178 50.32018281, -3.68172864 50.32177655, -3.67889123 50.32181758, -3.67741716 50.32026486)))"
AQF-3386,"MultiPolygon (((-3.69146956 50.3562631, -3.69283335 50.35466924, -3.6956727 50.35462785, -3.69714845 50.35618031, -3.69578475 50.35777422, -3.69294522 50.35781562, -3.69146956 50.3562631)))"
