GRID_ID,WKT
APA-3299,"MultiPolygon (((-3.83399887 50.62639929, -3.83536533 50.62480384, -3.83822066 50.62475881, -3.83970971 50.62630923, -3.83834336 50.62790473, -3.83548784 50.62794977, -3.83399887 50.62639929)))"
ASH-3308,"MultiPolygon (((-3.46904817 50.60481562, -3.4704264 50.60322433, -3.47328088 50.60318825, -3.47475733 50.60474345, -3.47337921 50.60633478, -3.47052453 50.60637087, -3.46904817 50.60481562)))"
AQL-3284,"MultiPolygon (((-3.67724997 50.67755157, -3.67862319 50.67595793, -3.6814818 50.67591677, -3.68296739 50.67746923, -3.68159427 50.67906292, -3.67873547 50.67910409, -3.67724997 50.67755157)))"
ARU-3290,"MultiPolygon (((-3.52649466 50.65916224, -3.52787251 50.65757032, -3.5307302 50.6575328, -3.53221025 50.65908719, -3.53083253 50.66067918, -3.52797465 50.66071671, -3.52649466 50.65916224)))"
AQC-3333,"MultiPolygon (((-3.71018793 50.52125597, -3.71155569 50.51966193, -3.71440484 50.51962003, -3.71588643 50.52117216, -3.71451877 50.52276625, -3.71166943 50.52280816, -3.71018793 50.52125597)))"
ARF-3294,"MultiPolygon (((-3.59042177 50.6472904, -3.59179707 50.64569778, -3.59465397 50.64565875, -3.59613575 50.64721234, -3.59476055 50.64880501, -3.59190347 50.64884404, -3.59042177 50.6472904)))"
AQV-3288,"MultiPolygon (((-3.6339313 50.66557532, -3.63530564 50.6639822, -3.63816358 50.6639421, -3.63964738 50.66549512, -3.63827315 50.66708829, -3.63541501 50.66712839, -3.6339313 50.66557532)))"
ART-3311,"MultiPolygon (((-3.52868745 50.59460512, -3.53006339 50.59301321, -3.53291721 50.59297572, -3.53439527 50.59453013, -3.53301944 50.59612209, -3.53016543 50.59615959, -3.52868745 50.59460512)))"
ARX-3331,"MultiPolygon (((-3.50955147 50.53189958, -3.51092629 50.53030783, -3.51377631 50.53027084, -3.5152517 50.53182558, -3.51387698 50.53341737, -3.51102677 50.53345438, -3.50955147 50.53189958)))"
ARA-3304,"MultiPolygon (((-3.61071906 50.61396057, -3.61209273 50.61236771, -3.61494757 50.61232821, -3.61642893 50.61388157, -3.61505537 50.61547448, -3.61220033 50.61551399, -3.61071906 50.61396057)))"
ARY-3294,"MultiPolygon (((-3.50894433 50.64680012, -3.51032242 50.6452084, -3.51317939 50.64517132, -3.51465848 50.64672594, -3.5132805 50.64831771, -3.51042333 50.6483548, -3.50894433 50.64680012)))"
