GRID_ID,WKT
ASD-3369,"MultiPolygon (((-3.48016131 50.41265893, -3.48153375 50.41106753, -3.48437669 50.41103127, -3.48584737 50.41258643, -3.48447505 50.41417787, -3.48163193 50.41421412, -3.48016131 50.41265893)))"
ARY-3370,"MultiPolygon (((-3.50133466 50.4076658, -3.50270622 50.40607418, -3.50554878 50.40603745, -3.50701998 50.40759235, -3.50564851 50.40918403, -3.50280577 50.40922076, -3.50133466 50.4076658)))"
ASA-3348,"MultiPolygon (((-3.49498612 50.47700048, -3.49635986 50.47540892, -3.49920659 50.47537231, -3.50067977 50.47692726, -3.49930613 50.47851888, -3.49645921 50.47855549, -3.49498612 50.47700048)))"
ASF-3372,"MultiPolygon (((-3.47133967 50.40332735, -3.47271213 50.40173606, -3.47555452 50.40170003, -3.47702464 50.40325528, -3.47565229 50.40484662, -3.47280971 50.40488266, -3.47133967 50.40332735)))"
AQZ-3368,"MultiPolygon (((-3.6082 50.41410689, -3.60956815 50.41251402, -3.61241104 50.41247465, -3.61388597 50.41402813, -3.61251792 50.41562105, -3.60967484 50.41566043, -3.6082 50.41410689)))"
ASD-3368,"MultiPolygon (((-3.48025941 50.41580552, -3.48163193 50.41421412, -3.48447505 50.41417787, -3.48594583 50.41573302, -3.48457343 50.41732446, -3.48173012 50.41736071, -3.48025941 50.41580552)))"
ARN-3370,"MultiPolygon (((-3.54829007 50.40862438, -3.54966011 50.4070322, -3.55250278 50.40699428, -3.55397557 50.40854856, -3.55260559 50.41014083, -3.54976274 50.41017875, -3.54829007 50.40862438)))"
ARG-3352,"MultiPolygon (((-3.57997057 50.46328647, -3.5813411 50.46169391, -3.584187 50.46165515, -3.58566252 50.46320894, -3.58429211 50.46480148, -3.58144604 50.46484028, -3.57997057 50.46328647)))"
ARH-3373,"MultiPolygon (((-3.57356206 50.39884133, -3.57493092 50.39724887, -3.57777293 50.39721035, -3.57924626 50.39876429, -3.5778775 50.4003568, -3.57503531 50.40039532, -3.57356206 50.39884133)))"
ASA-3349,"MultiPolygon (((-3.49488687 50.47385391, -3.49626052 50.47226234, -3.49910706 50.47222574, -3.50058014 50.47378069, -3.49920659 50.47537231, -3.49635986 50.47540892, -3.49488687 50.47385391)))"
ASH-3373,"MultiPolygon (((-3.46271526 50.40028834, -3.46408793 50.39869716, -3.46693015 50.39866134, -3.46839989 50.40021669, -3.46702733 50.40180792, -3.46418492 50.40184375, -3.46271526 50.40028834)))"
ASB-3368,"MultiPolygon (((-3.48878902 50.41569668, -3.49016124 50.41410519, -3.49300433 50.41406874, -3.4944754 50.41562379, -3.49310326 50.41721534, -3.49025998 50.41725178, -3.48878902 50.41569668)))"
ARK-3354,"MultiPolygon (((-3.56268729 50.45722419, -3.56405822 50.45563184, -3.56690376 50.45559356, -3.56837855 50.45714763, -3.56700773 50.45874004, -3.56416201 50.4587783, -3.56268729 50.45722419)))"
