GRID_ID,WKT
AND-3219,"MultiPolygon (((-4.05491186 50.87611303, -4.05627776 50.87451506, -4.0591479 50.87446445, -4.06065235 50.8760118, -4.05928657 50.87760982, -4.05641623 50.87766044, -4.05491186 50.87611303)))"
AMQ-3213,"MultiPolygon (((-4.11166231 50.89241284, -4.1130267 50.89081423, -4.11589775 50.8907622, -4.1174046 50.89230877, -4.11604031 50.89390742, -4.11316908 50.89395946, -4.11166231 50.89241284)))"
AKD-3193,"MultiPolygon (((-4.39486579 50.95147788, -4.39622202 50.9498761, -4.39909614 50.94981708, -4.40061423 50.95135984, -4.39925811 50.95296167, -4.3963838 50.95302069, -4.39486579 50.95147788)))"
ALI-3182,"MultiPolygon (((-4.26280764 50.98716361, -4.26416948 50.98556331, -4.2670461 50.98550752, -4.26856106 50.98705202, -4.26719933 50.98865237, -4.26432252 50.98870816, -4.26280764 50.98716361)))"
AMM-3179,"MultiPolygon (((-4.13378188 50.99903565, -4.13514849 50.99743677, -4.13802607 50.99738411, -4.13953725 50.99893032, -4.13817073 51.00052925, -4.13529295 51.00058191, -4.13378188 50.99903565)))"
AJP-3180,"MultiPolygon (((-4.45737926 50.99110206, -4.45873441 50.98949958, -4.46161082 50.989439, -4.46313226 50.99098087, -4.46177724 50.99258339, -4.45890065 50.99264399, -4.45737926 50.99110206)))"
AKF-3191,"MultiPolygon (((-4.38656535 50.95794362, -4.38792204 50.95634193, -4.39079655 50.95628313, -4.39231458 50.957826, -4.390958 50.95942774, -4.38808329 50.95948655, -4.38656535 50.95794362)))"
ALJ-3264,"MultiPolygon (((-4.24614018 50.73093286, -4.24749543 50.72933276, -4.25035636 50.72927756, -4.25186223 50.73082245, -4.2505071 50.73242259, -4.24764597 50.73247781, -4.24614018 50.73093286)))"
AKD-3246,"MultiPolygon (((-4.38633652 50.78481081, -4.38768841 50.78320915, -4.39055233 50.78315046, -4.39206455 50.78469343, -4.39071276 50.78629515, -4.38784865 50.78635384, -4.38633652 50.78481081)))"
AJZ-3202,"MultiPolygon (((-4.41064643 50.92282181, -4.41200126 50.92121986, -4.41487355 50.92116049, -4.4163912 50.92270307, -4.41503649 50.92430507, -4.412164 50.92436444, -4.41064643 50.92282181)))"
