GRID_ID,WKT
AMZ-3241,"MultiPolygon (((-4.06906827 50.80661087, -4.07043166 50.80501277, -4.0732975 50.80496187, -4.07480015 50.80650906, -4.07343686 50.80810722, -4.07057083 50.80815813, -4.06906827 50.80661087)))"
AMT-3303,"MultiPolygon (((-4.08618612 50.61113737, -4.08754353 50.60953905, -4.09039748 50.60948787, -4.09189421 50.61103499, -4.0905369 50.61263335, -4.08768277 50.61268454, -4.08618612 50.61113737)))"
ANT-3235,"MultiPolygon (((-3.98388635 50.82697738, -3.98525326 50.82538023, -3.98812049 50.82533141, -3.98962102 50.82687972, -3.98825422 50.82847691, -3.98538679 50.82852574, -3.98388635 50.82697738)))"
AMX-3299,"MultiPolygon (((-4.06961385 50.62402492, -4.07097219 50.62242679, -4.07382695 50.62237599, -4.07532356 50.62392332, -4.07396532 50.62552149, -4.07111038 50.6255723, -4.06961385 50.62402492)))"
ALF-3297,"MultiPolygon (((-4.25831807 50.62681432, -4.25967002 50.62521409, -4.26252459 50.62515866, -4.26402741 50.62670346, -4.26267557 50.62830374, -4.2598208 50.62835918, -4.25831807 50.62681432)))"
APK-3276,"MultiPolygon (((-3.79392297 50.69942257, -3.79529283 50.6978276, -3.79815262 50.69778352, -3.79964274 50.69933439, -3.79827299 50.70092941, -3.79541301 50.7009735, -3.79392297 50.69942257)))"
ANQ-3319,"MultiPolygon (((-3.98553184 50.56095576, -3.9868913 50.55935859, -3.9897424 50.5593099, -3.99123424 50.56085837, -3.98987489 50.56245559, -3.9870236 50.56250429, -3.98553184 50.56095576)))"
AMQ-3326,"MultiPolygon (((-4.09574624 50.53698766, -4.09710127 50.53538926, -4.09995073 50.53533788, -4.10144536 50.53688489, -4.10009043 50.53848334, -4.09724078 50.53853472, -4.09574624 50.53698766)))"
AMP-3250,"MultiPolygon (((-4.11078014 50.77753292, -4.11214131 50.77593435, -4.11500532 50.77588244, -4.11650837 50.7774291, -4.11514732 50.77902772, -4.11228311 50.77907963, -4.11078014 50.77753292)))"
AKX-3291,"MultiPolygon (((-4.29349194 50.64501495, -4.29484316 50.64341433, -4.29769877 50.64335803, -4.29920333 50.64490234, -4.29785221 50.646503, -4.29499642 50.64655932, -4.29349194 50.64501495)))"
