wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.27224870523207034 50.77238350111134935, -3.2736384338011173 50.77079451066344262, -3.27650335651648561 50.7707631851737915, -3.27797874158007119 50.77232084615828001, -3.27658911643314132 50.77390988585901965, -3.27372400264636765 50.7739412159811323, -3.27224870523207034 50.77238350111134935)))",AUC-3255,Hex
"MultiPolygon (((-3.05465157433707191 50.84537385092593098, -3.0560508989181292 50.84378743154581315, -3.05892052357337541 50.84376144025281263, -3.06039101424134374 50.84532186540079124, -3.05899179343637595 50.84690833579077207, -3.05612197675571373 50.8469343300360066, -3.05465157433707191 50.84537385092593098)))",AWB-3233,Hex
"MultiPolygon (((-3.25130706768548094 50.79306975123495249, -3.25269815752869285 50.79148103298855688, -3.25556440323912222 50.79145020350778594, -3.25703974999238355 50.79300809558157681, -3.25564875857807001 50.79459686037291277, -3.25278232226792463 50.79462768757859692, -3.25130706768548094 50.79306975123495249)))",AUH-3249,Hex
"MultiPolygon (((-2.98293603897520621 50.71065493666865365, -2.98433384672850899 50.70906933167800901, -2.98719533165895568 50.70904512580096934, -2.98865920423801246 50.71060652512468891, -2.98726149979414624 50.71219218167678378, -2.9843998212208902 50.71221638720869151, -2.98293603897520621 50.71065493666865365)))",AWR-3276,Hex
"MultiPolygon (((-3.02695949957149191 50.76063708083236037, -3.02835725934422184 50.75905099230166684, -3.03122166935442872 50.75902571300218824, -3.0326885143090041 50.76058651711684178, -3.03129085813585863 50.76217265534774725, -3.02842625339696259 50.76219793976416383, -3.02695949957149191 50.76063708083236037)))",AWH-3260,Hex
"MultiPolygon (((-3.33330804288198124 50.803177609643285, -3.33469659697746756 50.80158791282627107, -3.33756329332404356 50.80155506519528075, -3.33904163373527441 50.80311191108560109, -3.33765318652502119 50.8047016577341779, -3.33478629415535233 50.80473450855377848, -3.33330804288198124 50.803177609643285)))",ATO-3245,Hex
"MultiPolygon (((-3.26145293854147145 50.69066237691658472, -3.26284070717662145 50.68907351281313112, -3.2657006745216175 50.68904250190765737, -3.26717306351873393 50.69060035014807397, -3.26578539727200745 50.6921892640162568, -3.26292523712307903 50.69222027894347349, -3.26145293854147145 50.69066237691658472)))",AUE-3281,Hex
"MultiPolygon (((-3.08358015873248714 50.79317439455763861, -3.08497693566302855 50.79158764199369358, -3.08784329429790905 50.79156096129366915, -3.08931307258872234 50.7931210335644181, -3.08791639774715865 50.79470783751657592, -3.08504983945068068 50.79473451785776916, -3.08358015873248714 50.79317439455763861)))",AVU-3249,Hex
"MultiPolygon (((-2.91579111923687506 50.78989138316087804, -2.91719356107430805 50.78830658205564674, -2.92005993822345999 50.78828398109193643, -2.92152406748635274 50.78984618608903645, -2.92012173208646875 50.79143104933934438, -2.91725516471873414 50.79145365259329736, -2.91579111923687506 50.78989138316087804)))",AXH-3251,Hex
"MultiPolygon (((-3.34172806299459335 50.79678577038629328, -3.3431161306623558 50.79519597189845115, -3.34598242608933116 50.79516292012137768, -3.34746084657418841 50.7967196630741924, -3.3460728826122792 50.79830951117845217, -3.34320639586674462 50.79834256669738579, -3.34172806299459335 50.79678577038629328)))",ATM-3247,Hex
"MultiPolygon (((-3.11483989745080114 50.84166704583246599, -3.11623702706035566 50.84007992632421491, -3.11910639523764921 50.84005243295630549, -3.12057881468118437 50.84161206209990524, -3.11918173727782211 50.84319926163836811, -3.11631218064314552 50.84322675670054537, -3.11483989745080114 50.84166704583246599)))",AVN-3234,Hex
"MultiPolygon (((-2.98551207281854847 50.83338798870234143, -2.9869134071691108 50.83180238457933342, -2.98978233688616335 50.83177808694897237, -2.99125012749241126 50.83333939187234307, -2.98984889453586833 50.83492504572515003, -2.98697977149793559 50.8349493452571437, -2.98551207281854847 50.83338798870234143)))",AWR-3237,Hex
"MultiPolygon (((-3.55192565472276867 50.78001325772202534, -3.55330608446069851 50.77842103607373048, -3.5561711246165415 50.77838283636560845, -3.55765592444172984 50.77993685365744625, -3.55627560133741305 50.78152912602850222, -3.55341037068261878 50.78156733017932822, -3.55192565472276867 50.78001325772202534)))",ARP-3252,Hex
"MultiPolygon (((-3.09777089491274449 50.84812394854937878, -3.09916881954547785 50.84653702515128515, -3.10203858614683359 50.84650995880496538, -3.10351062002889133 50.84806981361163736, -3.10211278895266496 50.84965680715897207, -3.0992428291302474 50.84968387673060164, -3.09777089491274449 50.84812394854937878)))",AVR-3232,Hex
"MultiPolygon (((-3.20564037262359447 50.68967898435720798, -3.20703000734890153 50.68809077291975029, -3.20988997318100688 50.68806113181187811, -3.21136049313775551 50.6896196982818239, -3.20997095932440146 50.69120795996108342, -3.20711080321564124 50.69123760494337461, -3.20564037262359447 50.68967898435720798)))",AUR-3282,Hex
"MultiPolygon (((-3.1243566453281324 50.87934624576055853, -3.12575457871577589 50.87775900514614591, -3.12862623091203362 50.87773127762757497, -3.13010014021306215 50.87929078998691779, -3.12870230882535427 50.88087808283722779, -3.12583046612527093 50.88090581109226918, -3.1243566453281324 50.87934624576055853)))",AVL-3222,Hex
"MultiPolygon (((-3.31779616179144954 50.71049875048802846, -3.31918256572107984 50.70890925676594208, -3.32204364347700976 50.70887683723658768, -3.32351850861507492 50.71043390915968985, -3.32213219668632442 50.71202346263542182, -3.31927092625750575 50.71205588570143163, -3.31779616179144954 50.71049875048802846)))",ATR-3275,Hex
"MultiPolygon (((-3.02427808031243428 50.83462793296715887, -3.02567812822864024 50.83304187220861792, -3.02854709601693273 50.83301662461830972, -3.03001621208872951 50.83457743529196904, -3.02861627228662877 50.83616354725596409, -3.02574710880687681 50.83618879722179429, -3.02427808031243428 50.83462793296715887)))",AWI-3236,Hex
"MultiPolygon (((-2.97296107247871477 50.85080472493068982, -2.97436336865050466 50.84921926191643138, -2.97723341683206755 50.8491952466726147, -2.97870136253370532 50.85075669241933838, -2.97729917057026761 50.85234220662840698, -2.97442892906035361 50.85236622477695789, -2.97296107247871477 50.85080472493068982)))",AWU-3231,Hex
"MultiPolygon (((-3.1942487506242716 50.74802728928298023, -3.1956405389970115 50.74643920559507393, -3.19850409233788424 50.74640981211815927, -3.1999760511656592 50.74796850039400908, -3.1985843534632532 50.74955663398074535, -3.19572061044831068 50.74958603040571603, -3.1942487506242716 50.74802728928298023)))",AUU-3263,Hex
"MultiPolygon (((-3.2648424701889045 50.81653050129275329, -3.26623382866763379 50.8149416241449714, -3.26910146210355057 50.81491046336920192, -3.27057792807616554 50.81646817351471412, -3.26918667887351511 50.81805710044961444, -3.2663188541939614 50.81808826721125882, -3.2648424701889045 50.81653050129275329)))",AUE-3241,Hex
"MultiPolygon (((-3.43177667502460793 50.78784568092711282, -3.43316144424382186 50.78625484096082943, -3.43602711140447559 50.78621958463736519, -3.43750820233622534 50.78777516439490824, -3.43612353848368368 50.78936605478272526, -3.43325767809348026 50.78940131480141673, -3.43177667502460793 50.78784568092711282)))",ASR-3250,Hex
"MultiPolygon (((-3.34815433851867272 50.72116825165560527, -3.34954002485440316 50.71957839764662168, -3.35240172111836898 50.71954522778248275, -3.35387792216194569 50.72110190743734393, -3.35249233803772384 50.72269181111037994, -3.34963044935391263 50.72272498474390545, -3.34815433851867272 50.72116825165560527)))",ATK-3271,Hex
"MultiPolygon (((-3.174781759889163 50.82848833562028545, -3.17617653977103043 50.8269004862095386, -3.17904504526677156 50.82687153833261817, -3.18051896889408958 50.82843042836118741, -3.17912430185463268 50.83001831158254191, -3.17625561017817715 50.8300472642044312, -3.174781759889163 50.82848833562028545)))",AUZ-3238,Hex
"MultiPolygon (((-3.1321328330068563 50.84464802200917433, -3.13352952511456762 50.84306066517352463, -3.13639906539493207 50.84303273204193374, -3.13787210583559695 50.84459215423336076, -3.13647551589886842 50.84617956388138538, -3.13360578646058618 50.84620749983722021, -3.1321328330068563 50.84464802200917433)))",AVJ-3233,Hex
"MultiPolygon (((-3.05302255209593154 50.77299501097439105, -3.05441977861778868 50.77140861507375291, -3.05728491750418785 50.77138269032136719, -3.0587530196894992 50.77294315975104411, -3.05735589651933948 50.77452960715213237, -3.0544905663828219 50.77455553363598995, -3.05302255209593154 50.77299501097439105)))",AWB-3256,Hex
"MultiPolygon (((-3.00990783139473139 50.76708103244074977, -3.0113063704098737 50.76549513863437113, -3.01417121491320295 50.76547026926731832, -3.01563770995994229 50.76703129061782249, -3.0142392643844369 50.76861723436005747, -3.0113742277629445 50.76864210684816925, -3.00990783139473139 50.76708103244074977)))",AWL-3258,Hex
"MultiPolygon (((-3.09754917537938512 50.83868340880884062, -3.09894682240997765 50.83709648508776269, -3.10181601313130262 50.83706942648718297, -3.10328776089806579 50.8386292833226392, -3.1018902075100736 50.84021627176655045, -3.09902082098669673 50.84024333478780022, -3.09754917537938512 50.83868340880884062)))",AVR-3235,Hex
"MultiPolygon (((-3.13632256646827612 50.83988592053541566, -3.13771893228767995 50.8382985287096858, -3.14058818085171954 50.83827049454213665, -3.14206125611115583 50.83982984873340882, -3.14066499231079854 50.84141729051266623, -3.13779555264082033 50.84144532813325412, -3.13632256646827612 50.83988592053541566)))",AVI-3234,Hex
"MultiPolygon (((-3.31229144369471307 50.8207277051534021, -3.3136812915045013 50.81913827589348642, -3.31654911461911706 50.81910594283276339, -3.31802728198930552 50.82066303549297004, -3.31663753604737988 50.82225251355991702, -3.31376952033110816 50.8222848507950502, -3.31229144369471307 50.8207277051534021)))",ATT-3240,Hex
"MultiPolygon (((-3.19698003415930287 50.68662054249465143, -3.198369875437439 50.68503243273812586, -3.20122966177176549 50.6850030052449867, -3.20269980118280051 50.68656168379459359, -3.20131006277189156 50.68814984591677586, -3.1984500843443544 50.68817927677577728, -3.19698003415930287 50.68662054249465143)))",AUT-3283,Hex
"MultiPolygon (((-3.41079585463784163 50.6621947132276631, -3.4121777202906336 50.66060414842115733, -3.41503575294906625 50.66056948435446117, -3.41651210250656812 50.66212535786268489, -3.41513034530863102 50.66371598900914819, -3.4122721228656081 50.66375066310129682, -3.41079585463784163 50.6621947132276631)))",ASV-3290,Hex
"MultiPolygon (((-3.37205545785038296 50.80430194142302724, -3.37344270734579599 50.80271179060675024, -3.37630942890302954 50.80267798849445882, -3.37778909386680892 50.80423433303693059, -3.37640194839074992 50.80582453562664114, -3.37353503532762922 50.80585834150588909, -3.37205545785038296 50.80430194142302724)))",ATF-3245,Hex
"MultiPolygon (((-3.45936917015584244 50.70723754740923539, -3.46075066047302871 50.70564637504694616, -3.46361136009127568 50.70561045516978993, -3.4650907566922089 50.7071656947372702, -3.46370937356932496 50.70875692537967439, -3.46084848540351686 50.7087928580518934, -3.45936917015584244 50.70723754740923539)))",ASK-3275,Hex
"MultiPolygon (((-3.34471778510802009 50.75111047170284451, -3.34610444410866359 50.74952064620225656, -3.34896795588024077 50.749487540623619, -3.35044500061838058 50.75104425649022488, -3.34905845391074752 50.75263414014592911, -3.34619475517924281 50.75266724948991026, -3.34471778510802009 50.75111047170284451)))",ATL-3262,Hex
"MultiPolygon (((-3.13655197887895643 50.84932639342729743, -3.13794865599948603 50.84773898337741826, -3.14081847165825234 50.84771094043093598, -3.14229178910987939 50.84927030923283553, -3.14089521859479204 50.8508577688594201, -3.1380252231703083 50.85088581050224832, -3.13655197887895643 50.84932639342729743)))",AVI-3231,Hex
"MultiPolygon (((-3.36226495143915161 50.7634973493440782, -3.36365136531868236 50.76190731022154523, -3.36651560576767839 50.76187376734129941, -3.36799362212566944 50.76343026063948827, -3.36660729658224867 50.76502034806075869, -3.36374286913041454 50.76505389491609321, -3.36226495143915161 50.7634973493440782)))",ATH-3258,Hex
