wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.55057283831776482 50.73911122406130403, -3.55195214653906843 50.73751900148216976, -3.55481468934598199 50.73748085808958308, -3.55629811540687157 50.73903493429281042, -3.55491891454420816 50.74062720794356096, -3.55205617914559024 50.7406653550060085, -3.55057283831776482 50.73911122406130403)))",ARP-3265,Hex
"MultiPolygon (((-3.51076206169358906 50.70343518877152178, -3.51214170317216778 50.70184345099722378, -3.51500214185100557 50.70180630538598621, -3.51648313008222901 50.70336089038698901, -3.51510359340768463 50.70495267775110193, -3.5122429644469122 50.70498982977819935, -3.51076206169358906 50.70343518877152178)))",ARY-3276,Hex
"MultiPolygon (((-3.51238282025445514 50.75377755530366386, -3.51376385340832353 50.75218579785666151, -3.51662734328285254 50.75214859720298222, -3.51810999332277374 50.75370314419306084, -3.51672906623944925 50.75529495973982108, -3.5138653833742266 50.75533216660573999, -3.51238282025445514 50.75377755530366386)))",ARY-3260,Hex
"MultiPolygon (((-3.52097357081159368 50.75366582165502649, -3.52235430562072604 50.75207395960471501, -3.52521777644079837 50.75203653352627242, -3.52670070606184405 50.75359096568522688, -3.52532007747873699 50.75518288277235257, -3.52245641418652777 50.75522031282491042, -3.52097357081159368 50.75366582165502649)))",ARW-3260,Hex
"MultiPolygon (((-3.51652563923830952 50.74900222473522149, -3.51790639155577889 50.74741039993278946, -3.52076958529659079 50.74737308626771437, -3.52225221767424168 50.74892759668711051, -3.52087156863043438 50.75051947278792142, -3.51800818307379082 50.75055679183869728, -3.51652563923830952 50.74900222473522149)))",ARX-3262,Hex
"MultiPolygon (((-3.51662734328285254 50.75214859720298222, -3.51800818307379082 50.75055679183869728, -3.52087156863043438 50.75051947278792142, -3.52235430562072604 50.75207395960471501, -3.52097357081159368 50.75366582165502649, -3.51810999332277374 50.75370314419306084, -3.51662734328285254 50.75214859720298222)))",ARX-3261,Hex
"MultiPolygon (((-3.55067678473646042 50.74225757288437677, -3.55205617914559024 50.7406653550060085, -3.55491891454420816 50.74062720794356096, -3.55640244699786612 50.74218127610243556, -3.55502316012670283 50.74377352647813666, -3.5521602324200896 50.74381167798333792, -3.55067678473646042 50.74225757288437677)))",ARP-3264,Hex
"MultiPolygon (((-3.49954687010301502 50.75551717055464707, -3.50092839439906944 50.75392554402772305, -3.50379201344226576 50.75388863980693799, -3.50527429524756151 50.75544336563405068, -3.50389287445849229 50.75703503444655951, -3.50102906315447848 50.75707194873655226, -3.49954687010301502 50.75551717055464707)))",ASB-3260,Hex
"MultiPolygon (((-3.50642080640419662 50.70191753192081308, -3.50780054962896903 50.70032584061186043, -3.5106609039042791 50.70028880363646806, -3.51214170317216778 50.70184345099722378, -3.51076206169358906 50.70343518877152178, -3.50790151746267931 50.70347223244456814, -3.50642080640419662 50.70191753192081308)))",ARZ-3277,Hex
"MultiPolygon (((-3.50773351825315283 50.74282078641809335, -3.50911439418983573 50.74122907034235652, -3.51197722278791646 50.74119198914286244, -3.51345936598054065 50.74274662109412759, -3.51207859466619476 50.74433838388743823, -3.50921557309106769 50.74437546924453812, -3.50773351825315283 50.74282078641809335)))",ARZ-3264,Hex
"MultiPolygon (((-3.52956426521739663 50.75355343223553461, -3.53094470255514858 50.7519614704334785, -3.53380815726813768 50.75192383502045601, -3.5352913658454006 50.75347815702214405, -3.53391103518604277 50.75507017202458115, -3.53104738853330158 50.75510781170764574, -3.52956426521739663 50.75355343223553461)))",ARU-3260,Hex
"MultiPolygon (((-3.53370530108174474 50.74877748849843329, -3.53508546030113502 50.74718546570626643, -3.53794861644054937 50.74714773241294097, -3.53943180380798106 50.74870201687192406, -3.53805174930481803 50.75029408771502659, -3.53518840304962945 50.75033182540644106, -3.53370530108174474 50.74877748849843329)))",ART-3262,Hex
"MultiPolygon (((-3.49510088084693171 50.75085271102656748, -3.49648241852323594 50.74926113932978922, -3.49934575078495413 50.74922436074711385, -3.50082773789088497 50.75077915165325493, -3.49944630385569422 50.75237076642083167, -3.49658277936549 50.7524075483805035, -3.49510088084693171 50.75085271102656748)))",ASC-3261,Hex
"MultiPolygon (((-3.55916074537784155 50.73899668364266802, -3.56053975649429111 50.73740436047373947, -3.56340228343614385 50.73736600621575121, -3.56488599042089405 50.73891997145241817, -3.56350708640087532 50.74051234501251173, -3.56064436687154151 50.74055070296402903, -3.55916074537784155 50.73899668364266802)))",ARN-3265,Hex
"MultiPolygon (((-3.49075573759095059 50.74933448489221632, -3.49213737877282338 50.74774296343859703, -3.49500062298666991 50.74770628997657695, -3.49648241852323594 50.74926113932978922, -3.49510088084693171 50.75085271102656748, -3.49223744516832202 50.75088938432806174, -3.49075573759095059 50.74933448489221632)))",ASD-3262,Hex
"MultiPolygon (((-3.50813799783209834 50.7554063694563169, -3.50951922357888968 50.75381465364488776, -3.51238282025445514 50.75377755530366386, -3.5138653833742266 50.75533216660573999, -3.51248426213252118 50.75692393140578673, -3.50962047183727321 50.75696103593405439, -3.50813799783209834 50.7554063694563169)))",ARZ-3260,Hex
"MultiPolygon (((-3.52521777644079837 50.75203653352627242, -3.52659832002798224 50.75044462367425524, -3.52946168722915887 50.75040709372754577, -3.53094470255514858 50.7519614704334785, -3.52956426521739663 50.75355343223553461, -3.52670070606184405 50.75359096568522688, -3.52521777644079837 50.75203653352627242)))",ARV-3261,Hex
"MultiPolygon (((-3.50793572430992739 50.74911360298898444, -3.50931677290779032 50.74752187920293522, -3.51217998606731641 50.74748479008531632, -3.51366234081929774 50.7490394210108704, -3.51228139464526645 50.75063119081423224, -3.50941799002199994 50.75066828348087711, -3.50793572430992739 50.74911360298898444)))",ARZ-3262,Hex
"MultiPolygon (((-3.50197922849394061 50.69725325010880113, -3.50335898631197251 50.69566160110353792, -3.50621907092286467 50.69562468538130418, -3.50769958356423439 50.6971794109358882, -3.50631992931171022 50.69877110743959037, -3.50345965742592735 50.69880803090990895, -3.50197922849394061 50.69725325010880113)))",ASA-3278,Hex
"MultiPolygon (((-3.50379201344226576 50.75388863980693799, -3.5051733444673645 50.75229697887886715, -3.50803685398904319 50.75225998869535005, -3.50951922357888968 50.75381465364488776, -3.50813799783209834 50.7554063694563169, -3.50527429524756151 50.75544336563405068, -3.50379201344226576 50.75388863980693799)))",ASA-3260,Hex
"MultiPolygon (((-3.56361190877782974 50.74365865052206459, -3.56499089997113972 50.7420663025043055, -3.56785370650232103 50.742027836202098, -3.5693377100685324 50.74358171351122593, -3.56795882144172527 50.74517412647912806, -3.56509582375481004 50.74521259807593765, -3.56361190877782974 50.74365865052206459)))",ARM-3263,Hex
"MultiPolygon (((-3.50348951315910639 50.74444942938071534, -3.50487058457977385 50.74285776381542235, -3.50773351825315283 50.74282078641809335, -3.50921557309106769 50.74437546924453812, -3.50783461119821949 50.74596719221867858, -3.50497148473380316 50.74600417417034492, -3.50348951315910639 50.74444942938071534)))",ASA-3263,Hex
"MultiPolygon (((-3.52946168722915887 50.75040709372754577, -3.53084203909063055 50.7488151201694464, -3.53370530108174474 50.74877748849843329, -3.53518840304962945 50.75033182540644106, -3.53380815726813768 50.75192383502045601, -3.53094470255514858 50.7519614704334785, -3.52946168722915887 50.75040709372754577)))",ARU-3261,Hex
"MultiPolygon (((-3.49500062298666991 50.74770628997657695, -3.49638207310938443 50.74611471486319658, -3.49924521429205448 50.74607793491269803, -3.50072709664951587 50.7476327316165623, -3.49934575078495413 50.74922436074711385, -3.49648241852323594 50.74926113932978922, -3.49500062298666991 50.74770628997657695)))",ASC-3262,Hex
"MultiPolygon (((-3.55926526964372814 50.74214302183057868, -3.56064436687154151 50.74055070296402903, -3.56350708640087532 50.74051234501251173, -3.56499089997113972 50.7420663025043055, -3.56361190877782974 50.74365865052206459, -3.56074899704083592 50.74369701276414446, -3.55926526964372814 50.74214302183057868)))",ARN-3264,Hex
"MultiPolygon (((-3.49944630385569422 50.75237076642083167, -3.50082773789088497 50.75077915165325493, -3.50369116399252167 50.75074225831685482, -3.5051733444673645 50.75229697887886715, -3.50379201344226576 50.75388863980693799, -3.50092839439906944 50.75392554402772305, -3.49944630385569422 50.75237076642083167)))",ASB-3261,Hex
"MultiPolygon (((-3.49065577434089214 50.74618806318492403, -3.4920373288604889 50.74459654046621893, -3.49490038200953368 50.74455986562499987, -3.49638207310938443 50.74611471486319658, -3.49500062298666991 50.74770628997657695, -3.49213737877282338 50.74774296343859703, -3.49065577434089214 50.74618806318492403)))",ASD-3263,Hex
"MultiPolygon (((-3.56308799449738478 50.72792699387754567, -3.56446655399538859 50.72633462879271349, -3.56732840032060006 50.72629618478883629, -3.56881187623163543 50.72785010253098648, -3.56743342097195715 50.7294425140596843, -3.56457138364180182 50.72948096288430264, -3.56308799449738478 50.72792699387754567)))",ARM-3268,Hex
"MultiPolygon (((-3.55491891454420816 50.74062720794356096, -3.55629811540687157 50.73903493429281042, -3.55916074537784155 50.73899668364266802, -3.56064436687154151 50.74055070296402903, -3.55926526964372814 50.74214302183057868, -3.55640244699786612 50.74218127610243556, -3.55491891454420816 50.74062720794356096)))",ARO-3264,Hex
"MultiPolygon (((-3.48641086794890898 50.74781608002499667, -3.4877926148133982 50.74622462698296488, -3.49065577434089214 50.74618806318492403, -3.49213737877282338 50.74774296343859703, -3.49075573759095059 50.74933448489221632, -3.48789238713377925 50.74937104661691478, -3.48641086794890898 50.74781608002499667)))",ASE-3262,Hex
"MultiPolygon (((-3.50369116399252167 50.75074225831685482, -3.50507240624266414 50.74915058869019902, -3.50793572430992739 50.74911360298898444, -3.50941799002199994 50.75066828348087711, -3.50803685398904319 50.75225998869535005, -3.5051733444673645 50.75229697887886715, -3.50369116399252167 50.75074225831685482)))",ASA-3261,Hex
"MultiPolygon (((-3.52511549665129031 50.74889017476342445, -3.5264959530663198 50.74729824825585212, -3.52935912848917521 50.74726072389160692, -3.53084203909063055 50.7488151201694464, -3.52946168722915887 50.75040709372754577, -3.52659832002798224 50.75044462367425524, -3.52511549665129031 50.74889017476342445)))",ARV-3262,Hex
"MultiPolygon (((-3.51248426213252118 50.75692393140578673, -3.5138653833742266 50.75533216660573999, -3.51672906623944925 50.75529495973982108, -3.51821182259441922 50.75684950755470481, -3.51683080776334567 50.75844132518029284, -3.51396693136078575 50.75847853828904732, -3.51248426213252118 50.75692393140578673)))",ARY-3259,Hex
"MultiPolygon (((-3.51228139464526645 50.75063119081423224, -3.51366234081929774 50.7490394210108704, -3.51652563923830952 50.74900222473522149, -3.51800818307379082 50.75055679183869728, -3.51662734328285254 50.75214859720298222, -3.51376385340832353 50.75218579785666151, -3.51228139464526645 50.75063119081423224)))",ARY-3261,Hex
"MultiPolygon (((-3.51510359340768463 50.70495267775110193, -3.51648313008222901 50.70336089038698901, -3.51934365345907318 50.70332363204069992, -3.52082483266019741 50.70487815649204322, -3.51944540176082654 50.70646999403454203, -3.51658468617838293 50.70650725707418616, -3.51510359340768463 50.70495267775110193)))",ARX-3276,Hex
"MultiPolygon (((-3.50803685398904319 50.75225998869535005, -3.50941799002199994 50.75066828348087711, -3.51228139464526645 50.75063119081423224, -3.51376385340832353 50.75218579785666151, -3.51238282025445514 50.75377755530366386, -3.50951922357888968 50.75381465364488776, -3.50803685398904319 50.75225998869535005)))",ARZ-3261,Hex
