wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.72806205980369221 50.77596282461530564, -3.72943631870111147 50.77436859790451251, -3.73230085570015868 50.77432609957949694, -3.73379132895324828 50.77587782003182326, -3.73241717870117684 50.77747209103497283, -3.72955245042842254 50.77751459413859436, -3.72806205980369221 50.77596282461530564)))",AQA-3252,Hex
"MultiPolygon (((-3.232500563194177 50.89556563417481527, -3.23389527241370445 50.89397711720383199, -3.23676780126528696 50.89394671451584173, -3.23824579663098744 50.89550482272483123, -3.23685118431598617 50.8970933910168597, -3.23397846693532687 50.897123798054551, -3.232500563194177 50.89556563417481527)))",AUM-3216,Hex
"MultiPolygon (((-3.4695236515477359 50.89439634702918624, -3.4709102215467027 50.89280506494619516, -3.4737823938879413 50.89276878125475889, -3.47526819172114143 50.89432377843835553, -3.47388172781116289 50.89591511258029755, -3.47100936138874339 50.89595139746181474, -3.4695236515477359 50.89439634702918624)))",ASJ-3216,Hex
"MultiPolygon (((-3.41748207885946931 51.0256636239478425, -3.41887425437334036 51.02407295265489751, -3.42175460243402263 51.02403793727659576, -3.42324296576910081 51.02559358933155664, -3.42185088441372809 51.02718429732439631, -3.41897034694224589 51.02721931728324734, -3.41748207885946931 51.0256636239478425)))",ASW-3174,Hex
"MultiPolygon (((-3.39660831360284199 50.90630806499778771, -3.39799772836514302 50.9047176466858744, -3.40087072381636091 50.90468320752542297, -3.40235449670127066 50.90623918016605387, -3.40096518743154697 50.90782964995357673, -3.39809199914509863 50.90786409577551552, -3.39660831360284199 50.90630806499778771)))",ATA-3212,Hex
"MultiPolygon (((-3.72667117581422636 50.73821072646303776, -3.72804441450799651 50.7366165285897921, -3.73090664698077967 50.73657408448940487, -3.73239583498830196 50.73812583399474363, -3.73102270229100164 50.73972008133134182, -3.72816027662447214 50.73976252979867496, -3.72667117581422636 50.73821072646303776)))",AQA-3264,Hex
"MultiPolygon (((-3.27976877479506568 50.89033557793632667, -3.28116173232153585 50.88874650892112328, -3.28403388290462228 50.8887149448771865, -3.28551327051747855 50.89027245023436308, -3.28412041731205973 50.89186156650437454, -3.28124807375124528 50.89189313308433071, -3.27976877479506568 50.89033557793632667)))",AUB-3218,Hex
"MultiPolygon (((-3.64587926074949786 50.88417286134809103, -3.64725946402989187 50.88257955615635098, -3.65013075176599155 50.88253901579922456, -3.65162203038844302 50.88409177576666309, -3.65024193001085706 50.88568513209880706, -3.64737044990509229 50.88572567620440168, -3.64587926074949786 50.88417286134809103)))",AQU-3218,Hex
"MultiPolygon (((-3.56652323553770545 50.95923423443123568, -3.56790834017371594 50.95764183004269654, -3.57078436754157869 50.95760317457477129, -3.57227548540515416 50.95915691874659359, -3.5708904952385514 50.96074936933852939, -3.56801426944497058 50.96078802828764509, -3.56652323553770545 50.95923423443123568)))",ARN-3195,Hex
"MultiPolygon (((-3.73560731063248941 50.74752125993290974, -3.73698050416499461 50.74592694711785157, -3.7398433009448091 50.7458842690813583, -3.74133309353692489 50.7474358979725011, -3.73996000423683705 50.74903026003649842, -3.73709701951773576 50.74907294393955937, -3.73560731063248941 50.74752125993290974)))",APY-3261,Hex
"MultiPolygon (((-3.63776740559647971 50.77569161996559188, -3.63914477163823591 50.77409841788281142, -3.64200944124560833 50.77405812233116933, -3.64349694020912462 50.77561102233575241, -3.64211967805773451 50.7772042800664849, -3.6392548138315024 50.77724458082853687, -3.63776740559647971 50.77569161996559188)))",AQV-3253,Hex
"MultiPolygon (((-3.31129734161587974 50.93877286100534008, -3.31269063140005438 50.93718343271559235, -3.31556572639953817 50.93715107100229744, -3.31704772309628337 50.93870813393622399, -3.31565453924783737 50.94029761310272164, -3.31277925124417871 50.94032997841811294, -3.31129734161587974 50.93877286100534008)))",ATU-3202,Hex
"MultiPolygon (((-3.63301294617670001 50.88592734073360901, -3.63439364605730786 50.88433418235071315, -3.637265060101047 50.88429395833407654, -3.63875597071807233 50.8858468859520201, -3.63737538120722848 50.88744009295722037, -3.63450377453635065 50.88748032139350386, -3.63301294617670001 50.88592734073360901)))",AQX-3218,Hex
"MultiPolygon (((-3.83476039625769971 50.86561711076805636, -3.83613343294277653 50.86402163889744799, -3.83900319138159629 50.86397641860294527, -3.84050010765375838 50.86552666564471537, -3.83912718232842565 50.86712218745828551, -3.83625723190940082 50.86716741212966753, -3.83476039625769971 50.86561711076805636)))",APC-3223,Hex
"MultiPolygon (((-3.54115460613234978 50.84468319726321539, -3.54253725417745002 50.84309109787854197, -3.54540627533503372 50.84305312384068998, -3.54689284276947792 50.84460724496647543, -3.54551030044386506 50.84619939468545624, -3.54264108637266029 50.84623737292587009, -3.54115460613234978 50.84468319726321539)))",ARS-3231,Hex
