wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.84822565474038436 50.98816476946477394, -3.84960191026345777 50.98656902965585402, -3.85247933884642846 50.98652343122975594, -3.85398070429942008 50.98807351962427958, -3.85260455355161158 50.98966927684389105, -3.84972693036705804 50.98971487728039875, -3.84822565474038436 50.98816476946477394)))",APA-3184,Hex
"MultiPolygon (((-3.89742256785255492 51.13531803305747303, -3.89880133409253293 51.13372181778884595, -3.90168780903787615 51.13367489128497567, -3.90319571372330598 51.13522417534739617, -3.90181705582020255 51.13682044375177327, -3.89893038546852067 51.13686737563265439, -3.89742256785255492 51.13531803305747303)))",AOQ-3137,Hex
"MultiPolygon (((-4.05803049687448336 51.04446413854436315, -4.0594010511578773 51.04286610732657437, -4.06228157659643685 51.04281528168156257, -4.06379174115674591 51.04436248280509147, -4.06242129545125863 51.04596056550665395, -4.05954057517030176 51.04601139562623757, -4.05803049687448336 51.04446413854436315)))",ANE-3165,Hex
"MultiPolygon (((-3.86734699267604665 50.92648017228693647, -3.86872079927231249 50.92488437516046673, -3.87159426648527072 50.92483835664965852, -3.87309412342033754 50.92638813227347327, -3.87172042539598227 50.92798397955806422, -3.86884676362006807 50.9280300015026981, -3.86734699267604665 50.92648017228693647)))",AOV-3204,Hex
"MultiPolygon (((-4.01083958883114455 51.05315532017247904, -4.0122120362370266 51.05155782668119713, -4.01509318098005075 51.05150817673227692, -4.01660207826038373 51.05305600845977665, -4.01522974315327374 51.05465354746817042, -4.01234839807056698 51.0547032070661615, -4.01083958883114455 51.05315532017247904)))",ANP-3163,Hex
"MultiPolygon (((-3.77430714028303127 50.97514824581144666, -3.77568560214446958 50.97355343905268654, -3.77856230235745461 50.9735096505139893, -3.7800607363630605 50.97506066375255784, -3.77868238685118962 50.97665552080875528, -3.77580549190322623 50.97669931459765991, -3.77430714028303127 50.97514824581144666)))",470890,Hex
"MultiPolygon (((-3.81664390951746046 51.06420551182933565, -3.81802342341081413 51.06261023084321238, -3.82090560295969617 51.06256534880636622, -3.82240845211826308 51.06411574598450187, -3.82102903761468538 51.06571108021886829, -3.81814666270847347 51.06575596738001366, -3.81664390951746046 51.06420551182933565)))",API-3160,Hex
"MultiPolygon (((-3.94917546049076496 50.92356931240208695, -3.95054630144056862 50.9219725652437134, -3.95341957221386364 50.92192456413669532, -3.95492216356036241 50.92347330462001764, -3.95355138483077262 50.92507009795913575, -3.95067791943309699 50.92511810085003532, -3.94917546049076496 50.92356931240208695)))",AOC-3204,Hex
"MultiPolygon (((-4.02510919730670569 50.98365820780841773, -4.02647913656645962 50.9820605773886939, -4.02935594881916614 50.9820106232323198, -4.03086301580086026 50.98355829273321405, -4.02949316637229149 50.98515599259923192, -4.02661616017831836 50.98520595310864678, -4.02510919730670569 50.98365820780841773)))",ANL-3185,Hex
"MultiPolygon (((-4.14969268739524022 51.15613255828449013, -4.15106327344971771 51.15453346538156865, -4.15395058692400188 51.15448030390924572, -4.15546751233655964 51.15602623013800354, -4.15409703957107368 51.15762537446769898, -4.15120953009482019 51.15767854184969821, -4.14969268739524022 51.15613255828449013)))",AMK-3129,Hex
