"wkt_geom","GRID_ID","Entity Type"
"MultiPolygon (((-3.272249 50.772384, -3.273638 50.770795, -3.276503 50.770763, -3.277979 50.772321, -3.276589 50.773910, -3.273724 50.773941, -3.272249 50.772384)))","AUC-3255","Hex"
"MultiPolygon (((-3.916851 50.450354, -3.918209 50.448758, -3.921054 50.448711, -3.922540 50.450260, -3.921181 50.451857, -3.918337 50.451904, -3.916851 50.450354)))","AOF-3355","Hex"
"MultiPolygon (((-4.054912 50.876113, -4.056278 50.874515, -4.059148 50.874464, -4.060652 50.876012, -4.059287 50.877610, -4.056416 50.877660, -4.054912 50.876113)))","AND-3219","Hex"
"MultiPolygon (((-4.069068 50.806611, -4.070432 50.805013, -4.073297 50.804962, -4.074800 50.806509, -4.073437 50.808107, -4.070571 50.808158, -4.069068 50.806611)))","AMZ-3241","Hex"
"MultiPolygon (((-3.054652 50.845374, -3.056051 50.843787, -3.058921 50.843761, -3.060391 50.845322, -3.058992 50.846908, -3.056122 50.846934, -3.054652 50.845374)))","AWB-3233","Hex"
"MultiPolygon (((-3.728062 50.775963, -3.729436 50.774369, -3.732301 50.774326, -3.733791 50.775878, -3.732417 50.777472, -3.729552 50.777515, -3.728062 50.775963)))","AQA-3252","Hex"
"MultiPolygon (((-4.111662 50.892413, -4.113027 50.890814, -4.115898 50.890762, -4.117405 50.892309, -4.116040 50.893907, -4.113169 50.893959, -4.111662 50.892413)))","AMQ-3213","Hex"
"MultiPolygon (((-4.086186 50.611137, -4.087544 50.609539, -4.090397 50.609488, -4.091894 50.611035, -4.090537 50.612633, -4.087683 50.612685, -4.086186 50.611137)))","AMT-3303","Hex"
"MultiPolygon (((-3.739238 50.497216, -3.740604 50.495622, -3.743452 50.495579, -3.744934 50.497131, -3.743568 50.498726, -3.740720 50.498768, -3.739238 50.497216)))","APV-3341","Hex"
"MultiPolygon (((-3.833999 50.626399, -3.835365 50.624804, -3.838221 50.624759, -3.839710 50.626309, -3.838343 50.627905, -3.835488 50.627950, -3.833999 50.626399)))","APA-3299","Hex"
"MultiPolygon (((-4.394866 50.951478, -4.396222 50.949876, -4.399096 50.949817, -4.400614 50.951360, -4.399258 50.952962, -4.396384 50.953021, -4.394866 50.951478)))","AKD-3193","Hex"
"MultiPolygon (((-3.232501 50.895566, -3.233895 50.893977, -3.236768 50.893947, -3.238246 50.895505, -3.236851 50.897093, -3.233978 50.897124, -3.232501 50.895566)))","AUM-3216","Hex"
"MultiPolygon (((-3.848226 50.988165, -3.849602 50.986569, -3.852479 50.986523, -3.853981 50.988073, -3.852605 50.989669, -3.849727 50.989715, -3.848226 50.988165)))","APA-3184","Hex"
"MultiPolygon (((-3.897423 51.135318, -3.898801 51.133722, -3.901688 51.133675, -3.903196 51.135224, -3.901817 51.136820, -3.898930 51.136867, -3.897423 51.135318)))","AOQ-3137","Hex"
"MultiPolygon (((-3.469048 50.604816, -3.470426 50.603224, -3.473281 50.603188, -3.474757 50.604743, -3.473379 50.606335, -3.470525 50.606371, -3.469048 50.604816)))","ASH-3308","Hex"
"MultiPolygon (((-4.262808 50.987164, -4.264169 50.985563, -4.267046 50.985508, -4.268561 50.987052, -4.267199 50.988652, -4.264323 50.988708, -4.262808 50.987164)))","ALI-3182","Hex"
"MultiPolygon (((-4.133782 50.999036, -4.135149 50.997437, -4.138026 50.997384, -4.139537 50.998930, -4.138171 51.000529, -4.135293 51.000582, -4.133782 50.999036)))","AMM-3179","Hex"
"MultiPolygon (((-4.457379 50.991102, -4.458734 50.989500, -4.461611 50.989439, -4.463132 50.990981, -4.461777 50.992583, -4.458901 50.992644, -4.457379 50.991102)))","AJP-3180","Hex"
"MultiPolygon (((-4.058030 51.044464, -4.059401 51.042866, -4.062282 51.042815, -4.063792 51.044362, -4.062421 51.045961, -4.059541 51.046011, -4.058030 51.044464)))","ANE-3165","Hex"
"MultiPolygon (((-3.469524 50.894396, -3.470910 50.892805, -3.473782 50.892769, -3.475268 50.894324, -3.473882 50.895915, -3.471009 50.895951, -3.469524 50.894396)))","ASJ-3216","Hex"
"MultiPolygon (((-3.417482 51.025664, -3.418874 51.024073, -3.421755 51.024038, -3.423243 51.025594, -3.421851 51.027184, -3.418970 51.027219, -3.417482 51.025664)))","ASW-3174","Hex"
"MultiPolygon (((-3.867347 50.926480, -3.868721 50.924884, -3.871594 50.924838, -3.873094 50.926388, -3.871720 50.927984, -3.868847 50.928030, -3.867347 50.926480)))","AOV-3204","Hex"
"MultiPolygon (((-3.251307 50.793070, -3.252698 50.791481, -3.255564 50.791450, -3.257040 50.793008, -3.255649 50.794597, -3.252782 50.794628, -3.251307 50.793070)))","AUH-3249","Hex"
"MultiPolygon (((-3.396608 50.906308, -3.397998 50.904718, -3.400871 50.904683, -3.402354 50.906239, -3.400965 50.907830, -3.398092 50.907864, -3.396608 50.906308)))","ATA-3212","Hex"
"POINT(-3.527500 50.723600)","Exeter LCWIP","Scheme"
"POINT(-3.250000 50.750000)","East Devon LCWIP","Scheme"
"POINT(-3.527500 50.723600)","Dryden Road","Scheme"
"POINT(-3.527500 50.723600)","Heavitree Road Co-Op","Scheme"
"POINT(-3.527500 50.723600)","Heavitree Road Police Station","Scheme"
"POINT(-3.527500 50.723600)","J29 Bus Lane","Scheme"
"POINT(-3.527500 50.723600)","Sowton P&R","Scheme"
"POINT(-3.250000 50.750000)","Exeter Airport Bus scheme","Scheme"
"POINT(-3.530000 50.460000)","Torbay Capital","Scheme"
"POINT(-3.530000 50.460000)","Torbay LCWIP","Scheme"
"POINT(-3.450000 50.900000)","Mid Devon LCWIP","Scheme"
"POINT(-4.050000 51.080000)","A361 North Devon Link Road","Scheme"
"POINT(-4.214213 51.023555)","Bideford to Westward Ho! cycle route (Kenwith Valley Trail)","Scheme"
"POINT(-4.241686 51.008889)","F/P Clovelly Rd Bideford o/s Moreton Cot","Scheme"
"POINT(-4.009629 51.066478)","W&C LANDKEY TO NEWPORT BARNSTABLE","Scheme"
"POINT(-4.061368 51.076641)","Longbridge junction traffic signal changes","Scheme"
"POINT(-4.203659 51.044658)","Appledore to Bideford","Scheme"
"POINT(-4.050000 51.080000)","Barnstaple, Bideford, Northam LCWIP","Scheme"
"POINT(-3.676926 50.589861)","Indio Road Vehicle and Access Lane Modal Filter, Bovey Tracey","Scheme"
"POINT(-3.620757 50.523561)","Ogwell to Newton Abbot cycle route Phase 2d","Scheme"
"POINT(-3.600000 50.550000)","Teignbridge LCWIP","Scheme"
"POINT(-4.181846 50.371661)","Freeport Langage Access Road Phase 1B","Scheme"
"POINT(-3.552469 50.750991)","Boniface Trail","Scheme"
"POINT(-3.227518 50.707958)","Sidbury to Sidford walking & cycle link","Scheme"
"POINT(-3.676926 50.589861)","Indio Road Vehicle and Access Lane Modal Filter, Bovey Tracey","Scheme"
"POINT(-4.050000 51.080000)","Ilfracombe Regeneration Package","Scheme"
"POINT(-4.144378 50.952754)","ATF5 Crossing A386 Great Torrington","Scheme"
"POINT(-3.242597 50.694778)","ATF5 Crossing Woolbrook Road Sidmouth","Scheme"
"POINT(-3.915106 50.390872)","B3213 Exeter Road Crossing, Ivybridge","Scheme"
"POINT(-4.098663 50.470644)","Drakes Trail - Yelverton to Dousland","Scheme"
