wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.9168506938254577 50.45035429186572173, -3.91820942670114425 50.44875790032742202, -3.9210539999980738 50.44871096835337454, -3.92254002477801977 50.45026042419187462, -3.92118140457718667 50.45185685899177486, -3.91833664393329029 50.45190379472516184, -3.9168506938254577 50.45035429186572173)))",AOF-3355,Hex
"MultiPolygon (((-3.73923809533205453 50.49721640658304977, -3.74060418712465959 50.49562203660710225, -3.74345184893939331 50.495579421297343, -3.74493360724240487 50.49713117589868006, -3.74356762401667664 50.49872560775575181, -3.74071977130477595 50.49876822171268742, -3.73923809533205453 50.49721640658304977)))",APV-3341,Hex
"MultiPolygon (((-3.84478706218879029 50.3539315181629874, -3.84614555872473796 50.35233594361419307, -3.84898447504643437 50.35229083163206099, -3.85046508080418315 50.35384128790259695, -3.84910668734396744 50.35543691020427559, -3.84626758637973376 50.35548202833368236, -3.84478706218879029 50.3539315181629874)))",AOV-3386,Hex
"MultiPolygon (((-3.79427668510141824 50.37046199402136182, -3.79563734635170835 50.36886698929616557, -3.79847732916220293 50.36882309664715507, -3.79995683882739987 50.37037420493577144, -3.79859628065088106 50.37196925995802843, -3.79575610875840397 50.37201315611995511, -3.79427668510141824 50.37046199402136182)))",APH-3381,Hex
"MultiPolygon (((-3.8866233992513517 50.33437191907835029, -3.8879799337209664 50.33277588077353926, -3.89081760956685008 50.33272976207469185, -3.89229893518636949 50.33427967013297177, -3.89094250532242159 50.33587575353981691, -3.88810464313962845 50.33592188256909594, -3.8866233992513517 50.33437191907835029)))",AOL-3392,Hex
"MultiPolygon (((-3.63626141836821981 50.36177531069286317, -3.63762714899579009 50.3601821219768695, -3.64046690145731988 50.36014207860350922, -3.64194111213632432 50.36169521923733328, -3.64057548533084852 50.363288456970281, -3.63773554260751553 50.36332850507265846, -3.63626141836821981 50.36177531069286317)))",AQS-3384,Hex
"MultiPolygon (((-3.83821471202478381 50.40440371511493112, -3.83957482559330154 50.40280821136003198, -3.84241676321251902 50.40276321595505493, -3.84389877502185051 50.40431371968189467, -3.8425387678273033 50.40590926951497153, -3.83969664132944821 50.40595427160293696, -3.83821471202478381 50.40440371511493112)))",AOX-3370,Hex
"MultiPolygon (((-3.77617908886511744 50.34240784240882505, -3.77753959646157833 50.34081303952149256, -3.78037792729440669 50.34076960876608808, -3.78185593703862821 50.34232097590115984, -3.78049555211022659 50.34391581597638776, -3.77765703564265731 50.3439592515839891, -3.77617908886511744 50.34240784240882505)))",APL-3390,Hex
"MultiPolygon (((-4.07321547009002405 50.31545570220528418, -4.07456518899631615 50.31385761267519285, -4.07740141357828012 50.31380696371896022, -4.07888809989051193 50.31535439275265986, -4.07753848699521182 50.31695252398622387, -4.0747020804584686 50.31700318385954063, -4.07321547009002405 50.31545570220528418)))",AMT-3397,Hex
"MultiPolygon (((-3.7596303930526811 50.24034916510329651, -3.76098858447358131 50.23875458492702251, -3.76382088550659999 50.23871162419476377, -3.76529518602254587 50.24026323161675833, -3.7639370982441589 50.24185785771445012, -3.76110460566078508 50.24190083041210642, -3.7596303930526811 50.24034916510329651)))",APO-3422,Hex
"MultiPolygon (((-3.74160215227054138 50.44523981988644579, -3.74296670148665145 50.44364540152480458, -3.74581123434075947 50.443602755314636, -3.74729140445643338 50.44515452372296238, -3.74592695727820502 50.446748990283929, -3.74308223713338384 50.44679164063566645, -3.74160215227054138 50.44523981988644579)))",APU-3357,Hex
"MultiPolygon (((-3.74708535720317837 50.47821125175138945, -3.74845063983493798 50.47661677282348336, -3.75129714256881641 50.47657397400304546, -3.75277854953986578 50.47812564891998477, -3.751413372787606 50.47972017755263607, -3.74856668184489683 50.47976298135972684, -3.74708535720317837 50.47821125175138945)))",APT-3347,Hex
"MultiPolygon (((-3.7267781042665149 50.27232213571136299, -3.72813833151367291 50.2707279241257865, -3.73097258487190286 50.27068577609227162, -3.73244679901693743 50.27223783377888111, -3.73108667487963386 50.27383209337732239, -3.72825223502439895 50.27387424695400853, -3.7267781042665149 50.27232213571136299)))",APW-3412,Hex
"MultiPolygon (((-3.95731441820741425 50.39616399686408954, -3.958670278306891 50.39456715085653116, -3.96151152530556905 50.39451927602337378, -3.96299710076136114 50.3960682415432899, -3.96164134643291188 50.39766513642329215, -3.95879991194478364 50.39771301732885433, -3.95731441820741425 50.39616399686408954)))",ANV-3372,Hex
"MultiPolygon (((-3.67741716352797132 50.3202648606104006, -3.67878041422169266 50.3186711724476865, -3.68161763109237805 50.31863015094689473, -3.68309178339352483 50.32018281308085506, -3.68172863745392931 50.32177654990005777, -3.67889123329876222 50.32181757594695171, -3.67741716352797132 50.3202648606104006)))",AQI-3397,Hex
"MultiPolygon (((-3.69146955995687565 50.35626309718398375, -3.69283334540638508 50.35466924267002042, -3.69567269621259031 50.35462785354096837, -3.69714844685257171 50.35618031431113906, -3.69578475373314452 50.35777422201993403, -3.69294521650653929 50.35781561567177533, -3.69146955995687565 50.35626309718398375)))",AQF-3386,Hex
"MultiPolygon (((-3.89940472482100908 50.44119641848059388, -3.90076379958182651 50.43960021809914451, -3.90360784562252583 50.43955371543668775, -3.90509300135789417 50.44110340786068036, -3.90373402967610739 50.44269965672740597, -3.90088979331846319 50.44274616302169534, -3.89940472482100908 50.44119641848059388)))",AOJ-3358,Hex
"MultiPolygon (((-3.82977532583560709 50.29593003682204966, -3.83113270615261881 50.29433465617326249, -3.8339681677736106 50.29428996263050777, -3.83544643568606292 50.29584064673959176, -3.83408916042092685 50.29743607548573436, -3.8312535096541338 50.29748077351386115, -3.82977532583560709 50.29593003682204966)))",AOY-3404,Hex
"MultiPolygon (((-3.8542847489489187 50.37896454682026359, -3.85564361642144693 50.37736886030622685, -3.85848400921071022 50.3773234931240026, -3.85996572302316299 50.37887380400287896, -3.85860695771072182 50.38046953536375838, -3.85576637655856214 50.38051490800565091, -3.8542847489489187 50.37896454682026359)))",AOT-3378,Hex
"MultiPolygon (((-3.73502404631542273 50.49885323976200624, -3.73639032959263906 50.49725891699856106, -3.73923809533205453 50.49721640658304977, -3.74071977130477595 50.49876822171268742, -3.73935359403509837 50.50036260405210697, -3.73650563509113276 50.50040511044920066, -3.73502404631542273 50.49885323976200624)))",APW-3340,Hex
"MultiPolygon (((-4.01465293000241186 50.44083157526052474, -4.01600806761597351 50.43923407511109502, -4.01885187264830357 50.43918475284051794, -4.02034072619406668 50.44073292259670183, -4.01898566985936068 50.442330443794134, -4.01614167391215737 50.44237976854210359, -4.01465293000241186 50.44083157526052474)))",ANI-3357,Hex
"MultiPolygon (((-3.81407792913103005 50.33080455382802398, -3.81543684392454807 50.32920931616111204, -3.81827442120178073 50.32916497084729457, -3.81975327525894581 50.33071585551178373, -3.81839446236113655 50.33231114272794571, -3.81555669560909116 50.33235549506512996, -3.81407792913103005 50.33080455382802398)))",APC-3393,Hex
"MultiPolygon (((-3.84224244608922749 50.50822278271837718, -3.84360533725326636 50.50662721923190901, -3.84645349869900466 50.50658204505818105, -3.84793895564050104 50.50813242842122719, -3.84657618443624161 50.5097280421666639, -3.84372783495016623 50.50977322202540876, -3.84224244608922749 50.50822278271837718)))",AOX-3337,Hex
"MultiPolygon (((-3.8369492313951028 50.26118862370286422, -3.83830540520292862 50.25959317090158862, -3.84113879483365261 50.25954832394062066, -3.84261619076489591 50.26109892780527133, -3.8412601159154991 50.26269443218825472, -3.8384265425626598 50.26273928348774689, -3.8369492313951028 50.26118862370286422)))",AOW-3415,Hex
"MultiPolygon (((-3.94206615360015533 50.44049207575645966, -3.9434237663752274 50.43889539026976365, -3.94626770793960846 50.43884784443073954, -3.94775422325369529 50.44039697797320798, -3.94639671679674109 50.44199371262521936, -3.94355258639014794 50.44204126539279542, -3.94206615360015533 50.44049207575645966)))",ANZ-3358,Hex
"MultiPolygon (((-4.04431048213506639 50.4355922931595515, -4.04566449269315775 50.43399448597293855, -4.04850795005607811 50.43394446432571954, -4.049997586572327 50.43549224489986926, -4.04864368223089333 50.43709010211933474, -4.04580003655258036 50.43714012870731267, -4.04431048213506639 50.4355922931595515)))",ANB-3359,Hex
"MultiPolygon (((-3.92576789043874763 50.45965099298172163, -3.92712656435018559 50.45805451237387018, -3.92997167943815073 50.45800735817437044, -3.93145830942100538 50.45955668012003059, -3.93009974248873162 50.46115321006453058, -3.92725443870950963 50.46120036915745999, -3.92576789043874763 50.45965099298172163)))",AOD-3352,Hex
"MultiPolygon (((-3.8830890642953384 50.4603495271747704, -3.88444919534369815 50.45875352858082863, -3.88729439890335238 50.45870741343944843, -3.88877964774362983 50.46025729021840078, -3.88741961922560053 50.46185333670360507, -3.88457422483851822 50.46189945557694756, -3.8830890642953384 50.4603495271747704)))",AON-3352,Hex
"MultiPolygon (((-3.72613655300401536 50.48954160953953618, -3.72750287671292746 50.48794738014914429, -3.73035009353821723 50.48790509590090636, -3.7318311780129414 50.48945704070369089, -3.73046496502222968 50.49105134233285952, -3.72761755238181847 50.49109363620549118, -3.72613655300401536 50.48954160953953618)))",APY-3343,Hex
"MultiPolygon (((-3.83433118418409791 50.30372831021915658, -3.83568863872028087 50.30213287144403722, -3.8385245522597411 50.30208806752423811, -3.84000319503795851 50.30363869563910129, -3.83864584378599671 50.30523418416676407, -3.83580974681664522 50.30527899319880447, -3.83433118418409791 50.30372831021915658)))",AOX-3402,Hex
"MultiPolygon (((-3.69505807873930214 50.45694500308925967, -3.6964245314412385 50.45535111523983574, -3.69926983378055052 50.45530960170238188, -3.70074886982354601 50.45686197173648679, -3.6993825190781422 50.45845590784754364, -3.69653702910246196 50.45849742612745814, -3.69505807873930214 50.45694500308925967)))",AQF-3354,Hex
"MultiPolygon (((-3.63962561335587598 50.45931337757566837, -3.64099404182500175 50.45772011014926761, -3.64383958896533944 50.45767993162530018, -3.64531689952673643 50.45923301608208789, -3.64394857134914707 50.46082632264508305, -3.64110283488966058 50.46086650041350907, -3.63962561335587598 50.45931337757566837)))",AQS-3353,Hex
"MultiPolygon (((-3.94523641787977386 50.41368083862371208, -3.94659317696697842 50.41208412224092683, -3.94943550939255239 50.41203652005682301, -3.95092126508983421 50.41358562941558574, -3.94956461407347081 50.41518239345988661, -3.94672209297655163 50.41523000154378309, -3.94523641787977386 50.41368083862371208)))",ANY-3366,Hex
"MultiPolygon (((-3.97711145032560776 50.46193780189680211, -3.9784684473972769 50.46034073327678016, -3.98131358413789282 50.46029230678328048, -3.98280190620318297 50.4618409422959644, -3.98144501105956827 50.46343805931700643, -3.97859969331980778 50.46348649240059814, -3.97711145032560776 50.46193780189680211)))",ANR-3351,Hex
"MultiPolygon (((-4.05551913644241324 50.30002989215902431, -4.05686900854868693 50.29843197022583468, -4.05970435059424606 50.29838175391389399, -4.06119001050264838 50.29992945387277103, -4.05984023230520208 50.30152739523370542, -4.05700470342622577 50.30157761362809055, -4.05551913644241324 50.30002989215902431)))",AMX-3402,Hex
"MultiPolygon (((-3.98026596077273798 50.33281557446207444, -3.98161928485168071 50.33121852989793155, -3.98445671037801397 50.33117016363921437, -3.98594099697446058 50.3327188341131162, -3.98458777841252232 50.33431593293860118, -3.98175016564549811 50.33436430162598185, -3.98026596077273798 50.33281557446207444)))",ANP-3392,Hex
"MultiPolygon (((-3.6322717020651285 50.36970117954647463, -3.63363774543620188 50.36810805760514853, -3.63647797848662524 50.36806810849680005, -3.63795233936792561 50.36962128179997222, -3.63658637448417954 50.37121446133833302, -3.63374594890904135 50.37125441678944782, -3.6322717020651285 50.36970117954647463)))",AQT-3382,Hex
"MultiPolygon (((-3.8576239499096654 50.35530113516986006, -3.85898204890473195 50.35370541677946221, -3.86182102396254834 50.3536599878903175, -3.86330208923956198 50.35521027229079039, -3.86194409588557175 50.35680604051239584, -3.85910493160223789 50.35685147450256238, -3.8576239499096654 50.35530113516986006)))",AOS-3385,Hex
"MultiPolygon (((-3.61683610489374407 50.41713505514668725, -3.6182040406669711 50.41554209111833984, -3.62104707586467534 50.4155025130394705, -3.62252236060411992 50.41705589641625807, -3.62115450745483436 50.41864891753013467, -3.61831128595644369 50.41868849951693221, -3.61683610489374407 50.41713505514668725)))",AQX-3367,Hex
"MultiPolygon (((-3.88500524184748963 50.2934738126540708, -3.88636070481792162 50.29187783379430954, -3.88919595173152954 50.29183182594410084, -3.890675922262679 50.29338179166857259, -3.88932056315181107 50.29497781842077586, -3.88648512841625005 50.29502383149991118, -3.88500524184748963 50.2934738126540708)))",AOL-3405,Hex
"MultiPolygon (((-3.78226251405232849 50.39110867663246296, -3.78362415973699973 50.38951380912786249, -3.78646539300928664 50.38947019760618673, -3.78794516621280852 50.39102145111211684, -3.78658362744088484 50.39261636727874105, -3.78374220600077082 50.39265998318424522, -3.78226251405232849 50.39110867663246296)))",APK-3374,Hex
"MultiPolygon (((-3.75808708939648906 50.4292520947549221, -3.75945060251197649 50.42765750893336474, -3.76229414818078434 50.42761447675042064, -3.76377436986160863 50.42916602494166511, -3.76241096168664013 50.43076065851575862, -3.75956722683729172 50.43080369488927772, -3.75808708939648906 50.4292520947549221)))",APQ-3362,Hex
"MultiPolygon (((-3.65444509591133926 50.2717999467885619, -3.65580779065303574 50.27020651622155611, -3.65864212590100779 50.27016609706221573, -3.66011398010260613 50.27171909335458366, -3.65875141374203183 50.27331256302625206, -3.65591689007934795 50.27335298842980649, -3.65444509591133926 50.2717999467885619)))",AQN-3413,Hex
"MultiPolygon (((-3.99431491771732672 50.46479206345267698, -3.99567140719311986 50.4631947968692316, -3.99851665733898143 50.46314593311115004, -4.00000560367757796 50.4646943308250826, -3.9986492177635915 50.46629164546536117, -3.99580378056975904 50.46634051440234003, -3.99431491771732672 50.46479206345267698)))",ANN-3350,Hex
"MultiPolygon (((-3.99705999765485886 50.42854291346355211, -3.99841540931171258 50.42694562500796707, -4.00125852275227523 50.4268967514846409, -4.00274639841970181 50.42844514974886749, -4.00139108962096834 50.43004248292417202, -3.9985477960645639 50.4300913683617793, -3.99705999765485886 50.42854291346355211)))",ANM-3361,Hex
"MultiPolygon (((-4.01818324155565509 50.42345626213905518, -4.01953778919787297 50.42185874794216716, -4.02238055532244054 50.42180936994821394, -4.02386896844409581 50.42335750460022581, -4.02251453033059114 50.42495507069303784, -4.01967156954300275 50.42500445023648581, -4.01818324155565509 50.42345626213905518)))",ANH-3363,Hex
"MultiPolygon (((-3.85911906739557597 50.2844464311112489, -3.86047513914697671 50.28285072263035005, -3.8633098670525734 50.28280532412028236, -3.86478871007642466 50.28435562583813834, -3.86343274337918796 50.28595138525771802, -3.86059782896229065 50.28599679044392445, -3.85911906739557597 50.2844464311112489)))",AOR-3408,Hex
"MultiPolygon (((-3.94219489560739911 50.44363795143947726, -3.94355258639014794 50.44204126539279542, -3.94639671679674109 50.44199371262521936, -3.94788334232309479 50.44354284250245968, -3.94652575815051065 50.44513957983080132, -3.94368143944250749 50.44518713681969757, -3.94219489560739911 50.44363795143947726)))",ANZ-3357,Hex
"MultiPolygon (((-4.10052388196860296 50.45190535846206359, -4.10187639418025274 50.45030690375591576, -4.10472074224466699 50.45025547648332065, -4.10621276188344009 50.45180250231510399, -4.10486034924818455 50.45340100773615433, -4.1020158133891087 50.45345243742907115, -4.10052388196860296 50.45190535846206359)))",AMO-3353,Hex
"MultiPolygon (((-3.80976166926772875 50.32929779743928123, -3.81112068990194697 50.32770260766099568, -3.81395818257321562 50.32765836996557596, -3.81543684392454807 50.32920931616111204, -3.81407792913103005 50.33080455382802398, -3.81124024718349519 50.33084879734906991, -3.80976166926772875 50.32929779743928123)))",APD-3394,Hex
"MultiPolygon (((-3.58661439548623528 50.40653367841547805, -3.58798303824990805 50.40494106825054388, -3.59082550294131764 50.40490222296899248, -3.59229951704228512 50.4064559823971905, -3.59093098977161906 50.40804863892363841, -3.58808832831252822 50.40808749105774211, -3.58661439548623528 50.40653367841547805)))",ARE-3370,Hex
"MultiPolygon (((-3.68938975362858557 50.41767812942821081, -3.69075527164899153 50.41608432846206256, -3.6935982272864063 50.41604297982156879, -3.69507585093264357 50.41759542824348017, -3.69371043591650539 50.41918927872488609, -3.69086729159944316 50.41923063192358256, -3.68938975362858557 50.41767812942821081)))",AQG-3366,Hex
"MultiPolygon (((-3.70427239957909826 50.47569815736687815, -3.70563907263854375 50.47410415965996577, -3.70848549749460599 50.47406240058614202, -3.70996543642549881 50.47561463606916021, -3.70859885191687821 50.47720868564488939, -3.70575223711513102 50.47725044776166925, -3.70427239957909826 50.47569815736687815)))",AQD-3348,Hex
"MultiPolygon (((-3.83394138171066645 50.51464983151834787, -3.83530471799334727 50.51305436077851851, -3.83815327936486028 50.51300938554270914, -3.83963869355493337 50.5145598768456523, -3.83827546498886063 50.51615539493543849, -3.83542671355841946 50.51620037460185131, -3.83394138171066645 50.51464983151834787)))",AOZ-3335,Hex
"MultiPolygon (((-3.60133665270105041 50.33707769123081732, -3.60270291506915896 50.33548488017252254, -3.60554117816735564 50.33544573062749805, -3.60701336783121818 50.33699938896258175, -3.60564720901755331 50.33859224998862203, -3.60280875876473194 50.33863140273541603, -3.60133665270105041 50.33707769123081732)))",ARA-3392,Hex
"MultiPolygon (((-4.03593239884735677 50.33972426446123904, -4.03728403681044146 50.3381265862103362, -4.04012178533624766 50.3380768029936263, -4.04160808598292753 50.33962467327048529, -4.04025655813540219 50.34122238074572664, -4.03741862289269093 50.34127217167854695, -4.03593239884735677 50.33972426446123904)))",ANC-3389,Hex
"MultiPolygon (((-3.64674318570164635 50.41828955757654285, -3.64811016151533885 50.41669624109118075, -3.65095321569113151 50.4166559311771536, -3.65242948074025842 50.41820893427426142, -3.65106260658628745 50.41980230064543633, -3.64821936367938626 50.4198426148897525, -3.64674318570164635 50.41828955757654285)))",AQQ-3366,Hex
"MultiPolygon (((-3.92321761009847148 50.39673278979063298, -3.92457465425577157 50.39513632173763114, -3.92741600455022644 50.39508926806249178, -3.92890049195099511 50.39663867657964147, -3.92754355764157737 50.3982351955058121, -3.92470201982786104 50.3982822540844424, -3.92321761009847148 50.39673278979063298)))",AOD-3372,Hex
"MultiPolygon (((-3.63011611962058511 50.43111539046759617, -3.63148403372416695 50.42952225651772835, -3.63432788103683535 50.42948234530103235, -3.6358040035524124 50.43103556321320013, -3.63443619417244657 50.43262874517801464, -3.63159215815987402 50.43266866164342588, -3.63011611962058511 50.43111539046759617)))",AQU-3362,Hex
"MultiPolygon (((-3.87714072269259669 50.41794783010843162, -3.8784999005901728 50.41635187964465104, -3.88134256040606163 50.4163059247799481, -3.88282622599884863 50.41785591626454988, -3.88146715109290552 50.41945191823782579, -3.8786243051260425 50.41949787715749665, -3.87714072269259669 50.41794783010843162)))",AOO-3365,Hex
"MultiPolygon (((-4.04863497683263684 50.33792705664848199, -4.04998613063286683 50.33632926135179275, -4.05282374537990275 50.33627915950588516, -4.05431039476028854 50.33782685488618824, -4.05295934750540177 50.33942470535058789, -4.05012154586377182 50.33947481365409971, -4.04863497683263684 50.33792705664848199)))",AMZ-3390,Hex
"MultiPolygon (((-3.65182863972810123 50.44182694478990214, -3.65319612934526816 50.4402335562655324, -3.65604058766596118 50.44019310836473124, -3.65751774750845948 50.44174604400720341, -3.65615035397789523 50.44333949119275218, -3.65330570485911199 50.44337994472908093, -3.65182863972810123 50.44182694478990214)))",AQP-3359,Hex
"MultiPolygon (((-3.71782216546610655 50.2598626824108905, -3.71918235193114821 50.25826857265157344, -3.72201588197230882 50.25822665289430802, -3.72348941350786422 50.25977883791169631, -3.72212933105919452 50.26137299518487112, -3.71929561447252022 50.26141492004841638, -3.71782216546610655 50.2598626824108905)))",APY-3416,Hex
"MultiPolygon (((-3.58010093791089634 50.33894217391830495, -3.58146796610058971 50.33734960149784143, -3.58430636654426493 50.33731094957374808, -3.58577792764620051 50.33886488028118578, -3.58441100412987446 50.34045749670949732, -3.58157241551775707 50.34049614383926752, -3.58010093791089634 50.33894217391830495)))",ARF-3392,Hex
"MultiPolygon (((-3.98603100022636081 50.36891870949861527, -3.98738512426775804 50.3673216005765596, -3.99022469077872444 50.36727304589677345, -3.99171031961962397 50.36882158927264896, -3.99035630300450794 50.3704187401596144, -3.98751654894164398 50.37046730486554225, -3.98603100022636081 50.36891870949861527)))",ANO-3380,Hex
"MultiPolygon (((-3.68481722772903808 50.28867766836825837, -3.68617934059738506 50.28708390871747724, -3.68901464012841496 50.287042756878364, -3.69048801702106832 50.28859535478747489, -3.68912601158538189 50.29018916042944909, -3.68629052041002092 50.29023032219234324, -3.68481722772903808 50.28867766836825837)))",AQG-3407,Hex
