wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.8339988691047262 50.62639929317278842, -3.83536533157833759 50.62480383963597319, -3.83822066170399978 50.62475880821365593, -3.83970970674248679 50.62630922919661458, -3.83834336028846312 50.62790472982736389, -3.83548784114363084 50.62794976533983515, -3.8339988691047262 50.62639929317278842)))",APA-3299,Hex
"MultiPolygon (((-3.46904817083274652 50.60481561924049032, -3.47042639826812627 50.60322432793702063, -3.4732808787970626 50.60318824646589775, -3.47475732679795168 50.6047434469343429, -3.47337920529393918 50.60633478489616977, -3.47052453188022136 50.60637087274813695, -3.46904817083274652 50.60481561924049032)))",ASH-3308,Hex
"MultiPolygon (((-3.67724996964728224 50.67755156708481223, -3.67862319308664976 50.67595793328472098, -3.6814818048605189 50.6759167687062444, -3.68296738770154741 50.67746923365480427, -3.68159427159408192 50.6790629172245346, -3.6787354671326189 50.67910408572411995, -3.67724996964728224 50.67755156708481223)))",AQL-3284,Hex
"MultiPolygon (((-3.52649466370395981 50.65916224144498869, -3.52787250511695571 50.65757032360342293, -3.53073019828576884 50.65753279805767306, -3.53221024650635052 50.65908718957827261, -3.53083253414165377 50.66067917824807409, -3.52797465177283964 50.66071671131005871, -3.52649466370395981 50.65916224144498869)))",ARU-3290,Hex
"MultiPolygon (((-3.71018793287145288 50.52125596769409555, -3.71155569060573765 50.5196619279572019, -3.71440484149855044 50.51962002766459392, -3.71588642668856961 50.5211721599153023, -3.71451877462020974 50.52276624759582546, -3.71166943309452835 50.52280815506200184, -3.71018793287145288 50.52125596769409555)))",AQC-3333,Hex
"MultiPolygon (((-3.59042177217777336 50.64729040320059283, -3.59179707401563109 50.64569778325034122, -3.59465396736212295 50.64565875396934302, -3.59613575082000647 50.64721234027437902, -3.59476055378569548 50.64880501011044345, -3.59190346989244702 50.64884404373663784, -3.59042177217777336 50.64729040320059283)))",ARF-3294,Hex
"MultiPolygon (((-3.63393129982151164 50.66557532172728173, -3.6353056375585493 50.6639822020419146, -3.63816358284592711 50.66394210418190625, -3.63964738072147487 50.66549512087997442, -3.63827314759905418 50.66708829070469733, -3.63541501136139322 50.66712839357519016, -3.63393129982151164 50.66557532172728173)))",AQV-3288,Hex
"MultiPolygon (((-3.52868744817849977 50.59460511772839197, -3.53006339274430525 50.59301321117692396, -3.53291721327211583 50.59297572317294822, -3.53439526719159014 50.59453012717779785, -3.53301943746142966 50.59612209397742788, -3.53016542777719833 50.59615958617035858, -3.52868744817849977 50.59460511772839197)))",ART-3311,Hex
"MultiPolygon (((-3.50955147060128603 50.53189958166814932, -3.51092629258345701 50.53030783143806559, -3.51377630818261544 50.53027083712544965, -3.51525169697817219 50.53182557736953839, -3.51387698285556738 50.53341736892208758, -3.51102677363414051 50.53345437574248677, -3.50955147060128603 50.53189958166814932)))",ARX-3331,Hex
"MultiPolygon (((-3.61071905635623969 50.61396057107596391, -3.61209272627241251 50.61236770548142516, -3.61494756777262038 50.61232820634403851, -3.61642893204434834 50.61388156730492938, -3.61505536695582563 50.61547448131251059, -3.61220033333183821 50.61551398608065711, -3.61071905635623969 50.61396057107596391)))",ARA-3304,Hex
"MultiPolygon (((-3.50894433434108333 50.64680011996201614, -3.51032241847935289 50.64520840405941726, -3.51317939434961435 50.64517131871731692, -3.51465848116084523 50.64672594493576696, -3.51328050116339741 50.64831771188192278, -3.51042333281390917 50.64835480138799539, -3.50894433434108333 50.64680011996201614)))",ARY-3294,Hex
