wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-3.49498611797076775 50.47700048149946639, -3.49635985960809315 50.47540891695757637, -3.49920658935334172 50.47537230912326578, -3.500679769786053 50.47692726012176223, -3.49930612656515905 50.4785188750806384, -3.49645920871695726 50.47855548758976596, -3.49498611797076775 50.47700048149946639)))",ASA-3348,Hex
"MultiPolygon (((-3.60819999772857791 50.41410688868888457, -3.60956814736121423 50.41251402143746674, -3.61241103940259478 50.41247464528517241, -3.61388596752339719 50.41402813360199531, -3.61251791929332144 50.41562105146844885, -3.6096748415292903 50.41566043040280931, -3.60819999772857791 50.41410688868888457)))",AQZ-3368,Hex
"MultiPolygon (((-3.57997056650936019 50.46328646688748876, -3.5813411041052321 50.46169390900534779, -3.58418699597276325 50.4616551477025439, -3.58566252430517629 50.46320894099552135, -3.58429211450935403 50.46480148153968059, -3.58144603500521486 50.46484027680494933, -3.57997056650936019 50.46328646688748876)))",ARG-3352,Hex
"MultiPolygon (((-3.57356205999613552 50.39884132826256291, -3.57493092374614463 50.39724886859517738, -3.57777293030516841 50.39721035278604688, -3.57924626479290842 50.39876429249735423, -3.57787750333562826 50.40035680344355029, -3.57503530588850849 50.4003953248222345, -3.57356205999613552 50.39884132826256291)))",ARH-3373,Hex
"MultiPolygon (((-3.49488686985243469 50.47385390618520518, -3.49626052412552468 50.47226234192493877, -3.4991070643095874 50.47222573832820558, -3.50058014299383879 50.47378069410117263, -3.49920658935334172 50.47537230912326578, -3.49635985960809315 50.47540891695757637, -3.49488686985243469 50.47385390618520518)))",ASA-3349,Hex
"MultiPolygon (((-3.56268729148139318 50.45722418734823833, -3.56405822277198991 50.45563183919255579, -3.56690376424876376 50.45559355531214152, -3.5683785534998993 50.45714762679487109, -3.5670077332936323 50.45874003585375789, -3.56416200573562714 50.4587783016133713, -3.56268729148139318 50.45722418734823833)))",ARK-3354,Hex
"MultiPolygon (((-3.55609678890312564 50.38648483276371337, -3.55746589412491732 50.38489257290619605, -3.56030718664776558 50.38485448805753464, -3.56177956355561154 50.38640865923320433, -3.56041056119728605 50.38800096903213444, -3.55756908071024913 50.38803905753027834, -3.55609678890312564 50.38648483276371337)))",ARL-3377,Hex
"MultiPolygon (((-3.53483682233642904 50.38834137216709053, -3.53620676286728752 50.38674931889849518, -3.5390482155403129 50.38671174276490916, -3.54051992964666784 50.38826620613254192, -3.53915009987405726 50.38985830244612174, -3.53630844381840026 50.38989589236684452, -3.53483682233642904 50.38834137216709053)))",ARQ-3376,Hex
"MultiPolygon (((-3.48388509011579339 50.39529834461809799, -3.48525690406008337 50.39370691545213532, -3.48809879616174312 50.39367058087659501, -3.48956906212651763 50.39522567639034634, -3.4881973530260737 50.39681715625496849, -3.48535527185058491 50.3968534885609003, -3.48388509011579339 50.39529834461809799)))",ASC-3374,Hex
"MultiPolygon (((-3.61283858123803814 50.42506030439890452, -3.61420688919290178 50.42346737848154703, -3.6170504136944861 50.42342788844980106, -3.61852580322535333 50.42498132654406362, -3.61715755890335977 50.42657432477861335, -3.61431385096097202 50.42661381942516385, -3.61283858123803814 50.42506030439890452)))",AQY-3364,Hex
"MultiPolygon (((-3.53955780365576356 50.40244450550660105, -3.54092799215330789 50.40085240171205783, -3.54377032248867385 50.40081468894525329, -3.54524264799525923 50.40236907695475566, -3.54387255263116252 50.4039612398033654, -3.54103003985988218 50.40399895317670342, -3.53955780365576356 50.40244450550660105)))",ARP-3372,Hex
"MultiPolygon (((-3.53534499868345353 50.40407417079287455, -3.53671537226132537 50.40248211524184541, -3.53955780365576356 50.40244450550660105, -3.54103003985988218 50.40399895317670342, -3.53965976328578247 50.40559106168043968, -3.53681715208648617 50.40562866957958477, -3.53534499868345353 50.40407417079287455)))",ARQ-3371,Hex
"MultiPolygon (((-3.5083477911162837 50.49414131706160447, -3.50972156679135372 50.49254959701617196, -3.51256931384294768 50.49251265381605691, -3.51404347469079426 50.49406742430797124, -3.51266980492204306 50.4956591923049416, -3.50982187285689129 50.49569614066653855, -3.5083477911162837 50.49414131706160447)))",ARX-3343,Hex
"MultiPolygon (((-3.57986574247078648 50.4601400727412539, -3.58123619453166109 50.45854752780709163, -3.58408189758603468 50.45850880111873948, -3.58555732413997141 50.46006260544278632, -3.58418699597276325 50.4616551477025439, -3.5813411041052321 50.46169390900534779, -3.57986574247078648 50.4601400727412539)))",ARG-3353,Hex
"MultiPolygon (((-3.62190658616361683 50.44067395871859105, -3.62327507420866946 50.43908090085984952, -3.62611951807165456 50.43904117294372469, -3.62759566655127097 50.44059449685227747, -3.62622727894605745 50.44218760736266916, -3.62338264358866091 50.44222734169519384, -3.62190658616361683 50.44067395871859105)))",AQW-3359,Hex
