wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-4.05491186452519603 50.8761130331948479, -4.05627775585277295 50.8745150596382274, -4.05914790228767508 50.87446444623810748, -4.0606523490080555 50.8760117996590111, -4.05928656906442242 50.87760982114950536, -4.05641622925294598 50.8776604416656042, -4.05491186452519603 50.8761130331948479)))",AND-3219,Hex
"MultiPolygon (((-4.11166231322612052 50.89241284485736827, -4.11302670145892879 50.89081423374497604, -4.11589774547862586 50.89076220288426811, -4.1174045960576553 50.89230877273984532, -4.1160403124449525 50.8939074229154329, -4.11316907514250651 50.8939594621439042, -4.11166231322612052 50.89241284485736827)))",AMQ-3213,Hex
"MultiPolygon (((-4.39486579019618517 50.9514778778036117, -4.39622201978511207 50.94987609606057077, -4.39909613973428204 50.9498170826628396, -4.40061422586322326 50.95135984485441583, -4.39925811280053658 50.95296167305841095, -4.39638379586679395 50.95302069393525812, -4.39486579019618517 50.9514778778036117)))",AKD-3193,Hex
"MultiPolygon (((-4.26280763757440262 50.9871636072651242, -4.26416947999381613 50.98556331371472794, -4.26704609502045074 50.98550752469772362, -4.26856106268536273 50.98705202182294727, -4.26719933019243136 50.98865236614700081, -4.26432251985724697 50.98870816188640731, -4.26280763757440262 50.9871636072651242)))",ALI-3182,Hex
"MultiPolygon (((-4.13378187596864066 50.9990356464046144, -4.13514849420275521 50.99743676722615504, -4.13802607292301072 50.9973841097982401, -4.13953724594992334 50.99893031912498742, -4.13817073144239345 51.00052924872390747, -4.13529295447422562 51.00058191478115077, -4.13378187596864066 50.9990356464046144)))",AMM-3179,Hex
"MultiPolygon (((-4.45737926197926271 50.9911020560249213, -4.45873441150415317 50.98949958393578896, -4.46161081782606495 50.98943899546856073, -4.46313226443906874 50.9909808723666842, -4.4617772439090464 50.99258339387655781, -4.45890064655746965 50.99264398935189746, -4.45737926197926271 50.9911020560249213)))",AJP-3180,Hex
"MultiPolygon (((-4.38656534782424234 50.95794361954733631, -4.38792203968657102 50.95634193324713834, -4.39079655444683237 50.95628312799453141, -4.39231457653688384 50.95782600063832746, -4.39095799594996983 50.95942773608292242, -4.38808328625391475 50.95948654910073117, -4.38656534782424234 50.95794361954733631)))",AKF-3191,Hex
"MultiPolygon (((-4.24614018137206273 50.73093286491332066, -4.24749543073159774 50.72933276384646462, -4.25035636180925636 50.72927755595106447, -4.25186223225221305 50.73082244542648311, -4.25050709894187317 50.73242259356091211, -4.24764597437362301 50.73247780741211699, -4.24614018137206273 50.73093286491332066)))",ALJ-3264,Hex
"MultiPolygon (((-4.38633652020586329 50.78481081394120622, -4.3876884129065683 50.7832091464873514, -4.39055232839980025 50.783150458133548, -4.39206454585943273 50.78469343243438061, -4.39071276382112696 50.78629514735574446, -4.38784865487007814 50.78635384079520776, -4.38633652020586329 50.78481081394120622)))",AKD-3246,Hex
"MultiPolygon (((-4.4106464345717713 50.92282181495967563, -4.41200126215097388 50.92121986267717659, -4.41487354970008816 50.92116049055483984, -4.41639120397498619 50.92270306518722833, -4.41503648775942192 50.92430506636291909, -4.41216400447217438 50.92436444404266638, -4.4106464345717713 50.92282181495967563)))",AJZ-3202,Hex
"MultiPolygon (((-4.34154752581941583 50.92108023641800685, -4.34290476217314847 50.91947904968545657, -4.34577714111346847 50.91942136437131694, -4.34729247697246013 50.92096485932702876, -4.34593535143480469 50.92256609531793998, -4.34306277921056605 50.92262378709504134, -4.34154752581941583 50.92108023641800685)))",AKP-3203,Hex
"MultiPolygon (((-4.39861042387050905 50.94038328929405424, -4.39996621199091198 50.93878146961642273, -4.40283961983485828 50.9387223812554879, -4.40435743828394521 50.94026510342659719, -4.40300177211995436 50.94186696715593143, -4.40012817027647163 50.94192606193932704, -4.39861042387050905 50.94038328929405424)))",AKC-3196,Hex
