wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-4.06906826859548687 50.80661087484345728, -4.07043166195037909 50.80501277103694235, -4.07329750385445433 50.80496186841632777, -4.07480014631568288 50.80650906425817936, -4.07343686216393674 50.80810721754252057, -4.07057082736221432 50.80815812553395006, -4.06906826859548687 50.80661087484345728)))",AMZ-3241,Hex
"MultiPolygon (((-4.0861861227360281 50.61113736851238087, -4.0875435319933926 50.60953905395324881, -4.09039747923115726 50.60948786559433188, -4.09189420579950802 50.61103498623014474, -4.09053690264340108 50.61263334993828522, -4.08768276533503716 50.61268454383346693, -4.0861861227360281 50.61113736851238087)))",AMT-3303,Hex
"MultiPolygon (((-3.98388634686842025 50.82697737550876127, -3.98525325580880496 50.825380232384056, -3.98812049476728747 50.82533140766553714, -3.98962102239722594 50.82687971987986231, -3.98825422377590355 50.82847691385131128, -3.98538679065338997 50.82852574404908808, -3.98388634686842025 50.82697737550876127)))",ANT-3235,Hex
"MultiPolygon (((-4.06961385372392126 50.6240249173958432, -4.07097219224050111 50.62242678741430524, -4.07382694682184532 50.62237599097583285, -4.07532355534410318 50.62392331831119208, -4.07396532413454793 50.62552149461324547, -4.07111037864298808 50.62557229699843475, -4.06961385372392126 50.6240249173958432)))",AMX-3299,Hex
"MultiPolygon (((-4.25831806509899469 50.62681432495085687, -4.25967001570351744 50.62521409094638614, -4.2625245938985179 50.62515866210493698, -4.26402741492380333 50.62670346148875922, -4.2626755680630195 50.62830374234970776, -4.2598208015520882 50.62835917715643319, -4.25831806509899469 50.62681432495085687)))",ALF-3297,Hex
"MultiPolygon (((-3.79392297219481467 50.69942256911180323, -3.79529282877359853 50.69782760267528232, -3.79815261754155253 50.69778351588195164, -3.79964273947425646 50.69933439218473126, -3.79827298895035792 50.70092940692085648, -3.79541300921384117 50.70097349782499663, -3.79392297219481467 50.69942256911180323)))",APK-3276,Hex
"MultiPolygon (((-3.98553184282146411 50.56095576027491489, -3.98689129558600674 50.55935858862022059, -3.98974239958863031 50.55930989893858651, -3.99123423688683721 50.56085837347143297, -3.98987489106924498 50.56245559181854077, -3.98702359952685415 50.56250428922452045, -3.98553184282146411 50.56095576027491489)))",ANQ-3319,Hex
"MultiPolygon (((-4.09574623728351117 50.53698765738099752, -4.09710126664870611 50.5353892599431731, -4.09995073008034172 50.53533787898459195, -4.10144535783329189 50.53688489197786282, -4.10009043046035604 50.53848333795696135, -4.09724077764797023 50.53853472400651725, -4.09574623728351117 50.53698765738099752)))",AMQ-3326,Hex
"MultiPolygon (((-4.11078014305271644 50.77753291792459578, -4.11214130884635853 50.77593434539728889, -4.11500532477791037 50.77588243668019174, -4.11650836719435986 50.77742909568357987, -4.11514731709446302 50.7790277185684289, -4.11228311006473302 50.7790796321742306, -4.11078014305271644 50.77753291792459578)))",AMP-3250,Hex
"MultiPolygon (((-4.29349193805433682 50.64501495114198804, -4.29484316485210194 50.64341433056487318, -4.29769876595010469 50.64335802653767615, -4.29920332904483793 50.64490233628406912, -4.29785220957301561 50.64650300449345366, -4.29499641825605227 50.64655931535236277, -4.29349193805433682 50.64501495114198804)))",AKX-3291,Hex
"MultiPolygon (((-3.98582063803411968 50.66955417024692565, -3.98718309992688535 50.66795699932495012, -3.99004076667914864 50.66790822377155479, -3.99153616453102655 50.66945661248552568, -3.99017381037361973 50.67105383298017074, -3.98731595203176648 50.67110261516444325, -3.98582063803411968 50.66955417024692565)))",ANR-3285,Hex
"MultiPolygon (((-3.97197779925208394 50.85078774529453227, -3.97334583524448304 50.84919071291315618, -3.97621457238643927 50.84914215595001252, -3.9777154666827621 50.85069062591511369, -3.97634753804655672 50.85228770444534518, -3.97347860796014718 50.85233626650612138, -3.97197779925208394 50.85078774529453227)))",ANW-3227,Hex
