GRID_ID,WKT
Route 6 - Boniface Trail,"MultiLineString ((-3.54747365381811708 50.74674340571780107, -3.54746737082785435 50.7467652116873964, -3.54747929394643835 50.74676999983173431, -3.54755528135527953 50.74680037837789826, -3.54768933515825324 50.74687648222136716, -3.5477175039293658 50.74689247636768386, -3.54774539485069651 50.74692583155988501, -3.5478369005479915 50.74703559596865432, -3.54804795220529545 50.74728865756836171, -3.54811197161583314 50.74736549013155695, -3.54811658398618057 50.74737102563261004, -3.54811973975762962 50.74737481278749129))"
Stoke Hill,Point (-3.51639359 50.73447908)
Rifford Road Cycle Path (E12),Point (-3.49444406 50.71687291)
Exeter Cycle Parking,Point (-3.53068163 50.72397628)
Sport England Newtown Exeter Ped/Cycle Infrastructure,Point (-3.51754633 50.72744354)
Exeter LCWIP,Point (-3.53068163 50.72397628)
Dryden Road,Point (-3.50506904 50.71395434)
Heavitree Road Co-Op,Point (-3.50487784 50.72138386)
Heavitree Road Police Station,Point (-3.51710884 50.72371655)
J29 Bus Lane,Point (-3.46246323 50.72887311)
Sowton P&R,Point (-3.47176901 50.71599248)
Shared Mobility,Point (-3.5275 50.7236)
