GRID_ID,WKT
SCHEME_Cullompton Town Centre Relief Road,Point (-3.38628995 50.85861017)
SCHEME_E12 Signage,Point (-3.52014077 50.70614132)
SCHEME_School Crossings Package,Point (-3.85 50.75)
SCHEME_Road Safety School Gate Improvement Pot,Point (-3.85 50.75)
SCHEME_Countywide and School Cycle Parking,Point (-3.85 50.75)
SCHEME_20 MPH Schemes,Point (-3.85 50.75)
SCHEME_Countywide LCWIP,Point (-3.85 50.75)
SCHEME_Decarbonisation of Buses (part-funded),Point (-3.85 50.75)
SCHEME_Additional / Replacement Bus Shelters,Point (-3.85 50.75)
SCHEME_Lighting and CCTV at Key Interchanges,Point (-3.85 50.75)
SCHEME_Bus Stop Infrastructure,Point (-3.85 50.75)
SCHEME_Decarbonisation of Buses (fully-funded),Point (-3.85 50.75)
SCHEME_Multi-Operator Ticketing Set-Up,Point (-3.85 50.75)
SCHEME_Real Time Info,Point (-3.85 50.75)
SCHEME_Electric Infrastructure,Point (-3.85 50.75)
SCHEME_Pinch Point Schemes,Point (-3.85 50.75)
