GRID_ID,WKT
Route 1 - Tarka Trail (Knowle to Willingcott),"MultiLineString ((-4.16698738629087639 51.16678918144707922, -4.16644349745904385 51.16696782592850212, -4.16545932623982118 51.16685414635699658, -4.16382767616088767 51.16656182386257967, -4.16222193292933706 51.1659122065349905, -4.16172985200681644 51.16563611586619231, -4.16038310535871148 51.16484031543618727, -4.1592694527419658 51.16404450043334862, -4.15833708783397871 51.16360598468875764, -4.1563428600279142 51.1628263910251917, -4.1544781231306942 51.16232289703552993, -4.15223823556616622 51.16193090591163894),(-4.13601552606558531 51.15726873859115642, -4.13577250183037837 51.15685718155878448, -4.13577251836403992 51.15609371211153444, -4.13610922583094798 51.15530586307922079, -4.13710637010049087 51.15425808393015927, -4.13911358785466899 51.15310468684918987, -4.14013661835914082 51.15265794080567474, -4.14189778537043019 51.151861910157713, -4.14312800907930789 51.15145576676982841, -4.1442157850899406 51.15113084953090805, -4.14567910600591638 51.15054599309874561, -4.14659854120923654 51.14973368452868385, -4.14693523875237435 51.14920567653705774, -4.14711656907798787 51.14658179383361869, -4.14771226392708403 51.14570442497387859, -4.14859284908469839 51.14494077540475558, -4.14999141481610234 51.14451832520779107, -4.15151947692351886 51.14406337420882664, -4.15221876016949309 51.14377090308146023, -4.15233052288125037 51.14339028677255783, -4.15180293893051289 51.14237124718848548, -4.15178097633162491 51.14232938152844099, -4.15178111500036362 51.14232928903980735, -4.15169236688666388 51.1421578857126633, -4.15145908872347835 51.14196216267103523, -4.15143721690750755 51.14194376868123726, -4.15120364267954223 51.14174778078055539, -4.15108339510815405 51.14172060619185345, -4.15168784809201874 51.14083798097706079, -4.15170079805053405 51.14011487935313482, -4.15161015117817911 51.13914801802791743, -4.15162735487830936 51.13898826619383442, -4.15167489955138969 51.13854676618767314, -4.15171374886352229 51.13757987187668164, -4.15170079938781367 51.13727111147227333, -4.15328065297583038 51.13748236706965855, -4.15326770355034647 51.13716548068786238, -4.15359144452530327 51.13645857206388712, -4.15359144476065989 51.13609292561145736, -4.15369504211904506 51.13550788514643841, -4.15374001584193486 51.13513475564748489, -4.15381158936447026 51.13454092707386422, -4.15381357938297313 51.13448098967875666, -4.15387667675878358 51.13399008242481614, -4.15387782953605367 51.13398106761034256, -4.15380758231100167 51.13396467896573938, -4.15379864018538836 51.13386648225111486, -4.15427130108373976 51.13345612312504329, -4.15482813450365462 51.13310670549947901, -4.15558568696666697 51.13269633947752624, -4.15601302436695885 51.13257038461404846, -4.15708136815909768 51.13248912237640553, -4.15775474861975525 51.13252975220465402, -4.15772237421571678 51.13230222066688668, -4.15752165483052938 51.13214782381689361, -4.15719143922780798 51.1319934265835272, -4.1570230936654049 51.13166837752522298, -4.15717201391867519 51.13139614687803913, -4.1575475522594596 51.13094107105173691, -4.15767057321431466 51.13064852006375105, -4.15778064413070947 51.13008779228630374, -4.1578712907555353 51.12962457725296872, -4.15791661369995147 51.1291572942679835, -4.15822740369862309 51.12862092861839614, -4.15802020917918735 51.12821458724266677, -4.15803401642813153 51.12778130927879516, -4.15804610714365985 51.12740189338597929, -4.15827919860911699 51.12637787861880412, -4.15752811969378211 51.12554889832428273, -4.15737271991330015 51.12419973830735387, -4.15768350776988438 51.12332194998416668),(-4.15223823556618399 51.16193090591162473, -4.15113712993824269 51.16173818869533818, -4.14950548273123321 51.16147831568546422, -4.14657887881265363 51.16094232245186646, -4.14518032544268777 51.16064995964421058, -4.14392421756435869 51.1603738374388044, -4.14036956657314459 51.1593586667631115, -4.13819404469601348 51.15861960759755078, -4.13665305493799185 51.15786429110970346, -4.13603148495455653 51.15729576439014892, -4.13601552606559064 51.15726873859114221))"
SCHEME_Tarka Trail Phase 4a - CSR Routes,Point (-4.05 51.08)
SCHEME_Tarka Trail Phase 4a - safer roads fund,Point (-4.05 51.08)
SCHEME_Tarka Trail Phase 4bc,Point (-4.05 51.08)
SCHEME_Tarka Trail Phase 6,Point (-4.05 51.08)
SCHEME_A361 North Devon Link Road,Point (-3.96317938 51.05606375)
SCHEME_Landkey to Newport,Point (-4.00962947 51.06647762)
SCHEME_Longbridge Junction Improvements,Point (-4.0613682 51.076641)
"SCHEME_Barnstaple, Bideford, Northam LCWIP",Point (-4.05924574 51.07824551)
SCHEME_Braunton Road Bus Lane and Bus Gate,Point (-4.07669196 51.08700353)
SCHEME_Barnstaple Train Station Forecourt Improvements,Point (-4.0633757 51.074022)
SCHEME_Ilfracombe Mini LCWIP,Point (-4.12720563 51.205524)
"Shirwell Cross","Point (-4.013073093501819 51.126019853777095)"
"Shirwell Cross","Point (-4.013073093501819 51.126019853777095)"
"Shirwell Cross","Point (-4.013073093501819 51.126019853777095)"
