GRID_ID,WKT
Route 5 - Ashburton to Buckfastleigh,"MultiLineString ((-3.77561424494436704 50.48138201485771503, -3.77680345880543333 50.48150399374917185, -3.77684758507317531 50.48150851998559574, -3.77692222672795097 50.48149244081630371, -3.77692293945214486 50.481492371486965, -3.7772021761824579 50.48143216316842086, -3.77753790531591171 50.48135984849507452, -3.77813958152678397 50.48123021603794314, -3.77815301585403285 50.48122730839658345, -3.77825208131290902 50.48115538197315999, -3.77827389732663654 50.48113948868987677, -3.77837311447080326 50.48106737438017433, -3.77859333519837293 50.48090732425340832, -3.7789078026950258 50.4807080635876062, -3.77904892416540372 50.48061857285629372, -3.77907384566319671 50.48060281183047238, -3.77908678766059669 50.48059460916238805, -3.77908981943745692 50.48059276397827944, -3.77922212667260515 50.48050880429921961, -3.7794055919390539 50.48056356128227407, -3.77946360962984151 50.48058084218887842, -3.77958463650456533 50.48061694651775611, -3.77960145885906851 50.48062199577507414, -3.77962896833361794 50.48063011946592127, -3.77971221806281976 50.48065492917292119, -3.77981186427600591 50.4806847046178504, -3.77984350982979844 50.48069411411147911, -3.77988499391922206 50.48070652104743061, -3.77998093315146155 50.48073509778379986, -3.78091465517519465 50.48045826751099696, -3.78092733966514727 50.48045447571181654, -3.78092964515596952 50.48045776063948864, -3.78092737766654752 50.48045446804233904, -3.78116108960336783 50.48040700038458084, -3.78139498587534284 50.48035953435498868, -3.78209532533309734 50.48014779137194807, -3.78220975846331653 50.48021844147870496, -3.78225226850396057 50.48021689094655784, -3.78245369640602691 50.48020948831587162, -3.78266340520531141 50.48039605185176271, -3.78266390955219123 50.48048067891097901, -3.78266499932239464 50.48066333304070241),(-3.77306785792436417 50.48153099610053829, -3.77316749740346591 50.48158687345448925, -3.77316814019266067 50.48158722983833258, -3.77451889841536214 50.4817564392607423, -3.77455264053569994 50.48176066584600363, -3.77456320407958223 50.48175689807100497, -3.77560184851203973 50.48138643297379957, -3.77561424494436704 50.48138201485771503),(-3.77561424494436704 50.48138201485771503, -3.77588048680902633 50.48141915471759944, -3.77597570893484047 50.48143245174505722, -3.77633718315823463 50.48148287744727725, -3.77562797802495664 50.48138388383391373, -3.77561424494436704 50.48138201485771503),(-3.77561424494436704 50.48138201485771503, -3.775535028604045 50.48130983411394368),(-3.775535028604045 50.48130983411394368, -3.77560606346872962 50.48137459451611875, -3.77561424494436704 50.48138201485771503),(-3.77453583524630343 50.48100740743581838, -3.77454928441203919 50.48100485867289677, -3.77454933467336362 50.48100486422803357, -3.7745755689218714 50.481010670303057, -3.77467516337839859 50.48103273056239715, -3.77497525122480582 50.48109919876105778, -3.77505516698691634 50.4811169023553532, -3.77540934964816399 50.48119536529509332, -3.77544414014451757 50.48122703899840502, -3.775535028604045 50.48130983411394368),(-3.77453583524630343 50.48100740743581838, -3.77433585124774362 50.48104524850437258, -3.77433582630947528 50.48104526834349315),(-3.77433582630947528 50.48104526834349315, -3.77434940386594109 50.48104272281506155, -3.77453583524630343 50.48100740743581838),(-3.77306785792436417 50.48153099610053829, -3.77299434355339791 50.48148978412883991, -3.77433582630947528 50.48104526834349315),(-3.76553366901799169 50.50875020171912411, -3.76553372993984681 50.50875017262819711, -3.76554503675768037 50.50874490267463557, -3.76558379077177863 50.50872675498404618, -3.76561989829571031 50.5087098651350388, -3.76612577328657139 50.50847315997454956, -3.76711256115464721 50.5081350280922905, -3.76761858149212658 50.50779945592966413, -3.76811994670615613 50.50719445561703225, -3.76842471938903278 50.50682666494185469, -3.76861102088617717 50.50660183301523887, -3.7686133115272491 50.50659906512405684, -3.76864007351282826 50.50656676267809786, -3.76872506273331309 50.50646411400342828, -3.76904867129984344 50.50607361927919214, -3.76924185725085126 50.50577477665354564, -3.76964475234353324 50.50515147577142727, -3.77024082860397192 50.50422924487474319, -3.77046970509748158 50.5035349293133109, -3.77053352972371547 50.50076405291419945, -3.76987328977521852 50.49840173220781736, -3.76986211011851013 50.49827302502437476, -3.76979930519156747 50.49754992235377671, -3.76969931761768162 50.49639852544407148, -3.76966785736247934 50.49603671721256148, -3.76964248226518839 50.49574433487433822, -3.76964225883873372 50.49574268831771207, -3.76952870414329677 50.49485763077870359, -3.76945513234767349 50.49418106096693037, -3.76947470883918179 50.49370594658500977, -3.76976336721050487 50.49203994709586851, -3.7700239720205726 50.49062995004569387, -3.77044290477300192 50.489500369546505, -3.77080624185110969 50.4885907133558689, -3.77087478793291542 50.48789397285673175, -3.77087848302743867 50.48785631697407439, -3.77080810116739995 50.48742530996212707, -3.77061031182031048 50.4872366552160301, -3.77099137491872405 50.48694286880922277, -3.77116773433174624 50.48680690458995457, -3.77117882331769216 50.48679835546072781, -3.77118471093112584 50.48679381353388607, -3.77120034432866769 50.48678175317993322, -3.77147562230206734 50.48656952431333877, -3.77152714318973459 50.48652979518911366, -3.77152713885693425 50.48652937200445479, -3.77149140146695716 50.48605142391409828, -3.77149135288287862 50.48605094682903882, -3.77106381676400515 50.48550950894152578, -3.77101901711549381 50.48545274229152113, -3.77091409664053412 50.48517293489105384, -3.77087057010937166 50.48505683715233516, -3.77084182958349068 50.4848876453749682, -3.77081310205723064 50.48471854281915938, -3.77068927343319205 50.48398119898143932, -3.77071777546371489 50.48415074070612008, -3.77068931265911189 50.48398119446350307, -3.77070388876650631 50.48398376473693361, -3.7707300891389739 50.48398829733663007, -3.77072841351262644 50.48397880897966417, -3.77070367818215724 50.48380825516581893, -3.77067622558746418 50.48363963128977616, -3.77065063458283678 50.48348347735731778, -3.77062605242830795 50.48331391035585369, -3.77060232509340088 50.48317031626842066, -3.77057876768497824 50.48303130480913836, -3.77057027251844401 50.48295320735211789, -3.77055060777566275 50.48284371934541781, -3.77054837525463515 50.48282127420600318, -3.77054753606083137 50.48279880786390095, -3.77054825804429328 50.48278081394715144, -3.77055049169215684 50.48276279702702851, -3.77055359890423736 50.48273397651576033, -3.77055867008018097 50.48272041169886393, -3.77056525294985789 50.4827068247772246, -3.7705732626814954 50.48269411465901868, -3.77058127240888297 50.4826814045403367, -3.77060133894336014 50.48265232594859242, -3.77060531891255346 50.48264687068361667, -3.77062578822461125 50.48262857535691239, -3.77064768445259046 50.48261115862774773, -3.77069673005573058 50.48256446465800451, -3.77077729960982522 50.48249670056893734, -3.77086077111813589 50.48242889315900328, -3.77090473242748248 50.48239855142561083, -3.77095008702612189 50.48236818936921821, -3.77103668181470297 50.48230932486565337, -3.77114142548394149 50.48224469939636094, -3.77123656657470896 50.48218750348892314, -3.77128767946734955 50.48215885158062832, -3.77134164746522682 50.48213195411803156, -3.77139568399522229 50.48210685442018075, -3.77145114592177855 50.48208263151344966, -3.77155365864552605 50.48203611252025524, -3.77167732774561415 50.48198657395094102, -3.77221421298204396 50.48179218264665735, -3.77228801169517025 50.48177037740671835, -3.7724344817183515 50.48172768427838264, -3.77261154656203201 50.48167643282797457, -3.77272869873071359 50.48164227802382698, -3.77281173696668004 50.48161889352201115, -3.77306785792436417 50.48153099610053829),(-3.76553366901799169 50.50875020171912411, -3.76546726212427041 50.508784760130645),(-3.76388389323414962 50.51020355338694401, -3.76389789579084555 50.51020459974395038, -3.76438968033015309 50.51024139488065146, -3.76438981975447184 50.51024140109888805, -3.76451641046383001 50.51025089755661668, -3.76489674854171241 50.50999572724870035, -3.76553366901799169 50.50875020171912411),(-3.76287541928500691 50.51046868589977379, -3.76386796716084016 50.51020766216871749, -3.76388389323414962 50.51020355338694401),(-3.76388389323414962 50.51020355338694401, -3.76287541928500691 50.51046868589977379),(-3.75819640870289717 50.51412097383473565, -3.75835712458585069 50.51379492488678125, -3.75835434302334281 50.51377949360531261, -3.75825741622310039 50.51324761101376026, -3.75824412023009469 50.51317464715384631, -3.7581863974584846 50.51288200638511228, -3.75817207609672321 50.51278122036051599, -3.7581707555054944 50.51277224633211915, -3.75816522362980576 50.51275254359286748, -3.75817078001121008 50.51277219329492141, -3.75817962619320145 50.51275304349928774, -3.75821878860657543 50.51266823082879398, -3.75829974290136315 50.51249292354069809, -3.75832585116351314 50.51243631676081947, -3.75853732366815763 50.51224739616203152, -3.75872066548309602 50.51210243109198217, -3.75890400951131598 50.51195755562515899, -3.75965088066178144 50.51141508178310602, -3.76008331845672483 50.51118315383750002, -3.76039938757554104 50.51113323306304892, -3.7607729416853708 50.51107423879717118, -3.76090909976626753 50.51105275184172427, -3.76126512540403946 50.51099645878365862, -3.76164597103144738 50.51093628129887492, -3.76287541928500691 50.51046868589977379),(-3.75279581425644837 50.51829340517956268, -3.75267214712915953 50.51819570406678395, -3.75273703186388552 50.51768117106391998, -3.75274075596871848 50.51751886366560029, -3.75272886972855169 50.51712924390073312, -3.7527205846264895 50.5168597297053239, -3.75263424884840324 50.51675292231072945, -3.75281315615628719 50.51669663211172434, -3.75299205105889921 50.51664032617773614, -3.75445109903886287 50.51611180297712878, -3.75446348670305552 50.51610729915240228, -3.75447588653894337 50.51610306759352653, -3.75456057852059555 50.51607417535124966, -3.75465767271082695 50.51604105446196513, -3.75496887703914473 50.51591241858525905, -3.75528009412508679 50.51578379611505198, -3.7554649424071842 50.51569421117426373, -3.75564980271693294 50.51560463662022471, -3.75583259777589307 50.51554323860649731, -3.75601525470472009 50.51548193232398631, -3.75602003184239486 50.51548426737191733, -3.75601529935056222 50.51548192163226503, -3.75614471106417902 50.51542406603530821, -3.75647746727698451 50.51527538125102978, -3.75651859575340596 50.51525700316470591, -3.75660248780642148 50.51521953140762378, -3.75660251514099341 50.51521951220521345, -3.75661240954757059 50.51521308882321648, -3.75688402302406477 50.51503674632535734, -3.75698527049181008 50.5149710066070341, -3.75698529871519105 50.51497098835575628, -3.75783981866715244 50.51445462129724007, -3.75819640870289717 50.51412097383473565),(-3.75819640870289717 50.51412097383473565, -3.75845816786189024 50.51387605226251765, -3.75821544161628562 50.51411239326695579, -3.75818700604884448 50.51414004912650313, -3.75819640870289717 50.51412097383473565))"
Route 7 - Teign Estuary Trail,"MultiLineString ((-3.52674173949674685 50.54737970610330677, -3.52777780995281898 50.54737971078235148, -3.52990175502432191 50.54747847558569163, -3.53228471612015538 50.54733035339052094, -3.53521161178227628 50.54680366214239484, -3.53834572254572288 50.54616172988751543, -3.54167086157868027 50.54563500630775508, -3.54316021388390867 50.54551155220680414, -3.54486973162412244 50.54544570693715144, -3.54594465572525053 50.54542101353870009, -3.54914676404677731 50.5454045433450645, -3.55253990045304668 50.54553621174252243, -3.55377023747899168 50.54561027695691422, -3.55592008902750445 50.54575840840905698, -3.55759075136691871 50.54645794487594657, -3.55838075754800665 50.54638387331073091, -3.5591060083733721 50.54640033046347725, -3.56027158704719904 50.54669660078376126, -3.56130766430778412 50.54630156400882868, -3.56239554680061943 50.54584068366825278, -3.56318555718554597 50.54551148039370645, -3.56348342539965435 50.54572545971288378, -3.5640403132273768 50.54584067746845477, -3.56428638196093628 50.54575014665198296, -3.56427343713636358 50.54533041494851631, -3.564713767277218 50.54541271385802759, -3.56537426695732407 50.54523987968988763, -3.56577574480715409 50.54528925861001909, -3.56633263234794029 50.54542093756328569, -3.56692837626534009 50.54533040444401593, -3.56721329923722408 50.54517403154162025, -3.5676665918192132 50.54458968840489064, -3.56775725716447756 50.54408764249961905, -3.56761480174524026 50.5438078121708827, -3.5682753055815617 50.54361851046025578, -3.57179799442149148 50.54305882149810003, -3.57333916929938145 50.54292300952821648, -3.57414860301751292 50.54316991993032104, -3.57454360998112275 50.54313699581114605, -3.57510698139795924 50.5430546877441671, -3.5754631341164238 50.54307526200048528, -3.57614306435927753 50.54301352941153169, -3.57662225560431812 50.54287360781057004, -3.57688774949520116 50.54296414213008859, -3.57745112668336862 50.54265137804297581, -3.57804687946298783 50.54242914845234225, -3.57861672768508576 50.54231391631365256, -3.57869443817920763 50.5421657638430375, -3.5789146128761562 50.54195999459915356, -3.57929667161595733 50.54186533882869981, -3.58013849957326658 50.54155256443697652, -3.58092852210997092 50.54127682725749793, -3.58237257305010104 50.54096404593176572, -3.58299422658999456 50.5408488097582449, -3.58277407617403298 50.54035495315605431),(-3.54811716797851151 50.54545804165736911, -3.54830495541906021 50.54583661960199947, -3.54841503731726515 50.54631395311292152, -3.54847979133618008 50.54660199688218825, -3.54842151156230301 50.54716984995921081, -3.54848626568392378 50.54736324741881504, -3.54824019829870263 50.54789817345364611, -3.5483243785897387 50.54819032228429876, -3.54825314829235738 50.54857299376590873, -3.54791642520561723 50.54900503894425157, -3.54761855491795197 50.54939181879414178, -3.5474178163149821 50.54965927103341272),(-3.53139402639790267 50.54817347123039184, -3.53310316386350065 50.54864563704077796, -3.53397159294296515 50.54871694329965237, -3.53572276195620061 50.54865689077310265, -3.5370602222613714 50.54853652781717699, -3.53706529426990635 50.54854491493932755, -3.53707926294572461 50.5485680148387857, -3.53708626108609936 50.54856684458410854),(-3.53139402639790267 50.54817347123039184, -3.5263110572434444 50.54741819416091175),(-3.5263110572434444 50.54741819416091175, -3.52955756564999179 50.54790063493648233, -3.53139402639790267 50.54817347123039184),(-3.52201486648147055 50.54665059146047668, -3.52253838919867723 50.54677263166757228, -3.52618161401022823 50.54739616276488334, -3.5263110572434444 50.54741819416091175),(-3.5263110572434444 50.54741819416091175, -3.52505415252880328 50.54723139061773196, -3.52383125024441757 50.54707409160544529, -3.52253797437787686 50.54677256066441515, -3.52201486648147055 50.54665059146047668),(-3.51642757617895541 50.54602196600785646, -3.51655017814643323 50.54602909448868786, -3.51674406894957459 50.54603214891954366, -3.51693781881039547 50.54603520161938945, -3.51774907184465935 50.54611268709352601, -3.51830306704993578 50.54620503275433663, -3.51965061016596259 50.54642964696198959, -3.52112408061635973 50.54651878213203986, -3.52201486648147055 50.54665059146047668),(-3.47768733239976768 50.56148547589100417, -3.47788298902474358 50.56124877356806024, -3.47832216049337051 50.56100154447715767, -3.47839263372625496 50.56094782169460444, -3.48030936585734008 50.56025673289367006, -3.48149330485195874 50.55990574557899464, -3.48167924939128115 50.55984249136246689, -3.48179553864971369 50.55981614340743135, -3.48225199910597905 50.55968081607746711, -3.48259739766516718 50.5596344601900114, -3.4840910227975832 50.55943398812955536, -3.4841494577836829 50.55942116421130095, -3.4843046804609239 50.55940028373579054, -3.48459992021941245 50.55932230701198193, -3.48569845262180111 50.55903217248795301, -3.48589484485904988 50.55893637479871927, -3.48652555793023344 50.55861156187734196, -3.48694101543300894 50.55835444216948105, -3.48697997878441646 50.5583258791778789, -3.48720321190811022 50.55816223198809212, -3.487194512423343 50.55815496841898948, -3.48704852572796931 50.55803395466710271, -3.48706974962103544 50.55795305716963384, -3.48701934929572666 50.55760083037375097, -3.48702870198517889 50.55740819938358754, -3.48696058231188655 50.55722344842703109, -3.48691434614470852 50.55694927845240727, -3.48745828925771351 50.5564720678084214, -3.48743239230637059 50.55583029015970453, -3.48743240429867907 50.5542669493762773, -3.48779503160229032 50.55410238527316835, -3.48795044921310504 50.55324663707198596, -3.48836488279866419 50.55272001558456196, -3.48852029694592858 50.55230858794204352, -3.48909014047195498 50.55191361447466392, -3.48932326110515012 50.55135406196544778, -3.48965998937613131 50.55074512942400133, -3.48994491237825022 50.55003743966879881, -3.49041114784597406 50.54916515592371695, -3.49077377499604768 50.54862202785021452, -3.49140413306967412 50.54785909354804829, -3.49162486086950929 50.54759193598300016, -3.49223030445378102 50.54701792688443618),(-3.47768733239976768 50.56148547589100417, -3.47735655905905405 50.56173762016118189, -3.47714933734619258 50.56272484530313704, -3.47684858744262559 50.56379147582336486),(-3.47688989671802418 50.56380653136262282, -3.47737962779442933 50.56185772671301493, -3.47768733239976768 50.56148547589100417),(-3.47688989671802418 50.56380653136262282, -3.47683877944880493 50.56397805584597904, -3.47682450446925229 50.56397760742645886, -3.47678989497633717 50.56397647297747255, -3.47683850799520622 50.56382722247347772, -3.47684858744262559 50.56379147582336486),(-3.47279777432961057 50.57194618648999551, -3.4728037479252114 50.57192387049188653, -3.4729708743630221 50.57129951566788861, -3.47311371835810467 50.57097632740352111, -3.47311886000069014 50.57096841762958661, -3.47324485858209187 50.57077458368753042, -3.47360074254032147 50.57022708903357255, -3.47367792163397615 50.57011722156921962, -3.47411507636740513 50.56945362862421689, -3.4743372972502109 50.56917855191284161, -3.47478848436190324 50.56862003771177427, -3.47570788602396741 50.56744840744333658, -3.47621516250971663 50.56616238516541273, -3.47637291405695992 50.5655306620725753, -3.47652132543940873 50.56511526004117485, -3.47668591026452889 50.56452568034368511, -3.47688989671802418 50.56380653136262282),(-3.47684858744262559 50.56379147582336486, -3.47687761525934125 50.56380210052913782, -3.47688989671802418 50.56380653136262282))"
A382 Widening Phase 2 MRN,Point (-3.62745475 50.54441069)
A382 Live Labs Carbon Negative Project,Point (-3.6418176 50.552298)
Teign Estuary Trail Phase 3 - Passage House Inn to Bishopsteignton,Point (-3.47610696 50.56683349)
Teign Estuary Trail Phase 1 - Bishopsteignton to Teignmouth A381,Point (-3.52875491 50.54782142)
Ogwell to Newton Abbot cycle route Phase 2abc,Point (-3.62086403 50.52443461)
"Indio Road Vehicle and Access Lane Modal Filter, Bovey Tracey",Point (-3.67692556 50.58986128)
Ogwell to Newton Abbot cycle route Phase 2d,Point (-3.620757 50.523561)
Teignbridge LCWIP,Point (-3.6102604 50.52907191)
