Scheme Name,wkt_geometry
Cullompton Town Centre Relief Road,"POLYGON((-3.388013 50.860879, -3.387353 50.86094, -3.38712 50.859954, -3.386368 50.858513, -3.385384 50.856895, -3.385341 50.8547, -3.386128 50.851488, -3.386986 50.851041, -3.38851 50.851163, -3.390377 50.851583, -3.389754 50.852328, -3.388231 50.852071, -3.387094 50.851949, -3.386149 50.854794, -3.386064 50.856527, -3.387823 50.859887, -3.388013 50.860879))"
Deep Lane Pedestrian / Cycle Bridge,"POLYGON((-4.060156 51.071707, -4.059706 51.071093, -4.060746 51.07085, -4.061165 51.071491, -4.060156 51.071707))"
A382 Widening Phase 2 MRN,"POLYGON((-3.634272 50.547725, -3.632078 50.546293, -3.631588 50.545958, -3.629989 50.545157, -3.629002 50.544796, -3.627945 50.544499, -3.627484 50.544612, -3.627006 50.544441, -3.625719 50.544319, -3.625102 50.544233, -3.623782 50.543968, -3.622752 50.543664, -3.622098 50.543419, -3.620408 50.542675, -3.619212 50.542246, -3.618386 50.541902, -3.618559 50.541779, -3.61933 50.54211, -3.620526 50.542536, -3.622205 50.543255, -3.623841 50.543797, -3.62471 50.543988, -3.625617 50.544158, -3.627098 50.54422, -3.627564 50.544025, -3.628052 50.544295, -3.629141 50.544649, -3.630193 50.545038, -3.631979 50.545931, -3.632365 50.546217, -3.634018 50.547278, -3.634517 50.547618, -3.634272 50.547725))"
A382 Live Labs Carbon Negative Project,"POLYGON((-3.634272 50.547725, -3.632078 50.546293, -3.631588 50.545958, -3.629989 50.545157, -3.629002 50.544796, -3.627945 50.544499, -3.627484 50.544612, -3.627006 50.544441, -3.625719 50.544319, -3.625102 50.544233, -3.623782 50.543968, -3.622752 50.543664, -3.622098 50.543419, -3.620408 50.542675, -3.619212 50.542246, -3.618386 50.541902, -3.618559 50.541779, -3.61933 50.54211, -3.620526 50.542536, -3.622205 50.543255, -3.623841 50.543797, -3.62471 50.543988, -3.625617 50.544158, -3.627098 50.54422, -3.627564 50.544025, -3.628052 50.544295, -3.629141 50.544649, -3.630193 50.545038, -3.631979 50.545931, -3.632365 50.546217, -3.634018 50.547278, -3.634517 50.547618, -3.636003 50.54889, -3.636796 50.549599, -3.638057 50.550458, -3.641372 50.55206, -3.64229 50.552704, -3.642291 50.552704, -3.643069 50.553369, -3.643427 50.55357, -3.644586 50.554507, -3.645691 50.555424, -3.645966 50.555745, -3.646932 50.558189, -3.648748 50.559987, -3.650014 50.561282, -3.652031 50.563231, -3.65339 50.564283, -3.652976 50.564526, -3.651731 50.563477, -3.649693 50.561514, -3.646495 50.558379, -3.645658 50.555748, -3.642654 50.553375, -3.641024 50.552162, -3.637998 50.550785, -3.634272 50.547725))"
Teign Estuary Trail Phase 3 - Passage House Inn to Bishopsteignton,"POLYGON((-3.583474 50.541458, -3.583006 50.540832, -3.579047 50.541862, -3.575975 50.542624, -3.572448 50.54298, -3.567381 50.543954, -3.562446 50.545331, -3.557167 50.545808, -3.548627 50.545304, -3.545802 50.545333, -3.538671 50.545986, -3.534336 50.547076, -3.532512 50.547867, -3.531418 50.548099, -3.532577 50.548454, -3.534572 50.547717, -3.538992 50.54664, -3.540301 50.546395, -3.543048 50.549967, -3.547382 50.549722, -3.548498 50.548058, -3.548691 50.546095, -3.557231 50.546586, -3.562467 50.546095, -3.567638 50.544677, -3.572574 50.543722, -3.576114 50.543272, -3.579633 50.542468, -3.583474 50.541458))"
Teign Estuary Trail Phase 1 - Bishopsteignton to Teignmouth A381,"POLYGON((-3.537369 50.54858, -3.536273 50.548702, -3.534433 50.548791, -3.533387 50.548754, -3.532705 50.548641, -3.53115 50.548184, -3.528269 50.54782, -3.526815 50.54752, -3.525018 50.547291, -3.523806 50.547141, -3.522851 50.54692, -3.521714 50.546647, -3.52063 50.546545, -3.51938 50.54648, -3.517535 50.546142, -3.516939 50.546078, -3.516301 50.546074, -3.516249 50.545959, -3.516939 50.545945, -3.517567 50.546013, -3.519391 50.546347, -3.520619 50.546405, -3.521735 50.546528, -3.523827 50.547001, -3.526311 50.547308, -3.526928 50.547404, -3.528333 50.54767, -3.531171 50.548021, -3.533049 50.548552, -3.534395 50.548614, -3.53623 50.548535, -3.537297 50.548392, -3.537369 50.54858))"
Tarka Trail Phase 4a - CSR Routes,"POLYGON((-4.15108 51.141677, -4.150463 51.141597, -4.151008 51.138904, -4.151571 51.138951, -4.15108 51.141677))"
Tarka Trail Phase 4a - safer roads fund,"POLYGON((-4.15108 51.141677, -4.150463 51.141597, -4.151008 51.138904, -4.151571 51.138951, -4.15108 51.141677))"
Tarka Trail Phase 4bc,"POLYGON((-4.151271 51.139018, -4.151309 51.138806, -4.151775 51.138893, -4.15226 51.139008, -4.152619 51.139109, -4.152802 51.139163, -4.153025 51.139048, -4.153123 51.138991, -4.153063 51.138803, -4.153301 51.138426, -4.153402 51.137847, -4.153272 51.137584, -4.15322 51.137245, -4.153467 51.136672, -4.153642 51.13576, -4.153612 51.135289, -4.153563 51.135107, -4.15376 51.134046, -4.154068 51.134033, -4.154023 51.134619, -4.153901 51.135178, -4.15403 51.135632, -4.153826 51.136699, -4.15359 51.137295, -4.153778 51.137837, -4.153628 51.138473, -4.153433 51.13885, -4.153572 51.139058, -4.153209 51.139254, -4.152941 51.139412, -4.152684 51.139402, -4.152086 51.139206, -4.151271 51.139018))"
Tarka Trail Phase 6,"POLYGON((-4.157742 51.1327, -4.157705 51.132613, -4.157673 51.132512, -4.157662 51.132434, -4.157445 51.132357, -4.15722 51.132222, -4.157125 51.132057, -4.157018 51.131882, -4.156997 51.13169, -4.157158 51.131492, -4.157415 51.131243, -4.15756 51.130994, -4.157592 51.130832, -4.157656 51.130573, -4.157667 51.130351, -4.157651 51.130159, -4.157683 51.12998, -4.157764 51.129772, -4.157866 51.12958, -4.157975 51.129358, -4.158071 51.129156, -4.158114 51.129015, -4.157943 51.128725, -4.157792 51.128462, -4.157599 51.128186, -4.157501 51.12797, -4.157431 51.127597, -4.157424 51.12734, -4.157399 51.127061, -4.157361 51.126519, -4.15734 51.126176, -4.157254 51.125008, -4.15727 51.124304, -4.157665 51.124297, -4.157746 51.126657, -4.157767 51.127681, -4.157896 51.12798, -4.158154 51.128381, -4.158347 51.128778, -4.158456 51.129065, -4.15823 51.129566, -4.158075 51.129852, -4.157994 51.13024, -4.158032 51.130458, -4.157876 51.130984, -4.15758 51.131448, -4.15734 51.131643, -4.157292 51.131862, -4.157462 51.132087, -4.157737 51.132249, -4.157876 51.13233, -4.157917 51.132437, -4.157971 51.132525, -4.157993 51.132575, -4.158036 51.132713, -4.157742 51.1327))"
E12 Signage,"POLYGON((-3.525571 50.703627, -3.525656 50.703817, -3.523253 50.704422, -3.520641 50.706131, -3.518264 50.706817, -3.51707 50.705666, -3.515711 50.706236, -3.515625 50.707778, -3.515153 50.708121, -3.508458 50.704748, -3.50805 50.705523, -3.506463 50.706406, -3.505325 50.706066, -3.504188 50.706963, -3.503466 50.706992, -3.50039 50.71051, -3.499703 50.712575, -3.4972 50.713677, -3.498137 50.714613, -3.496678 50.715238, -3.49509 50.716474, -3.492494 50.719857, -3.491979 50.720006, -3.491979 50.722601, -3.493116 50.72544, -3.494768 50.726527, -3.496335 50.726921, -3.500154 50.729203, -3.501012 50.73067, -3.503244 50.731321, -3.502192 50.73158, -3.502836 50.734798, -3.502393 50.734841, -3.501663 50.731391, -3.50215 50.731281, -3.500519 50.730887, -3.499689 50.729327, -3.496034 50.727192, -3.494382 50.726826, -3.492537 50.725658, -3.491364 50.722739, -3.491342 50.719872, -3.4922 50.719546, -3.494704 50.716121, -3.497279 50.714477, -3.49627 50.713635, -3.499217 50.712332, -3.499768 50.710292, -3.503015 50.706679, -3.504016 50.706596, -3.505032 50.705647, -3.506341 50.705986, -3.507621 50.705264, -3.508222 50.704232, -3.508208 50.704233, -3.515182 50.707631, -3.515074 50.706095, -3.51702 50.70521, -3.518572 50.706462, -3.52041 50.705822, -3.523071 50.704198, -3.525571 50.703627))"
Stoke Hill,"POLYGON((-3.515786 50.73452, -3.516172 50.734394, -3.516188 50.734075, -3.516505 50.734326, -3.516816 50.734133, -3.516789 50.734398, -3.517036 50.734584, -3.516601 50.734591, -3.516274 50.734802, -3.516204 50.734605, -3.515786 50.73452))"
Mosshayne to Cranbrook Active Travel Route,"POLYGON((-3.427606 50.744521, -3.427041 50.744081, -3.429151 50.742607, -3.435223 50.744059, -3.440351 50.741833, -3.445101 50.740965, -3.444579 50.739891, -3.445351 50.739769, -3.445973 50.741194, -3.441575 50.74205, -3.437734 50.743381, -3.435223 50.744671, -3.42943 50.743218, -3.427606 50.744521))"
Rifford Road Cycle Path (E12),"POLYGON((-3.498085 50.714641, -3.49723 50.714922, -3.496249 50.715455, -3.495106 50.716444, -3.49384 50.717884, -3.492751 50.719314, -3.492719 50.719765, -3.492499 50.719803, -3.492461 50.719504, -3.492579 50.719134, -3.493513 50.717799, -3.493515 50.717799, -3.49472 50.716383, -3.495932 50.715326, -3.497874 50.714402, -3.498085 50.714641))"
Safer Routes to School - Clyst Vale Footway,"POLYGON((-3.441389 50.758627, -3.441126 50.758539, -3.441373 50.758277, -3.441676 50.758365, -3.441389 50.758627))"
Exeter Cycle Parking,"POLYGON((-3.511877 50.761117, -3.460007 50.738845, -3.463097 50.712738, -3.479118 50.689512, -3.492165 50.684835, -3.504009 50.685488, -3.516483 50.679601, -3.523178 50.684278, -3.536625 50.689077, -3.545036 50.700603, -3.563519 50.706678, -3.565249 50.716247, -3.566108 50.724017, -3.569698 50.727355, -3.565807 50.729315, -3.566136 50.745282, -3.553491 50.745611, -3.53744 50.752915, -3.511877 50.761117))"
Sport England Newtown Exeter Ped/Cycle Infrastructure,"POLYGON((-3.520732 50.728782, -3.519402 50.729366, -3.518372 50.729576, -3.514112 50.730228, -3.513258 50.728402, -3.512707 50.725406, -3.511487 50.723662, -3.510861 50.722133, -3.523221 50.725169, -3.520689 50.727179, -3.520732 50.728782))"
Exeter LCWIP,"POLYGON((-3.511877 50.761117, -3.460007 50.738845, -3.463097 50.712738, -3.479118 50.689512, -3.492165 50.684835, -3.504009 50.685488, -3.516483 50.679601, -3.523178 50.684278, -3.536625 50.689077, -3.545036 50.700603, -3.563519 50.706678, -3.565249 50.716247, -3.566108 50.724017, -3.569698 50.727355, -3.565807 50.729315, -3.566136 50.745282, -3.553491 50.745611, -3.53744 50.752915, -3.511877 50.761117))"
