wkt_geom,UniqueID
"MultiLineString ((-3.38505036819512339 50.62730626817159418, -3.38491496812183401 50.62718466787774219, -3.38484206807903831 50.62711276770072288, -3.38479566805629251 50.62707696761199827, -3.38470026800434676 50.62699296740118626))",Speed Limits-3
"MultiLineString ((-3.79567317158385764 51.23213466795950666, -3.79559427160187024 51.23218676795062976, -3.79551607162341842 51.23223056793482755, -3.7954861716198165 51.23227776795371824, -3.79546287157598883 51.23242006805502058, -3.79553267151163398 51.23249216816218876, -3.79570317134570967 51.2326823684388728, -3.79579247125800068 51.23277936858340098, -3.79576027122885273 51.23289226865581014, -3.79570447122853905 51.23296786867933861))",Speed Limits-106
"MultiLineString ((-3.04797955934978937 50.75322937367460696, -3.0477225594628341 50.7534218736295486, -3.04770305939633168 50.75359287363143324, -3.04767355938147588 50.75367097362881452, -3.04762235937685677 50.75376087362322863))",Speed Limits-119
"MultiLineString ((-3.04817785944013275 50.75266447371073752, -3.04801365932222001 50.75323027368138185))",Speed Limits-120
"MultiLineString ((-3.51140287282088215 50.56596967030250056, -3.51192767283918661 50.56607397070910537, -3.51257837283026308 50.56611177116590738, -3.51543597248680495 50.56589677283619011, -3.51589357247149215 50.56591417314795223, -3.51634797231468088 50.56580817331418842, -3.5169701720186306 50.56561737346542174, -3.51835047161045855 50.56530087349771918),(-3.51016007281608555 50.56560326934212668, -3.51122647281842992 50.56593457016883519, -3.51140287282088215 50.56596967030250056),(-3.50730257331793682 50.56481166755870049, -3.50755947324990558 50.56485136769311595, -3.50861707300211334 50.56512396829837996, -3.51016007281608555 50.56560326934212668))",Speed Limits-182
"MultiLineString ((-3.0837323626316322 50.74693006625073366, -3.0837583628627212 50.74714406627910535),(-3.08365066169189062 50.74606636612617194, -3.08363126184179226 50.74619626615320556, -3.08372426215273077 50.74649796618047048, -3.08372756258905412 50.74689066624546285, -3.0837323626316322 50.74693006625073366))",Speed Limits-246
"MultiLineString ((-3.03368336827751106 50.76904436428651479, -3.03274456611474186 50.76833796443463598, -3.03183606580110609 50.7682081648030632, -3.03092766494865895 50.76788366515324213, -3.03001916379303626 50.76742946553040525, -3.02878636344285601 50.76684546641892837))",Speed Limits-247
"MultiLineString ((-2.9992516686135704 50.72986656366870761, -2.99908606647484222 50.72929946353261954, -2.99881336123600306 50.72785166313344263, -2.99873375942425024 50.72733526297972162, -2.9986986584740789 50.72706276289694927))",Speed Limits-251
"MultiLineString ((-3.00358786900211294 50.71003106217971634, -3.00395176860468238 50.70996266211148651),(-3.00395176860468238 50.70996266211148651, -3.00399926855161281 50.70995376210283467),(-3.00399926855161281 50.70995376210283467, -3.00415136838010888 50.70992516207549983, -3.00427466823914013 50.7099019620537419),(-3.00427466823914013 50.7099019620537419, -3.00509706725335279 50.70974746191886595),(-3.00509706725335279 50.70974746191886595, -3.00589546622119119 50.70959746180443517, -3.008072963017006 50.70920676159065721, -3.00833096260010846 50.70916426157611312))",Speed Limits-285
"MultiLineString ((-3.80607076507449094 50.70163726180736319, -3.80293186600403876 50.69872986110336655, -3.80278036617828219 50.69853296104074047, -3.80274866632751918 50.69828256096307939, -3.80279976642804129 50.69805316089450287, -3.80294496648059255 50.69783356083423342, -3.80321406646101634 50.69764316079141508, -3.80351766639007582 50.69751866077284319, -3.8040857661649814 50.69745716078985964, -3.80512076572248992 50.69740506084060883, -3.80572286545662308 50.69739046087507717),(-3.80572286545662308 50.69739046087507717, -3.80609746524596826 50.69746706091293476))",Speed Limits-484
